accession	taxid	species_name	assembly_level	method	sequencing_technology	submission_date	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50
GCA_025775025.1	866013	Heteromormyrus longilateralis	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T14:01:08.886	152710	27992	7784	24504187
GCA_026781215.1	2303990	Cyphomyrus wilverthi	Scaffold	SPAdes v. 2021	Illumina	2019-03-12T18:02:18.056	189062	49815	6781	25113271
GCA_010015965.3	57237	Ara militaris	Scaffold	SPAdes v. 2023	Illumina	2019-03-25T13:55:03.916	359818	158989	5592	19814
GCA_026774405.1	112157	Petrocephalus microphthalmus	Scaffold	SPAdes v. 2022	Illumina	2017-12-20T16:13:03.300	241065	106232	4778	22491685
GCA_010014725.2	176013	Ara chloropterus	Scaffold	SPAdes v. 2021	Illumina	2019-03-25T13:28:03.720	456116	189855	4271	19108
GCA_026260215.1	1940317	Pseudoscaphirhynchus fedtschenkoi	Scaffold	SPAdes v. 2021	Illumina	2020-04-28T20:43:05.410	5803	5792	723	724
GCA_009867315.2	1549196	Psittacus timneh	Scaffold	SPAdes v. 2021	Illumina	2019-06-29T19:57:04.073	154725	136836	38553	48267
GCA_025331215.1	342376	Actenoides lindsayi	Scaffold	SPAdes v. 2019	Illumina	2019-09-25T15:51:08.916	210901	174883	29802	65513
GCA_024336885.1	1651254	Actenoides hombroni	Scaffold	SPAdes v. 2019	Illumina	2019-09-25T15:45:04.210	110071	10367	26755	10995457
GCA_009867205.2	190661	Aratinga weddellii	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T15:51:02.896	185107	150055	19977	30214
GCA_026780345.1	89591	Myomyrus pharao	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T11:07:04.646	75770	22726	18909	25508218
GCA_026777985.1	1676920	Mormyrops attenuatus	Scaffold	SOAPdenovo v. 2020	Illumina	2019-04-03T19:17:03.993	84428	19093	16751	25786443
GCA_025802095.1	109282	Hippocampus guttulatus	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T16:21:21.050	53237	8855	14905	20566510
GCA_026770805.1	91717	Boulengeromyrus knoepffleri	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T21:01:03.526	97900	20401	14144	25477320
GCA_026781065.1	1108715	Mormyrops boulengeri	Scaffold	SOAPdenovo v. 2020	Illumina	2019-04-03T17:38:03.603	100943	24369	13969	25696302
GCA_026778905.1	91734	Mormyrops zanclirostris	Scaffold	SOAPdenovo v. 2020	Illumina	2019-04-03T19:36:04.546	98238	21066	13718	25638951
GCA_026781145.1	112148	Hippopotamyrus pictus	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:02:03.573	107023	29675	13411	25271851
GCA_026776725.1	1676896	Gnathonemus echidnorhynchus	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:47:04.350	109730	30939	13381	24943675
GCA_010014875.2	176074	Psitteuteles goldiei	Scaffold	SPAdes v. 2021	Illumina	2018-10-16T13:14:03.383	275059	212047	13231	24899
GCA_026776665.1	2303993	Gnathonemus longibarbis	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:44:04.073	123283	41686	12594	24897608
GCA_009936445.2	51900	Anodorhynchus hyacinthinus	Scaffold	SPAdes v. 2021	Illumina	2018-07-18T10:36:03.336	260830	259732	12520	12605
GCA_010014925.2	13114	Lorius garrulus	Scaffold	SPAdes v. 2021	Illumina	2018-07-04T08:12:04.310	206062	137646	12383	24450
GCA_026780785.1	112141	Paramormyrops hopkinsi	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T10:24:04.080	116875	30174	12230	25588927
GCA_026777045.1	91725	Hyperopisus bebe	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T15:39:03.343	116708	31472	12228	25464968
GCA_026779605.1	1003159	Mormyrus hasselquistii	Scaffold	SOAPdenovo v. 2020	Illumina	2019-05-14T20:44:10.086	120109	35742	12152	25932272
GCA_026779585.1	1426785	Mormyrus proboscirostris	Scaffold	SOAPdenovo v. 2020	Illumina	2019-04-03T19:05:05.576	119236	33250	12078	25851764
GCA_026777505.1	91727	Ivindomyrus opdenboschi	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-28T09:22:03.563	109958	22514	12064	25384571
GCA_026770825.1	2303989	Brienomyrus longianalis	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T19:30:04.230	106464	14734	11946	25865133
GCA_026777485.1	91714	Ivindomyrus marchei	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T15:35:03.673	111080	23059	11887	25178001
GCA_025802075.1	2936482	Tenebrosternarchus preto	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T13:58:04.206	80229	26872	11784	18506042
GCA_026780845.1	535705	Petrocephalus sullivani	Scaffold	SOAPdenovo v. 2020	Illumina	2017-12-21T11:00:04.056	115047	41845	11712	23647827
GCA_025727615.1	112143	Campylomormyrus numenius	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T17:40:05.170	129270	38951	11457	25053596
GCA_019775915.2	3354228	Cyphomyrus plagiostoma	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T11:01:03.656	118056	27993	11271	25590949
GCA_026776945.1	112151	Isichthys henryi	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:54:04.383	109146	13930	11092	25403056
GCA_026780765.1	1676929	Petrocephalus schoutedeni	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T10:31:04.160	121675	43898	11042	22941161
GCA_026770845.1	91719	Campylomormyrus tamandua	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T18:37:08.450	131883	38382	10917	25121727
GCA_019775895.2	112284	Stomatorhinus ivindoensis	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T10:45:08.426	124190	21500	9869	24732256
GCA_026784285.1	112160	Stomatorhinus walkeri	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T10:42:04.190	132195	24699	9369	24803833
GCA_026774425.1	535707	Petrocephalus zakoni	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T10:50:04.010	150656	60160	9024	23439854
GCA_019775955.2	91713	Pollimyrus isidori	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T13:45:08.176	152359	42588	8888	26003243
GCA_026774385.1	91711	Marcusenius ussheri	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:57:03.473	181983	67942	8387	24969488
GCA_010015045.2	471713	Lophochroa leadbeateri	Scaffold	SPAdes v. 2021	Illumina	2019-03-25T13:52:03.736	265163	139808	8295	22116
GCA_026770725.1	1194725	Cyphomyrus discorhynchus	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T17:46:07.750	176979	50998	7764	25163258
GCA_026779145.1	1348302	Marcusenius schilthuisiae	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:50:05.120	174288	39998	7259	25213000
GCA_032357305.1	2259667	Amazona mercenarius	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.213	289483	126098	5987	19672
GCA_030556125.1	2338447	Pyrrhura berlepschi	Scaffold	SPAdes v. 2023	Illumina	2022-02-12T17:06:03.113	463916	239606	5559	18849
GCA_028565675.1	46219	Sorex palustris	Scaffold	SPAdes v. 2021	Illumina	2018-12-09T15:50:03.866	633105	498345	4882	9637
GCA_032274645.1	1549141	Enicognathus ferrugineus	Scaffold	SPAdes v. 2023	Illumina	2021-03-27T16:01:16.393	372375	132832	3967	18552
GCA_025762715.1	211658	Corythoichthys haematopterus	Scaffold	SPAdes v. 2021	Illumina	2018-07-18T09:55:04.396	257066	189004	3951	8515
GCA_046224965.1	2338449	Touit costaricensis	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T11:23:04.247	717551	469868	2916	13891
GCA_031763585.1	2338445	Pyrrhura subandina	Scaffold	SPAdes v. 2023	Illumina	2022-02-12T17:03:03.293	495445	145530	2107	18509
GCA_011763505.2	314003	Lythrypnus dalli	Scaffold	SPAdes v. 2021	Illumina	2017-01-12T11:58:02.683	478858	396934	1826	3201
GCA_011762725.2	30456	Pionus senilis	Scaffold	SPAdes v. 2021	Illumina	2018-07-18T10:05:04.980	933775	361827	1743	16847
GCA_032353575.1	2338436	Pyrrhura devillei	Scaffold	SPAdes v. 2023	Illumina	2022-02-02T08:23:03.960	828090	394645	1574	14296
GCA_040966995.1	2598673	Touit huetii	Scaffold	SPAdes v. 2024	Illumina	2024-03-20T13:58:05.137	1980469	1377614	1226	11295
GCA_032353615.1	2301374	Micropsitta geelvinkiana	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.360	657427	228425	1193	16556
GCA_041108055.1	176018	Brotogeris pyrrhoptera	Scaffold	SPAdes v. 2024	Illumina	2024-05-08T11:35:04.727	1735950	991696	1090	13596
GCA_030418925.1	2338437	Pyrrhura viridicata	Scaffold	SPAdes v. 2023	Illumina	2022-02-02T08:17:11.280	691847	184097	892	21036
GCA_030265375.1	1344800	Cacatua tenuirostris	Scaffold	SPAdes v. 2023	Illumina	2023-02-03T15:36:03.873	1236909	709288	534	12567
GCA_031764275.1	2495904	Poicephalus flavifrons	Scaffold	SPAdes v. 2023	Illumina	2022-12-24T15:12:22.543	2160723	1311156	392	11018
GCA_041723705.1	2267890	Trichoglossus rubiginosus	Scaffold	SPAdes v. 2023	Illumina	2022-12-24T15:12:22.646	2080890	1554947	370	7200
GCA_043110865.1	281914	Coracopsis nigra	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T10:16:04.320	1695469	1641051	312	396
GCA_032468175.1	2725382	Toxicocalamus goodenoughensis	Scaffold	SPAdes v. 2022	Illumina	2022-01-26T11:23:03.376	457766	313041	6052	110765
GCA_049942495.1	50365	Anser albifrons	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.618	407991	234760	12726	76688323
GCA_027497715.1	211598	Accipiter nisus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T17:08:03.520	150090	42993	26046	35949950
GCA_028583065.1	100858	Threskiornis aethiopicus	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.826	148174	85224	32973	90113662
GCA_036873605.1	75839	Anas crecca	Scaffold	SPAdes v. 2023	Illumina	2023-12-26T12:07:04.430	79593	19700	32370	79881237
GCA_043091105.1	587617	Chirostoma estor	Scaffold	SPAdes v. 2024	Illumina	2024-08-04T10:42:06.027	360165	338847	18772	14620423
GCA_046270485.1	8574	Boa constrictor	Scaffold	SPAdes v. 2024	Illumina	2024-09-16T14:33:04.290	666235	619391	14006	22988
GCA_046270045.1	211979	Basiliscus vittatus	Scaffold	SPAdes v. 2024	Illumina	2024-10-31T15:00:10.847	1011044	901793	12844	165964567
GCA_049181215.1	337630	Malapterurus electricus	Scaffold	SPAdes v. 2025	Illumina	2025-01-31T12:03:04.157	176690	111869	11191	21916001
GCA_046269885.1	8707	Daboia russelii	Scaffold	SPAdes v. 2024	Illumina	2024-11-01T07:52:05.183	483778	452423	5873	6703
GCA_046271145.1	260202	Hemidactylus flaviviridis	Scaffold	SPAdes v. 2024	Illumina	2024-09-16T14:33:04.353	1645942	1595772	5485	6337
GCA_027564015.1	107377	Gallinago gallinago	Scaffold	SPAdes v. 2021	Illumina	2021-03-07T07:59:04.320	394327	97831	5018	81304857
GCA_034782035.1	56350	Falco sparverius	Scaffold	SPAdes v. 2023	Illumina	2023-08-15T15:26:03.523	490106	14961	3001	37382377
GCA_026283635.1	176014	Ara macao	Scaffold	SPAdes v. 2022	Illumina	2022-02-12T17:11:03.260	701928	233001	1832	17571
GCA_047292535.1	197464	Agalychnis callidryas	Scaffold	SPAdes v. 2024	Illumina	2024-11-08T11:11:03.677	1306805	1242881	1757	1831
GCA_043660495.1	9066	Syrmaticus reevesii	Scaffold	SPAdes v. 2023	Illumina	2023-09-28T16:28:05.020	2366703	2341884	487	508
GCA_025802055.1	34924	Pica pica	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.750	72252	24674	44319	73415481
GCA_045033375.1	372370	Tyrannus niveigularis	Scaffold	SPAdes v. 2024	Illumina	2024-09-07T15:15:06.260	154917	98086	42145	73202951
GCA_028565035.1	56783	Garrulus glandarius	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.610	105179	48662	38566	72774246
GCA_027575065.1	8971	Haliastur indus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T16:04:03.973	68630	7462	38462	36468907
GCA_034782255.1	387787	Accipiter badius	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T12:25:45.123	77086	7064	38255	36201330
GCA_040798065.1	238855	Garrulax canorus	Scaffold	SPAdes v. 2024	Illumina	2024-02-24T18:44:03.557	98517	29579	29899	71657691
GCA_024363155.1	193005	Aquila nipalensis	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.560	158590	73187	28788	47036150
GCA_032466555.1	30468	Tinamus major	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T10:09:17.353	91499	27086	26574	3338836
GCA_049176275.1	30385	Aythya americana	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.747	194194	97777	23270	75991457
GCA_045033455.1	371925	Tyrannus couchii	Scaffold	SPAdes v. 2024	Illumina	2024-09-07T15:30:06.896	317068	207103	18848	64265419
GCA_045033475.1	372371	Tyrannus albogularis	Scaffold	SPAdes v. 2024	Illumina	2024-09-07T15:46:04.100	276827	171968	18797	64503151
GCA_028571105.1	9071	Tragopan temminckii	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.850	173536	89117	16512	45914079
GCA_025309335.1	8959	Aegypius monachus	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.546	133133	7718	15268	37748185
GCA_044628595.1	62046	Varanus niloticus	Scaffold	SPAdes v. 2024	Illumina	2024-08-15T08:31:04.757	1087354	1036177	10223	15994
GCA_029874835.1	238055	Naso brevirostris	Scaffold	SPAdes v. 2022	Illumina	2022-12-30T08:33:03.960	135530	56868	9073	27478316
GCA_038406215.1	56278	Sibirionetta formosa	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.867	565536	318922	8733	76108805
GCA_038406095.1	75838	Spatula clypeata	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.877	662598	396107	8583	76347336
GCA_046269865.1	8637	Micrurus fulvius	Scaffold	SPAdes v. 2024	Illumina	2024-10-31T15:00:10.957	805847	779519	7426	8360
GCA_046270445.1	2879141	Fowlea piscator	Scaffold	SPAdes v. 2024	Illumina	2024-11-01T07:52:05.120	624388	593573	6952	8055
GCA_044335425.1	1043007	Crotalus simus	Scaffold	SPAdes v. 2024	Illumina	2024-08-15T08:31:04.513	539065	509345	6059	6988
GCA_024222105.1	261198	Accipiter cooperii	Scaffold	SPAdes v. 2021	Illumina	2021-10-16T17:48:03.320	417701	45722	5194	35883487
GCA_032467975.1	8765	Trimeresurus albolabris	Scaffold	SPAdes v. 2022	Illumina	2021-12-18T08:05:13.756	497879	317626	4725	113187
GCA_027122695.1	89952	Merluccius productus	Scaffold	SPAdes v. 2021	Illumina	2020-07-11T12:00:05.870	168566	101123	4343	12654737
GCA_025728025.1	321089	Pithecophaga jefferyi	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.763	399879	11238	4249	38333288
GCA_040966475.1	348443	Ciliata mustela	Scaffold	SPAdes v. 2024	Illumina	2021-09-03T13:19:19.177	181013	113953	3700	10635942
GCA_046118455.1	8358	Xenopus clivii	Scaffold	SPAdes v. 2024	Illumina	2024-10-31T15:00:11.047	908877	337995	3281	124633606
GCA_025630025.2	114734	Gallinago media	Scaffold	SPAdes v. 2023	Illumina	2021-03-07T08:04:04.986	501563	86384	3241	67977983
GCA_047404275.1	37087	Sula nebouxii	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T10:44:03.947	710257	322708	1215	1607336
GCA_027497755.1	8961	Aquila audax	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.393	781591	17320	993	36917355
GCA_034780795.1	160760	Spinus spinus	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:45.307	2051153	1085897	352	11633471
GCA_049176775.1	2044879	Tadorna cristata	Scaffold	SPAdes v. 2025	Illumina	2025-01-26T08:25:04.037	2040001	1058944	345	18464199
GCA_048591965.1	31908	Haematopus ostralegus	Scaffold	SPAdes v. 2024	Illumina	2024-02-07T13:30:15.627	361532	345163	260	270
GCA_037177455.1	33519	Melanotaenia splendida	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:06.157	446888	21682	1753	31230968
GCA_046605145.1	2901174	Hypotaenidia owstoni	Contig	SPAdes v. 2024	Illumina	2023-08-31T12:00:07.847	1035	1035	35906214	35906214
GCA_035584035.1	75976	Lepidocolaptes lacrymiger	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.943	56948	25393	69477	72829908
GCA_035041115.1	60465	Agapornis nigrigenis	Scaffold	SPAdes v. 2023	Illumina	2023-05-27T13:05:05.073	56168	48242	66169	81463
GCA_032274845.2	371926	Tyrannus crassirostris	Scaffold	SPAdes v. 2024	Illumina	2023-03-28T17:01:04.156	112831	76598	64540	72221959
GCA_035583995.1	241750	Arremon aurantiirostris	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.787	73123	23327	58418	71328678
GCA_040967835.1	1160851	Platysteira castanea	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.527	57088	15898	53390	73451258
GCA_025769975.1	2774350	Gallinago jamesoni	Scaffold	SPAdes v. 2021	Illumina	2021-01-11T10:27:03.853	60031	12575	48211	77653574
GCA_035583135.1	360214	Lophotriccus pileatus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.957	62927	24345	47422	70613629
GCA_047291935.1	175843	Bycanistes brevis	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:04.957	95090	30674	46884	38036270
GCA_034782775.1	344233	Falco subbuteo	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T11:24:04.600	72503	15410	46641	90554432
GCA_027576695.1	228314	Cossypha archeri	Scaffold	SPAdes v. 2021	Illumina	2021-05-30T19:22:24.390	320599	285532	45840	63031348
GCA_026546715.1	1118562	Gallinago undulata	Scaffold	SPAdes v. 2021	Illumina	2021-01-11T10:22:04.100	61501	12359	45806	78076589
GCA_035590275.1	56347	Ibycter americanus	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T16:18:03.617	67040	10234	45352	92143187
GCA_046270365.1	62259	Leiothlypis celata	Scaffold	SPAdes v. 2024	Illumina	2024-09-22T07:00:05.963	82071	19052	44075	72079088
GCA_035590135.1	321084	Circaetus pectoralis	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T09:05:04.343	60346	9758	43929	36419590
GCA_028571045.1	1032525	Scolopax bukidnonensis	Scaffold	SPAdes v. 2021	Illumina	2021-05-18T14:14:04.613	66660	16229	43570	75716563
GCA_025769955.1	298831	Setophaga kirtlandii	Scaffold	SPAdes v. 2021	Illumina	2021-05-30T19:22:24.680	76470	27653	43238	71109694
GCA_027122955.1	495962	Falco deiroleucus	Scaffold	SPAdes v. 2021	Illumina	2021-03-27T17:08:04.276	67456	15339	42174	91058192
GCA_027122295.1	399590	Falco rufigularis	Scaffold	SPAdes v. 2022	Illumina	2021-03-27T17:12:05.506	75574	18658	42059	91029382
GCA_025728005.1	387810	Accipiter virgatus	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.536	62105	7814	41409	36177343
