accession	tax_id	contig_n50	compleasm_fragmented	compleasm_frameshift	compleasm_missing	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	technology	group	class	order	species	plot_class
GCA_020745685.1	34787	7919333	6	120	9	3375	3362	13	0	CLR	bony fishes	Actinopteri	Labriformes	Tautogolabrus adspersus	Ray-finned Fishes
GCA_020745705.1	243314	20531774	4	136	12	3374	3369	5	0	CLR	birds	Aves	Apodiformes	Hemiprocne comata	Birds
GCA_020745775.1	1118847	37098842	2	94	5	3383	3379	4	0	CLR	birds	Aves	Pelecaniformes	Theristicus caerulescens	Birds
GCA_020746105.1	297711	16237294	3	100	3	3384	3371	11	2	CLR	birds	Aves	Trogoniformes	Trogon surrucura	Birds
GCA_020800305.1	439704	13461271	6	64	23	3361	3352	8	1	HiFi	birds	Aves	Gruiformes	Porphyrio hochstetteri	Birds
GCA_021292165.1	52224	3338364	9	214	15	3366	3114	242	10	CLR	lizards & snakes	Lepidosauria	Squamata	Shinisaurus crocodilurus	Lepidosauria
GCA_022682495.2	9430	6739964	6	62	18	3366	3334	18	14	HiFi	bats	Mammalia	Chiroptera	Desmodus rotundus	Mammals
GCA_023333525.2	2917703	41557363	8	59	56	3326	3315	7	4	HiFi	lizards & snakes	Lepidosauria	Squamata	Aspidoscelis tigris	Lepidosauria
GCA_023637945.2	46513	35194150	2	52	24	3364	3362	2	0	CLR	birds	Aves	Apodiformes	Phaethornis superciliosus	Birds
GCA_023851605.1	48850	9869167	6	91	7	3377	3167	33	177	CLR	placentals	Mammalia	Pilosa	Tamandua tetradactyla	Mammals
GCA_024256435.1	13013	32098287	10	58	35	3345	3322	22	1	HiFi	bony fishes	Actinopteri	Siluriformes	Clarias gariepinus	Ray-finned Fishes
GCA_024294585.1	246179	44839567	10	75	46	3334	3316	13	5	HiFi	snakes	Lepidosauria	Squamata	Vipera latastei	Lepidosauria
GCA_026018925.1	70687	7301848	6	111	4	3380	3236	32	112	CLR	placentals	Mammalia	Scandentia	Tupaia tana	Mammals
GCA_026229955.1	372063	10714300	5	61	48	3337	3212	70	55	HiFi	rodents	Mammalia	Rodentia	Peromyscus maniculatus	Mammals
GCA_026230055.1	124745	23382908	4	83	15	3371	3259	11	101	HiFi	bats	Mammalia	Chiroptera	Corynorhinus townsendii	Mammals
GCA_026652325.1	8319	45590032	29	22	42	3319	3280	27	12	HiFi	salamanders	Amphibia	Caudata	Pleurodeles waltl	Amphibians
GCA_027410445.1	8351	3043591	40	62	53	3297	3265	29	3	CLR	frogs & toads	Amphibia	Anura	Discoglossus pictus	Amphibians
GCA_027474245.1	9240	13936613	0	50	5	3385	3369	16	0	HiFi	birds	Aves	Sphenisciformes	Spheniscus humboldti	Birds
GCA_027559615.1	279927	7308823	7	79	14	3369	3359	10	0	HiFi	birds	Aves	Passeriformes	Acridotheres tristis	Birds
GCA_027563665.1	9440	41887785	4	96	15	3371	3223	22	126	CLR	bats	Mammalia	Chiroptera	Antrozous pallidus	Mammals
GCA_027574665.1	54386	10485863	4	69	0	3386	3377	9	0	HiFi	birds	Aves	Eurypygiformes	Rhynochetos jubatus	Birds
GCA_027917425.1	8429	4962642	37	64	72	3281	3262	18	1	HiFi	frogs & toads	Amphibia	Anura	Gastrophryne carolinensis	Amphibians
GCA_027942865.1	219752	9831534	5	65	9	3376	3367	9	0	HiFi	bony fishes	Actinopteri	Atheriniformes	Odontesthes bonariensis	Ray-finned Fishes
GCA_028020825.1	8905	11637970	2	57	10	3378	3333	44	1	HiFi	birds	Aves	Caprimulgiformes	Podargus strigoides	Birds
GCA_028022725.1	1772091	4715471	15	88	21	3354	3330	22	2	HiFi	bony fishes	Actinopteri	Perciformes	Lycodopsis pacificus	Ray-finned Fishes
GCA_028022735.1	33610	18064636	1	55	2	3387	3375	12	0	HiFi	hawks & eagles	Aves	Accipitriformes	Gypaetus barbatus	Birds
GCA_028451465.1	34844	19239546	7	61	5	3378	3303	26	49	CLR	rodents	Mammalia	Rodentia	Erethizon dorsatum	Mammals
GCA_028571685.1	77598	78495281	4	47	4	3382	3367	6	9	HiFi	placentals	Mammalia	Hyracoidea	Heterohyrax brucei	Mammals
GCA_028858755.1	9226	38811057	5	60	17	3368	3355	13	0	HiFi	birds	Aves	Psittaciformes	Ara ararauna	Birds
GCA_029215775.1	2202111	120109455	1	36	18	3371	3358	7	6	HiFi	lizards & snakes	Lepidosauria	Squamata	Anniella stebbinsi	Lepidosauria
GCA_030020295.1	94835	84235120	2	40	11	3377	3369	7	1	HiFi	vertebrates	Crocodiles	Crocodylia	Gavialis gangeticus	Crocodiles
GCA_030035585.1	29137	57632671	1	57	1	3388	3374	5	9	HiFi	placentals	Mammalia	Sirenia	Dugong dugon	Mammals
GCA_030412105.1	118683	112814430	7	50	22	3361	3344	15	2	HiFi	lizards & snakes	Lepidosauria	Squamata	Cyclura pinguis	Lepidosauria
GCA_030440675.1	187939	158731830	6	44	29	3355	3351	1	3	HiFi	lizards & snakes	Lepidosauria	Squamata	Furcifer pardalis	Lepidosauria
GCA_030463565.1	36300	9666746	1	54	1	3388	3373	14	1	HiFi	birds	Aves	Pelecaniformes	Pelecanus crispus	Birds
GCA_030848825.1	9438	86333355	3	65	4	3383	3328	19	36	HiFi	bats	Mammalia	Chiroptera	Tadarida brasiliensis	Mammals
GCA_030867105.1	283338	65226870	7	58	32	3351	3344	6	1	HiFi	snakes	Lepidosauria	Squamata	Liasis olivaceus	Lepidosauria
GCA_030867145.1	30419	14274197	1	55	8	3381	3359	22	0	HiFi	birds	Aves	Opisthocomiformes	Opisthocomus hoazin	Birds
GCA_031216445.1	315492	27954791	1	48	0	3389	3382	7	0	HiFi	bony fishes	Actinopteri	Acropomatiformes	Lateolabrax maculatus	Ray-finned Fishes
GCA_031468815.1	37578	10178591	2	44	3	3385	3377	8	0	HiFi	birds	Aves	Suliformes	Morus bassanus	Birds
GCA_031876335.1	175524	34562834	3	82	1	3386	3321	8	57	HiFi	bats	Mammalia	Chiroptera	Hipposideros larvatus	Mammals
GCA_031877795.1	111821	11872084	4	48	2	3384	3367	17	0	HiFi	birds	Aves	Strigiformes	Strix aluco	Birds
GCA_031878675.1	10013	5921125	9	69	26	3355	3278	36	41	HiFi	rodents	Mammalia	Rodentia	Thomomys bottae	Mammals
GCA_031878705.1	9802	56553937	2	51	7	3381	3365	11	5	HiFi	odd-toed ungulates	Mammalia	Perissodactyla	Tapirus indicus	Mammals
GCA_031885435.1	161624	19816254	2	71	9	3379	3371	5	3	HiFi	birds	Aves	Passeriformes	Passerculus sandwichensis	Birds
GCA_031893055.1	238119	5334240	32	51	119	3239	3222	13	4	HiFi	frogs & toads	Amphibia	Anura	Leptodactylus fuscus	Amphibians
GCA_032164245.1	142480	17031157	13	48	107	3270	3250	17	3	HiFi	turtles	Turtles	Testudines	Sternotherus odoratus	Turtles
GCA_033349115.1	3026461	28400779	19	40	298	3073	3061	11	1	HiFi	turtles	Turtles	Testudines	Macrochelys suwanniensis	Turtles
GCA_033958435.1	44489	126464372	2	41	7	3381	3376	4	1	HiFi	turtles	Turtles	Testudines	Carettochelys insculpta	Turtles
GCA_034619465.1	188344	8826436	3	58	7	3380	3375	5	0	HiFi	birds	Aves	Coraciiformes	Leptosomus discolor	Birds
GCA_035046505.1	71010	33113817	16	48	112	3262	3244	13	5	HiFi	lizards & snakes	Lepidosauria	Squamata	Tiliqua scincoides	Lepidosauria
GCA_035084275.1	7873	1059761	61	99	327	3002	2983	19	0	HiFi	chimaeras	Chondrichthyes	Chimaeriformes	Hydrolagus colliei	Cartilaginous Fishes
GCA_036010785.1	3111550	8735889	3	61	6	3381	3367	9	5	HiFi	birds	Aves	Passeriformes	Ammospiza maritima	Birds
GCA_036172795.1	233781	19137354	26	43	40	3324	3312	10	2	HiFi	frogs & toads	Amphibia	Anura	Pelodytes ibericus	Amphibians
GCA_036417435.1	9725	40892022	2	67	4	3384	3330	20	34	CLR	whales & dolphins	Mammalia	Artiodactyla	Inia geoffrensis	Mammals
GCA_036417535.1	187382	25335467	1	52	2	3387	3380	7	0	HiFi	birds	Aves	Otidiformes	Chlamydotis macqueenii	Birds
GCA_036426135.1	9796	43557573	2	60	7	3381	3356	16	9	HiFi	odd-toed ungulates	Mammalia	Perissodactyla	Equus caballus	Mammals
GCA_036784965.1	152111	1203068	33	103	310	3047	1911	1132	4	HiFi	bony fishes	Actinopteri	Salmoniformes	Salvelinus alpinus	Ray-finned Fishes
GCA_036873955.1	1570318	10800487	5	62	12	3373	3353	16	4	HiFi	birds	Aves	Anseriformes	Mergus octosetaceus	Birds
GCA_036971685.2	372321	63448456	7	51	193	3190	3180	10	0	HiFi	birds	Aves	Columbiformes	Patagioenas fasciata	Birds
GCA_037038515.1	10058	47175454	3	47	9	3378	3296	21	61	HiFi	rodents	Mammalia	Rodentia	Microtus pennsylvanicus	Mammals
GCA_037038545.1	249017	86271459	2	57	11	3377	3339	13	25	HiFi	bats	Mammalia	Chiroptera	Rhynchonycteris naso	Mammals
GCA_037039145.1	54267	11036555	6	72	30	3354	3338	16	0	HiFi	bony fishes	Actinopteri	Cyprinodontiformes	Fundulus diaphanus	Ray-finned Fishes
GCA_037157525.1	1552295	63410948	5	69	3	3382	3321	14	47	HiFi	bats	Mammalia	Chiroptera	Molossus alvarezi	Mammals
GCA_037306005.1	43566	12994863	46	69	53	3291	3276	14	1	HiFi	frogs & toads	Amphibia	Anura	Rhinophrynus dorsalis	Amphibians
GCA_037893015.1	92651	1223998	12	96	16	3362	3208	53	101	CLR	marsupials	Mammalia	Peramelemorphia	Macrotis lagotis	Mammals
GCA_037962945.1	43583	40899883	2	48	4	3384	3359	25	0	HiFi	hawks & eagles	Aves	Accipitriformes	Sarcoramphus papa	Birds
GCA_038024135.1	28792	1550857	11	64	27	3352	3326	26	0	HiFi	bony fishes	Actinopteri	Cypriniformes	Cyprinella venusta	Ray-finned Fishes
GCA_038048845.1	3061075	4050021	22	57	76	3292	3262	25	5	HiFi	frogs & toads	Amphibia	Anura	Mixophyes fleayi	Amphibians
GCA_038355195.1	8014	607895	34	134	43	3313	3269	43	1	HiFi	bony fishes	Actinopteri	Osmeriformes	Osmerus mordax	Ray-finned Fishes
GCA_038363095.2	27634	65515378	4	55	8	3378	3292	70	16	HiFi	bats	Mammalia	Chiroptera	Artibeus lituratus	Mammals
GCA_038363145.1	51014	60026580	5	53	11	3374	3298	67	9	HiFi	bats	Mammalia	Chiroptera	Artibeus intermedius	Mammals
GCA_038501925.1	288555	15294995	15	71	30	3345	1855	1486	4	HiFi	frogs & toads	Amphibia	Anura	Xenopus petersii	Amphibians
GCA_039655065.1	2994998	77027013	3	65	4	3383	3357	8	18	HiFi	bats	Mammalia	Chiroptera	Glossophaga mutica	Mammals
GCA_039720435.1	151761	14879228	3	57	9	3378	3340	34	4	HiFi	birds	Aves	Psittaciformes	Amazona ochrocephala	Birds
GCA_039878825.1	46218	7816141	3	57	37	3350	3344	6	0	HiFi	birds	Aves	Galliformes	Excalfactoria chinensis	Birds
GCA_039880945.1	2997257	74731956	5	62	3	3382	3330	22	30	HiFi	bats	Mammalia	Chiroptera	Molossus nigricans	Mammals
GCA_039906565.1	48277	9620782	7	51	15	3368	3348	19	1	HiFi	birds	Aves	Caprimulgiformes	Aegotheles albertisi	Birds
GCA_040206685.1	8439	981472	74	108	112	3203	3176	27	0	HiFi	frogs & toads	Amphibia	Anura	Ascaphus truei	Amphibians
GCA_040805955.1	9940	103395564	0	64	1	3389	3275	17	97	HiFi	even-toed ungulates & whales	Mammalia	Artiodactyla	Ovis aries	Mammals
GCA_040894355.2	1041117	56181416	3	38	2	3385	3380	2	3	HiFi	turtles	Turtles	Testudines	Myuchelys georgesi	Turtles
GCA_040939525.1	7888	3414998	441	76	179	2769	2749	10	10	CLR	lungfishes	Lungfish	Ceratodontiformes	Protopterus annectens	Lobe-finned Fishes
GCA_040955705.1	9622	39426608	3	56	1	3386	3302	13	71	HiFi	carnivores	Mammalia	Carnivora	Lycaon pictus	Mammals
GCA_041735815.1	9925	100793790	0	58	1	3389	3308	14	67	HiFi	even-toed ungulates & whales	Mammalia	Artiodactyla	Capra hircus	Mammals
GCA_041753875.1	72011	31795397	1	54	1	3388	3379	8	1	HiFi	bony fishes	Actinopteri	Spariformes	Acanthopagrus schlegelii	Ray-finned Fishes
GCA_041834305.1	9773	36344089	4	69	1	3385	3290	17	78	HiFi	whales & dolphins	Mammalia	Artiodactyla	Megaptera novaeangliae	Mammals
GCA_041902795.1	8005	22449376	6	62	13	3371	3310	60	1	HiFi	bony fishes	Actinopteri	Gymnotiformes	Electrophorus electricus	Ray-finned Fishes
GCA_041903045.1	310571	44383456	1	55	1	3388	3374	14	0	HiFi	bony fishes	Actinopteri	Perciformes	Epinephelus lanceolatus	Ray-finned Fishes
GCA_042242135.1	3352246	15715076	1	46	1	3388	3359	28	1	HiFi	bony fishes	Actinopteri	Scombriformes	Arripis georgiana	Ray-finned Fishes
GCA_043250625.1	394691	7769413	14	73	8	3368	3348	20	0	HiFi	bony fishes	Actinopteri	Perciformes	Sebastes fasciatus	Ray-finned Fishes
GCA_043290085.1	320637	13617243	4	68	9	3377	3282	24	71	HiFi	placentals	Mammalia	Macroscelidea	Rhynchocyon petersi	Mammals
GCA_043727835.1	188568	61181192	2	63	4	3384	3309	10	65	HiFi	bats	Mammalia	Chiroptera	Aselliscus stoliczkanus	Mammals
GCA_043728065.1	59477	65534120	2	61	2	3386	3358	17	11	HiFi	bats	Mammalia	Chiroptera	Rhinolophus affinis	Mammals
GCA_043728145.1	430492	11115074	6	78	16	3368	3286	32	50	HiFi	bats	Mammalia	Chiroptera	Rhinolophus trifoliatus	Mammals
GCA_043748575.1	3030661	53323821	4	72	3	3383	3317	29	37	HiFi	bats	Mammalia	Chiroptera	Rhinolophus perniger	Mammals
GCA_043748645.1	258863	56964224	6	72	36	3348	3280	14	54	HiFi	bats	Mammalia	Chiroptera	Mops condylurus	Mammals
GCA_043880285.1	249021	14255823	5	78	3	3382	3323	21	38	HiFi	bats	Mammalia	Chiroptera	Doryrhina cyclops	Mammals
GCA_043880425.1	2952509	28095277	5	67	4	3381	3342	12	27	HiFi	bats	Mammalia	Chiroptera	Rhinolophus yonghoiseni	Mammals
GCA_043880545.1	173903	32895649	2	46	2	3386	3360	8	18	HiFi	bats	Mammalia	Chiroptera	Rhinopoma microphyllum	Mammals
GCA_043880595.1	9414	22627155	4	91	5	3381	3341	12	28	HiFi	bats	Mammalia	Chiroptera	Megaderma spasma	Mammals
GCA_044231665.1	390378	19762325	18	102	45	3327	3317	9	1	HiFi	bony fishes	Actinopteri	Syngnathiformes	Neosynchiropus ocellatus	Ray-finned Fishes
GCA_044231675.1	586865	17238139	20	123	35	3335	3324	10	1	HiFi	bony fishes	Actinopteri	Syngnathiformes	Synchiropus picturatus	Ray-finned Fishes
GCA_045345405.1	51906	33341676	4	65	6	3380	3353	27	0	HiFi	birds	Aves	Psittaciformes	Guaruba guarouba	Birds
GCA_045345515.1	252789	26372894	1	41	20	3369	3341	28	0	HiFi	hawks & eagles	Aves	Accipitriformes	Morphnus guianensis	Birds
GCA_045362495.1	182658	21706182	4	66	6	3380	3373	7	0	HiFi	bony fishes	Actinopteri	Spariformes	Lethrinus nebulosus	Ray-finned Fishes
GCA_045363895.1	264210	20615779	4	58	1	3385	3375	10	0	HiFi	bony fishes	Actinopteri	Lutjaniformes	Pristipomoides typus	Ray-finned Fishes
GCA_045364795.1	1566151	4357226	6	63	9	3375	3363	12	0	HiFi	birds	Aves	Passeriformes	Willisornis vidua	Birds
GCA_045364815.1	44507	24087131	1	38	1	3388	3377	7	4	HiFi	turtles	Turtles	Testudines	Podocnemis expansa	Turtles
GCA_045781085.1	260642	58728674	5	41	12	3373	3367	1	5	HiFi	turtles	Turtles	Testudines	Pangshura tecta	Turtles
GCA_045843805.1	9999	23164455	8	59	44	3338	3206	51	81	HiFi	rodents	Mammalia	Rodentia	Urocitellus parryii	Mammals
GCA_046126795.1	3379902	18158878	10	48	25	3355	3230	122	3	HiFi	lizards & snakes	Lepidosauria	Squamata	Dibamus cf. smithi	Lepidosauria
GCA_046129655.1	28727	6932545	4	58	9	3377	3363	12	2	HiFi	birds	Aves	Passeriformes	Cyanocitta cristata	Birds
GCA_046129695.1	40157	29140630	6	62	63	3321	3306	14	1	HiFi	birds	Aves	Passeriformes	Lonchura striata	Birds
GCA_046255685.1	1195602	4008197	29	82	94	3267	3232	34	1	HiFi	bony fishes	Actinopteri	Percopsiformes	Amblyopsis spelaea	Ray-finned Fishes
GCA_046562885.1	9690	45599555	7	55	72	3311	3289	9	13	HiFi	carnivores	Mammalia	Carnivora	Panthera onca	Mammals
GCA_046562895.1	9777	25109643	4	56	1	3385	3357	16	12	HiFi	placentals	Mammalia	Sirenia	Trichechus inunguis	Mammals
GCA_047301625.1	241275	37536982	6	67	4	3380	3365	14	1	HiFi	bony fishes	Actinopteri	Labriformes	Choerodon schoenleinii	Ray-finned Fishes
GCA_047511565.1	143326	1684680	11	71	5	3374	3331	43	0	HiFi	bony fishes	Actinopteri	Polymixiiformes	Polymixia lowei	Ray-finned Fishes
GCA_047511655.1	51338	59379167	0	50	4	3386	3312	31	43	HiFi	rodents	Mammalia	Rodentia	Castor canadensis	Mammals
GCA_047715975.1	179887	44366450	9	61	34	3347	3331	9	7	HiFi	lizards & snakes	Lepidosauria	Squamata	Bradypodion pumilum	Lepidosauria
GCA_047830755.1	44394	17147933	5	64	12	3373	3353	16	4	HiFi	birds	Aves	Passeriformes	Zonotrichia albicollis	Birds
GCA_047922985.1	8805	11629215	4	44	10	3376	3316	60	0	HiFi	birds	Aves	Tinamiformes	Eudromia elegans	Birds
GCA_048126345.1	37699	88902510	7	92	9	3374	3110	31	233	HiFi	marsupials	Mammalia	Notoryctemorphia	Notoryctes typhlops	Mammals
GCA_048126635.1	206126	6606641	6	86	18	3366	3353	13	0	HiFi	bony fishes	Actinopteri	Perciformes	Spinachia spinachia	Ray-finned Fishes
GCA_048126745.1	30532	49431082	1	89	0	3389	3235	25	129	HiFi	even-toed ungulates & whales	Mammalia	Artiodactyla	Dama dama	Mammals
GCA_048128725.1	396798	40433363	1	48	3	3386	3374	12	0	HiFi	bony fishes	Actinopteri	Lutjaniformes	Symphorus nematophorus	Ray-finned Fishes
GCA_048128805.1	166262	6370452	7	67	6	3377	3339	38	0	HiFi	bony fishes	Actinopteri	Beryciformes	Centroberyx gerrardi	Ray-finned Fishes
GCA_048129055.1	1311420	36254855	2	56	3	3385	3373	12	0	HiFi	bony fishes	Actinopteri	Lutjaniformes	Caesio teres	Ray-finned Fishes
GCA_048129235.1	2930458	36345755	1	63	1	3388	3371	17	0	HiFi	bony fishes	Actinopteri	Perciformes	Epinephelus rankini	Ray-finned Fishes
GCA_048301445.1	161592	5638113	28	144	85	3277	3259	17	1	HiFi	bony fishes	Actinopteri	Syngnathiformes	Syngnathus typhle	Ray-finned Fishes
GCA_048301465.1	150449	6127553	6	74	9	3375	3372	3	0	HiFi	bony fishes	Actinopteri	Syngnathiformes	Aulostomus maculatus	Ray-finned Fishes
GCA_048301585.1	2590489	38227425	12	74	10	3368	3331	36	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Rhinogobio nasutus	Ray-finned Fishes
GCA_048338725.1	9823	144930921	0	54	1	3389	3368	14	7	HiFi	even-toed ungulates & whales	Mammalia	Artiodactyla	Sus scrofa	Mammals
GCA_048537225.1	3239838	4150567	5	56	12	3373	3322	51	0	HiFi	bony fishes	Actinopteri	Polymixiiformes	Polymixia cf. hollisterae	Ray-finned Fishes
GCA_048544225.1	286537	1817416	19	87	38	3333	3291	41	1	HiFi	bony fishes	Actinopteri	Clupeiformes	Coilia mystus	Ray-finned Fishes
GCA_048565345.1	43514	2265415	96	69	122	3172	3153	17	2	HiFi	frogs & toads	Amphibia	Anura	Mantella aurantiaca	Amphibians
GCA_048565385.1	27679	69222429	1	62	3	3386	3269	25	92	HiFi	primates	Mammalia	Primates	Saimiri boliviensis	Mammals
GCA_048569125.1	88682	542425	45	66	77	3268	3086	175	7	HiFi	bony fishes	Actinopteri	Trachichthyiformes	Diretmus argenteus	Ray-finned Fishes
GCA_048569485.1	238106	2835192	49	102	93	3248	3211	31	6	HiFi	frogs & toads	Amphibia	Anura	Anomaloglossus baeobatrachus	Amphibians
GCA_048593225.1	9305	4514036	21	67	93	3276	3169	90	17	HiFi	marsupials	Mammalia	Dasyuromorphia	Sarcophilus harrisii	Mammals
GCA_048593235.1	9301	4228802	7	109	51	3332	3272	23	37	HiFi	marsupials	Mammalia	Dasyuromorphia	Sminthopsis crassicaudata	Mammals
GCA_048593285.1	9281	93424779	5	43	49	3336	3312	8	16	HiFi	marsupials	Mammalia	Dasyuromorphia	Dasyurus maculatus	Mammals
GCA_048628825.1	238744	4610982	43	186	43	3304	3289	15	0	HiFi	bony fishes	Actinopteri	Atheriniformes	Menidia menidia	Ray-finned Fishes
GCA_048771875.1	10166	38834406	4	53	16	3370	3355	12	3	HiFi	rodents	Mammalia	Rodentia	Ctenodactylus gundi	Mammals
GCA_048771995.1	59729	65033001	2	71	11	3377	3365	11	1	HiFi	birds	Aves	Passeriformes	Taeniopygia guttata	Birds
GCA_048772815.1	76772	6579271	8	72	17	3365	3235	36	94	HiFi	rodents	Mammalia	Rodentia	Callospermophilus lateralis	Mammals
GCA_048934315.1	7757	4594409	122	144	486	2782	2692	90	0	CLR	lampreys	Hyperoartia	Petromyzontiformes	Petromyzon marinus	Cyclostomes
GCA_049082185.1	879810	1816655	12	100	26	3352	3229	123	0	HiFi	bony fishes	Actinopteri	Blenniiformes	Cristiceps australis	Ray-finned Fishes
GCA_049190665.1	89578	776167	20	88	34	3336	3125	208	3	HiFi	bony fishes	Actinopteri	Lepidogalaxiiformes	Lepidogalaxias salamandroides	Ray-finned Fishes
GCA_049354715.1	9483	137132494	1	55	1	3388	3252	36	100	CLR	primates	Mammalia	Primates	Callithrix jacchus	Mammals
GCA_901001165.2	8032	1692994	24	96	15	3351	1692	1653	6	CLR	bony fishes	Actinopteri	Salmoniformes	Salmo trutta	Ray-finned Fishes
GCA_901699155.2	177155	3730413	11	167	57	3322	3280	42	0	CLR	birds	Aves	Columbiformes	Streptopelia turtur	Birds
GCA_901765095.2	1415580	3650988	11	155	35	3344	3225	107	12	CLR	caecilians	Amphibia	Gymnophiona	Microcaecilia unicolor	Amphibians
GCA_902686455.2	55149	16327774	3	152	3	3384	3182	52	150	CLR	rodents	Mammalia	Rodentia	Sciurus vulgaris	Mammals
GCA_903797595.2	37610	5585877	12	82	31	3347	3343	4	0	CLR	birds	Aves	Passeriformes	Erithacus rubecula	Birds
GCA_903992545.1	59474	4446752	51	171	155	3184	3126	12	46	CLR	bats	Mammalia	Chiroptera	Pipistrellus pipistrellus	Mammals
GCA_905171665.2	36212	6490592	3	77	12	3375	3359	15	1	CLR	bony fishes	Actinopteri	Carangiformes	Trachurus trachurus	Ray-finned Fishes
GCA_905319855.2	9612	34375412	3	67	1	3386	3312	11	63	HiFi	carnivores	Mammalia	Carnivora	Canis lupus	Mammals
GCA_907165065.1	111811	30622946	1	42	3	3386	3371	15	0	CLR	birds	Aves	Caprimulgiformes	Caprimulgus europaeus	Birds
GCA_910589615.1	61643	13037006	9	72	14	3367	3349	18	0	HiFi	bony fishes	Actinopteri	Perciformes	Taurulus bubalis	Ray-finned Fishes
GCA_910591455.2	56726	3519450	6	83	10	3374	3363	11	0	HiFi	bony fishes	Actinopteri	Perciformes	Pholis gunnellus	Ray-finned Fishes
GCA_933228915.1	446457	1254875	28	83	22	3340	3333	7	0	HiFi	bony fishes	Actinopteri	Atheriniformes	Telmatherina bonti	Ray-finned Fishes
GCA_936440315.1	40830	22843665	8	87	14	3368	670	2691	7	HiFi	bony fishes	Actinopteri	Cypriniformes	Barbus barbus	Ray-finned Fishes
GCA_944039275.1	7955	6927137	12	65	32	3346	3323	19	4	HiFi	bony fishes	Actinopteri	Cypriniformes	Danio rerio	Ray-finned Fishes
