Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Number_Scaffolds	Scaffold_N50	Scaffold_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_028646465.1	9809	2023-02-16	306900	105810	17398	273665	56870999	330323	2631998212	Rhinoceros unicornis	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	missing
GCA_028646485.1	94188	2023-02-16	213093	124286	26021	185515	107277967	57168716	2373352832	Cryptoprocta ferox	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_028646515.1	65629	2023-02-16	635686	26949	4963	551799	209248263	5025	3503377836	Pseudochirops corinnae	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_028646535.1	9654	2023-02-16	877198	34230	1060	819431	114539748	1092	2525713215	Procyon lotor	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_028646575.1	656515	2023-02-16	1001302	24464	2603	917762	213462136	2663	3603728918	Pseudocheirus occidentalis	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_028646595.1	65615	2023-02-16	1222713	28067	1513	1142900	353051754	1580	3623972075	Phalanger gymnotis	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_028658305.1	298894	2023-02-17	551819	47672	5236	502065	70283636	5467	2488923329	Pachyuromys duprasi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_028658325.1	173936	2023-02-17	1209112	46323	1462	1148168	557804701	1501	3826410559	Potorous gilbertii	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_040438115.1	2878564	2024-07-02	97422	79532	18313	34537	192009155	74789813	2965146561	Tragelaphus eurycerus isaaci	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCF_021288785.2	9716	2022-12-21	182391	76189	18253	142455	139676048	54920518	2366166981	Mirounga angustirostris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCF_028533385.1	9690	2023-02-09	92614	53866	14514	36243	138099990	55412830	2380259976	Panthera onca	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
