Accession	tTax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Number_Scaffolds	Scaffold_N50	Scaffold_N90	Assembly_Size	Percentage_masked	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_028885655.2	9601	2024-01-05	40	146197178	68750668	29	146197178	89553113	3259853530	42.32	Pongo abelii	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
GCA_028885625.2	9600	2024-01-08	33	140592248	87425153	25	143261986	87425153	3220935163	41.67	Pongo pygmaeus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
GCA_028878055.3	9590	2024-06-20	28	146713733	80751072	27	146713733	80751072	3262904223	45.49	Symphalangus syndactylus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
GCA_043159975.1	9545	2024-10-15	622	40835442	5495460	362	154799650	88956647	3116305216	41.06	Macaca nemestrina	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_011100555.2	9483	2021-04-28	2399	13222669	1575302	1234	136971485	50614742	2874881015	37.65	Callithrix jacchus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio CLR
GCA_027406575.1	9470	2022-12-28	303	41197715	6616115	85	135917784	69287667	2917170805	40.30	Nycticebus coucang	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_020740605.1	9447	2021-11-04	395	32529614	4841327	185	102162704	34904378	2245601549	32.37	Lemur catta	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_027409185.1	110931	2022-12-28	247	69195939	6843211	131	165781880	98152566	2814434834	35.98	Cynocephalus volans	Sarcopterygii	Mammalia			Euarchontoglires	Dermoptera	PacBio HiFi
GCA_028451465.1	34844	2023-02-06	393	19239546	4735819	116	127995937	89268738	2432147792	33.37	Erethizon dorsatum	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_963383645.1	39082	2023-08-26	2018	2432660	728098	213	119481734	64769431	2497520702	43.41	Muscardinus avellanarius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_902686455.2	55149	2020-07-31	1816	16327774	1551918	639	153872958	41577549	2878607543	32.87	Sciurus vulgaris	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_902686445.2	30640	2020-07-31	2577	13975867	479975	753	148229995	30991954	2815413801	33.39	Sciurus carolinensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_964194105.1	9997	2024-06-28	1934	3445081	865919	498	155990855	78989733	3090049053	41.16	Spermophilus citellus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_903995435.1	60746	2020-08-21	1503	4450755	1138841	623	66475698	47664281	2301522284	31.86	Acomys russatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_947179515.1	10129	2022-10-28	1627	4449850	914114	498	120938251	63776737	2889801511	39.98	Apodemus sylvaticus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_011762505.2	61156	2024-10-22	3220	11143170	473741	1596	82689117	40139754	2496777707	32.36	Arvicanthis niloticus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_015227675.2	10116	2020-11-10	757	29198295	3777362	176	135012528	83828827	2647915728	35.56	Rattus norvegicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_963924665.1	13151	2024-01-29	2914	1835000	481189	894	59776753	2866000	2651787409	41.97	Micromys minutus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_949316315.1	10090	2023-04-08	280	39533248	9424000	179	132150484	96079412	2770968735	38.39	Mus musculus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_903995425.1	38674	2020-08-21	5092	2276141	490496	2949	112723509	64256681	2468394440	32.51	Onychomys torridus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_903992535.2	1047088	2021-05-15	1088	5308170	1391279	215	158924400	75712621	2297766297	31.95	Arvicola amphibius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_950005125.1	269649	2023-05-01	358	30960136	4284756	161	88844950	54003058	2393406913	34.40	Chionomys nivalis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_037038515.1	10058	2024-03-06	241	47175454	15566417	181	125308425	42434929	2369135991	33.83	Microtus pennsylvanicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_026229955.1	372063	2022-11-14	2082	10714300	1991768	1838	43824230	3386990	2847741276	37.44	Peromyscus maniculatus sonoriensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_020740685.1	51337	2021-11-04	720	21929955	3319964	159	158244790	69842643	2863848715	43.81	Jaculus jaculus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_031878675.1	10013	2023-09-25	1405	5921125	940445	630	64418693	7611298	2025650949	37.58	Thomomys bottae	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_949820135.1	9988	2023-04-19	415	34907720	4604163	99	129271642	84041373	2848420111	43.47	Sylvilagus floridanus	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_964237555.1	9986	2024-08-31	2498	2030165	591972	222	144279705	69638853	2804674863	40.87	Oryctolagus cuniculus	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_030435755.1	9978	2023-07-13	6297	12191025	121146	5865	73962893	122964	2555461757	42.15	Ochotona princeps	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_026018925.1	70687	2022-11-07	2386	7301848	660018	1198	112954644	28620538	2948294157	45.60	Tupaia tana	Sarcopterygii	Mammalia			Euarchontoglires	Scandentia	PacBio CLR
GCA_008692025.1	42100	2019-09-26	277	20218762	6866044	65	115469292	79885847	2371540524	35.16	Phocoena sinus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_963924675.1	9742	2024-01-29	1406	3726689	1061431	440	110192646	60497951	2512729496	38.54	Phocoena phocoena	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_011762595.1	9739	2020-03-27	1036	9729386	2193177	362	108430135	78151963	2378522214	34.85	Tursiops truncatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_039906515.1	82174	2024-05-31	562	58817648	5482474	439	110095734	63157104	2674608476	41.39	Pseudorca crassidens	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036417435.1	9725	2024-02-06	1187	40892022	1694451	903	117431308	63985529	2749362370	42.15	Inia geoffrensis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949987515.2	9728	2024-09-07	1599	3627551	927271	631	107080983	4320099	2663533373	42.16	Delphinus delphis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_964270905.1	90246	2024-09-29	1933	3493168	848746	899	109653882	36544933	2676209414	41.42	Lagenorhynchus acutus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_009873245.3	9771	2020-10-02	992	6274848	1427394	106	110314666	79663398	2374868944	34.43	Balaenoptera musculus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_951394435.1	9737	2023-06-16	1631	3590204	933685	638	105253534	3773959	2691423227	42.60	Stenella coeruleoalba	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028021215.1	9764	2023-01-31	983	39209000	1346193	704	126538682	3323575	2982434994	45.89	Eschrichtius robustus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028023285.1	2746895	2023-01-30	1108	36541936	2068056	774	122071569	64772330	2678442663	40.59	Balaenoptera ricei	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949987535.1	9767	2023-05-01	2552	3015723	538597	1375	116513105	2642000	2772901778	42.15	Balaenoptera acutorostrata	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_041834305.1	9773	2024-09-09	1443	36344089	1303092	1355	107416641	1334686	3146604256	47.78	Megaptera novaeangliae	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_937001465.1	9733	2022-05-03	571	45583382	8157000	448	114219206	61273037	2647351467	41.13	Orcinus orca	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949774975.1	27610	2023-04-08	1480	3398034	934848	410	110721866	60637525	2544835795	39.23	Lagenorhynchus albirostris	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_963455315.2	9731	2024-09-07	2077	3290841	724061	993	105087932	2537918	2651292441	41.52	Globicephala melas	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_025265405.1	48708	2022-09-19	170	48253041	10485891	73	125805690	67049709	2683375131	41.27	Mesoplodon densirostris	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_964165515.1	48745	2024-06-06	2697	3140665	630250	1602	107252728	1039660	2999098505	44.67	Mesoplodon bidens	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949752795.1	48744	2023-04-08	1855	3126546	835131	757	117448692	2622535	2828760712	44.33	Hyperoodon ampullatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_026419965.1	27615	2022-11-27	723	42780423	9444491	580	122394096	78202441	2555838840	39.51	Kogia breviceps	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028564815.1	27606	2023-02-09	1142	37467374	1454974	779	129620717	63922580	2832194838	43.57	Eubalaena glacialis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_005190385.3	40151	2022-11-09	414	22031227	4259794	101	108465051	78012119	2341954608	34.50	Monodon monoceros	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_030028045.1	575201	2023-05-18	582	50348260	8899420	356	149218186	80663695	2538242855	34.91	Hippopotamus amphibius kiboko	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_003369695.2	30522	2018-11-30	1553	26764281	5856886	1251	104466507	51310239	2680969395	40.71	Bos indicus x Bos taurus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio RSII
GCF_963930625.1	9886	2024-01-31	949	5780196	1591894	267	114544513	59907558	2656168540	39.32	Muntiacus reevesi	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_030704935.1	9823	2023-08-10	1257	55949000	7747852	379	141798237	68550409	2671498991	38.25	Sus scrofa	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036321535.1	9838	2024-01-31	367	31216184	2631906	172	72991593	20372985	2306619778	32.97	Camelus dromedarius	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036426135.1	9796	2024-02-07	716	43557573	9354124	602	90406661	42851002	2596737506	32.39	Equus caballus	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_020826845.1	77932	2021-11-10	1290	28468213	1560275	1075	65026825	3800360	3005519209	39.55	Diceros bicornis minor	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_031878705.1	9802	2023-09-25	285	56553937	10861383	193	129754520	42189370	2477445429	30.32	Tapirus indicus	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_004126475.3	89673	2020-05-12	962	6892556	1272225	78	171742863	77959510	2108849533	30.22	Phyllostomus discolor	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_038363095.2	27634	2024-05-21	532	65515378	20712727	487	160301290	60611656	2311617438	34.14	Artibeus lituratus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_038363145.1	51014	2024-04-22	500	60026580	16798204	419	160430197	101253383	2293600955	33.92	Artibeus intermedius	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_039655065.1	2994998	2024-05-17	129	77027013	18094795	82	169732090	97229609	2159908085	32.42	Glossophaga mutica	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_022682495.2	9430	2022-03-24	1188	6739964	1285658	573	160127860	101544622	2119704833	32.12	Desmodus rotundus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_037157525.1	1552295	2024-03-15	406	63410948	15208025	326	112651663	61109054	2478684717	40.09	Molossus alvarezi	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108415.1	27622	2020-08-13	410	22174888	2975898	61	110665204	55974334	2315585093	37.29	Molossus molossus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_039880945.1	2997257	2024-05-29	479	74731956	5976095	366	114338547	55232080	2567103348	41.01	Molossus nigricans	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_030848825.1	9438	2023-08-22	168	86333355	27110749	148	111098925	53271390	2283188801	35.61	Tadarida brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108235.1	51298	2020-08-13	631	12511134	1569096	93	94448911	43537823	2002797876	35.72	Myotis myotis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_963259705.1	98922	2023-08-20	1221	3062752	968717	122	102234773	57790901	2127824474	38.20	Myotis daubentonii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964094495.2	109479	2024-06-12	2092	2201046	608979	526	99827109	53766218	2081199042	36.97	Myotis mystacinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964212035.1	109481	2024-08-02	1963	2065327	613607	343	101144875	54615031	2124021592	37.63	Myotis nattereri	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108245.1	59472	2020-08-13	597	10591995	1384747	203	80237350	6783086	1775705730	34.02	Pipistrellus kuhlii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_903992545.1	59474	2020-08-06	1869	4446752	498293	323	94929986	46231460	1763439233	33.98	Pipistrellus pipistrellus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_949987585.1	246814	2023-05-01	404	54047000	4003000	243	89507134	49778105	1895125685	36.97	Pipistrellus pygmaeus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_951640355.1	59451	2023-05-18	1630	2474537	720030	207	98018206	52996688	2064119045	37.39	Eptesicus nilssonii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_027574615.1	29078	2023-01-09	124	49033427	14456996	49	102817582	51871983	2008074896	36.39	Eptesicus fuscus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_963455305.1	61862	2023-09-20	1302	2948753	868510	65	186501726	62501937	2163221563	39.01	Plecotus auritus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_037038545.1	249017	2024-03-06	109	86271459	34670305	41	286991050	142670400	2455066473	40.93	Rhynchonycteris naso	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_027563665.1	9440	2023-01-09	327	41887785	6204840	93	114648712	60205001	2126460045	38.79	Antrozous pallidus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_026230045.1	124745	2022-11-18	399	22150609	3835978	182	177756282	55453421	1961562149	35.71	Corynorhinus townsendii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_963924515.1	59485	2024-01-29	1158	3319810	907235	178	186292382	49547305	1925577803	36.67	Vespertilio murinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964264875.1	59465	2024-09-21	2943	1871731	414444	1281	90881000	1534273	2233532335	42.06	Nyctalus leisleri	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964146895.1	9433	2024-06-06	1587	2292542	634222	265	86279620	40657486	1852127854	30.49	Miniopterus schreibersii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_036850995.1	249018	2024-02-26	740	17812205	3469247	167	224759591	82789928	2576497192	42.04	Saccopteryx leptura	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_036850765.1	59482	2024-02-26	725	20047694	4320768	257	300074216	96864226	2612326447	43.30	Saccopteryx bilineata	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_004115265.3	59479	2019-05-17	293	29908815	6134356	135	88025743	44817474	2075785400	28.99	Rhinolophus ferrumequinum	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_964194185.1	77218	2024-06-28	2350	2014157	579055	723	88364482	39877259	2171328640	31.77	Rhinolophus hipposideros	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014176215.1	9407	2020-08-13	272	21999313	4102912	30	113811795	60676320	1893618717	26.30	Rousettus aegyptiacus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_031876335.1	175524	2023-09-25	188	34562834	8862568	69	185549907	70677420	2338923724	34.91	Hipposideros larvatus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_902655055.2	9657	2020-07-31	229	30403456	7484603	44	149004807	89080780	2438458878	33.82	Lutra lutra	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_009829155.1	36723	2020-01-03	293	36329944	8968756	94	130149454	70820203	2445217281	33.15	Mustela erminea	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_030435805.1	9666	2023-07-13	65	83356672	25018734	26	154078643	75872633	2586285479	36.01	Mustela lutreola	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_964106545.1	452646	2024-06-06	3392	1439238	433718	435	221119109	131216524	2697147479	37.57	Neogale vison	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_963455335.1	29065	2023-09-20	2727	1599794	488031	477	146289188	69260160	2484650161	34.17	Martes martes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_922984935.2	9662	2022-03-23	639	75210923	8717463	538	132955750	61486999	2738694574	37.51	Meles meles	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_905319855.2	9612	2021-03-26	248	34375412	6529556	82	65778685	41774919	2447463909	34.07	Canis lupus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_011100685.1	9615	2020-03-10	2783	14840767	2771698	2198	64299765	32139216	2482000080	33.61	Canis lupus familiaris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_964106825.2	9627	2024-06-27	2306	2040520	573338	461	139235879	103545347	2411727275	32.20	Vulpes vulpes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_040955705.1	9622	2024-08-01	167	39426608	11726452	76	64477381	39993794	2384012108	33.04	Lycaon pictus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_009762305.2	9704	2020-07-14	232	31618759	8788420	47	147124152	94255706	2409685310	33.47	Zalophus californianus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_007474595.2	61383	2020-07-14	897	7503561	1412021	55	147275701	83270606	2407827299	33.69	Lynx canadensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_028018385.1	61452	2023-01-31	215	51579577	7351810	34	150204169	75977291	2468361932	33.81	Neofelis nebulosa	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_030020395.1	143292	2023-05-23	1045	25547713	2630075	662	149551276	66628983	2840181150	38.57	Manis pentadactyla	Sarcopterygii	Mammalia			Laurasiatheria	Pholidota	PacBio HiFi
GCA_024139225.1	109475	2022-07-06	1158	5042816	1346702	148	131952995	76877584	2471683639	45.96	Suncus etruscus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio CLR
GCA_027595985.1	42254	2023-01-09	1493	4024507	883884	66	374364821	71220267	2406010873	41.07	Sorex araneus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_964194135.1	9375	2024-06-28	1520	3421604	914022	464	136888642	92979632	2061000977	32.98	Talpa europaea	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_950295315.1	9365	2023-05-01	4935	999919	276067	1175	126757761	67790477	2720701264	53.82	Erinaceus europaeus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_011100635.1	9337	2020-03-10	2008	4314688	934448	212	442560073	267638963	3359347793	40.22	Trichosurus vulpecula	Sarcopterygii	Mammalia				Diprotodontia	PacBio CLR
GCA_028372415.1	9315	2023-02-06	830	15255043	3886710	315	489668034	389607729	3448908279	38.98	Notamacropus eugenii	Sarcopterygii	Mammalia				Diprotodontia	PacBio HiFi
GCA_003287225.2	38626	2022-12-12	1915	11399805	3359514	1246	428240489	260426051	3192631935	38.69	Phascolarctos cinereus	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_037893015.1	92651	2024-04-04	5040	1223998	326841	609	343853051	222862966	3655732635	43.08	Macrotis lagotis	Sarcopterygii	Mammalia				Peramelemorphia	PacBio HiFi
GCA_019393635.1	33562	2021-08-03	278	38230856	9891997	18	670775900	280580407	3303217110	42.25	Dromiciops gliroides	Sarcopterygii	Mammalia				Microbiotheria	PacBio CLR
GCA_027887165.1	13616	2023-01-18	2269	3910714	702507	14	538302405	293766905	3586183679	43.10	Monodelphis domestica	Sarcopterygii	Mammalia				Didelphimorphia	PacBio HiFi
GCA_004115215.4	9258	2020-11-06	837	15146802	2291290	322	83338043	33863336	1859281749	48.60	Ornithorhynchus anatinus	Sarcopterygii	Mammalia				Monotremata	PacBio CLR
GCA_015852505.1	9261	2020-12-09	835	19859057	2228410	311	63379719	21663010	2213020595	55.79	Tachyglossus aculeatus	Sarcopterygii	Mammalia				Monotremata	PacBio CLR
GCA_003957565.4	59729	2021-05-04	551	8964551	1525821	199	70982421	13771869	1056271264	19.96	Taeniopygia guttata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_026979565.1	81927	2022-12-21	636	15819291	1185864	178	72553174	11446010	1080457469	19.94	Vidua chalybeata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027477595.1	30427	2022-12-29	478	16787335	2557272	183	77212160	11671694	1148216196	22.67	Haemorhous mexicanus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_963513975.1	37598	2023-09-28	1033	3733973	774182	460	73246393	3427555	1209243761	27.36	Fringilla coelebs	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_028018845.1	44398	2023-01-31	276	10446106	2056409	40	74254230	12685073	1162015399	23.48	Melospiza georgiana	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_035770615.1	1914991	2024-01-24	653	19453098	1927921	354	77460261	9662334	1541261971	38.19	Melospiza melodia melodia	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027887145.1	2857398	2023-01-18	645	8252193	1186437	282	78443464	8025706	1241209685	27.98	Ammospiza caudacuta	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027579445.1	2857394	2023-01-09	292	12036358	1822036	77	74723840	9592563	1185463352	24.96	Ammospiza nelsoni	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_036010785.1	3111550	2024-01-24	866	8735889	1152142	501	67791739	3134610	1397856043	33.50	Ammospiza maritima maritima	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_031885435.1	161624	2023-09-25	359	19816254	4248821	110	64395891	10159921	1270940266	25.77	Passerculus sandwichensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
