Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_008692025.1	3349	3320	29	0	5	160	42100	2019-09-26	Phocoena sinus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_963924675.1	3346	3320	26	1	7	107	9742	2024-01-29	Phocoena phocoena	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_011762595.1	3347	3302	45	1	6	110	9739	2020-03-27	Tursiops truncatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_039906515.1	3351	3307	44	0	3	116	82174	2024-05-31	Pseudorca crassidens	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036417435.1	3350	3310	40	0	4	96	9725	2024-02-06	Inia geoffrensis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949987515.2	3348	3308	40	1	5	102	9728	2024-09-07	Delphinus delphis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_964270905.1	3349	3297	52	0	5	113	90246	2024-09-29	Lagenorhynchus acutus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_009873245.3	3350	3276	74	1	3	160	9771	2020-10-02	Balaenoptera musculus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_951394435.1	3343	3309	34	0	11	110	9737	2023-06-16	Stenella coeruleoalba	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028021215.1	3352	3292	60	0	2	103	9764	2023-01-31	Eschrichtius robustus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028023285.1	3350	3280	70	1	3	92	2746895	2023-01-30	Balaenoptera ricei	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949987535.1	3345	3280	65	5	4	119	9767	2023-05-01	Balaenoptera acutorostrata	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_041834305.1	3351	3281	70	1	2	100	9773	2024-09-09	Megaptera novaeangliae	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_937001465.1	3351	3303	48	0	3	116	9733	2022-05-03	Orcinus orca	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949774975.1	3345	3291	54	3	6	116	27610	2023-04-08	Lagenorhynchus albirostris	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_963455315.2	3343	3287	56	1	10	108	9731	2024-09-07	Globicephala melas	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_025265405.1	3347	3257	90	0	7	103	48708	2022-09-19	Mesoplodon densirostris	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_964165515.1	3347	3255	92	2	5	112	48745	2024-06-06	Mesoplodon bidens	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_949752795.1	3342	3273	69	4	8	114	48744	2023-04-08	Hyperoodon ampullatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_026419965.1	3345	3308	37	2	7	109	27615	2022-11-27	Kogia breviceps	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_028564815.1	3352	3263	89	1	1	117	27606	2023-02-09	Eubalaena glacialis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_005190385.3	3346	3309	37	0	8	194	40151	2022-11-09	Monodon monoceros	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio CLR
GCA_030028045.1	3351	3231	120	0	3	117	575201	2023-05-18	Hippopotamus amphibius kiboko	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_003369695.2	3342	3285	57	3	9	122	30522	2018-11-30	Bos indicus x Bos taurus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio RSII
GCF_963930625.1	3351	3282	69	1	2	103	9886	2024-01-31	Muntiacus reevesi	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_030704935.1	3353	3344	9	1	0	87	9823	2023-08-10	Sus scrofa	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036321535.1	3313	3293	20	3	38	96	9838	2024-01-31	Camelus dromedarius	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	PacBio HiFi
GCA_036426135.1	3349	3329	20	0	5	106	9796	2024-02-07	Equus caballus	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_020826845.1	3354	3335	19	0	0	85	77932	2021-11-10	Diceros bicornis minor	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_031878705.1	3349	3333	16	0	5	92	9802	2023-09-25	Tapirus indicus	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	PacBio HiFi
GCA_004126475.3	3330	3306	24	7	17	197	89673	2020-05-12	Phyllostomus discolor	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_038363095.2	3346	3263	83	2	6	107	27634	2024-05-21	Artibeus lituratus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_038363145.1	3335	3255	80	4	15	109	51014	2024-04-22	Artibeus intermedius	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_039655065.1	3349	3319	30	2	3	110	2994998	2024-05-17	Glossophaga mutica	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_022682495.2	3331	3310	21	5	18	101	9430	2022-03-24	Desmodus rotundus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_037157525.1	3349	3302	47	3	2	111	1552295	2024-03-15	Molossus alvarezi	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108415.1	3349	3327	22	2	3	102	27622	2020-08-13	Molossus molossus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_039880945.1	3347	3314	33	4	3	110	2997257	2024-05-29	Molossus nigricans	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_030848825.1	3350	3305	45	2	2	109	9438	2023-08-22	Tadarida brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108235.1	3352	3264	88	1	1	118	51298	2020-08-13	Myotis myotis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_963259705.1	3349	3270	79	0	5	115	98922	2023-08-20	Myotis daubentonii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964094495.2	3344	3232	112	3	7	124	109479	2024-06-12	Myotis mystacinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964212035.1	3349	3292	57	3	2	115	109481	2024-08-02	Myotis nattereri	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014108245.1	3345	3296	49	4	5	119	59472	2020-08-13	Pipistrellus kuhlii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_903992545.1	3177	3126	51	32	145	221	59474	2020-08-06	Pipistrellus pipistrellus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_949987585.1	3348	3316	32	2	4	113	246814	2023-05-01	Pipistrellus pygmaeus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_951640355.1	3351	3317	34	2	1	114	59451	2023-05-18	Eptesicus nilssonii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_027574615.1	3353	3320	33	0	1	116	29078	2023-01-09	Eptesicus fuscus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_963455305.1	3351	3299	52	2	1	124	61862	2023-09-20	Plecotus auritus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_037038545.1	3347	3309	38	2	5	95	249017	2024-03-06	Rhynchonycteris naso	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_027563665.1	3341	3227	114	1	12	149	9440	2023-01-09	Antrozous pallidus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_026230045.1	3304	3209	95	3	47	122	124745	2022-11-18	Corynorhinus townsendii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_963924515.1	3347	3305	42	3	4	110	59485	2024-01-29	Vespertilio murinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964264875.1	3343	3300	43	4	7	119	59465	2024-09-21	Nyctalus leisleri	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_964146895.1	3348	3327	21	3	3	107	9433	2024-06-06	Miniopterus schreibersii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_036850995.1	3348	3295	53	3	3	99	249018	2024-02-26	Saccopteryx leptura	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_036850765.1	3348	3284	64	4	2	97	59482	2024-02-26	Saccopteryx bilineata	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_004115265.3	3351	3288	63	1	2	128	59479	2019-05-17	Rhinolophus ferrumequinum	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_964194185.1	3349	3282	67	4	1	113	77218	2024-06-28	Rhinolophus hipposideros	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_014176215.1	3345	3337	8	3	6	90	9407	2020-08-13	Rousettus aegyptiacus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
GCA_031876335.1	3352	3298	54	1	1	108	175524	2023-09-25	Hipposideros larvatus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio HiFi
GCA_902655055.2	3350	3268	82	0	4	160	9657	2020-07-31	Lutra lutra	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_009829155.1	3337	3299	38	1	16	95	36723	2020-01-03	Mustela erminea	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_030435805.1	3353	3297	56	1	0	84	9666	2023-07-13	Mustela lutreola	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_964106545.1	3347	3251	96	4	3	86	452646	2024-06-06	Neogale vison	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_963455335.1	3343	3325	18	9	1	86	29065	2023-09-20	Martes martes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_922984935.2	3353	3297	56	1	0	102	9662	2022-03-23	Meles meles	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_905319855.2	3351	3290	61	2	1	103	9612	2021-03-26	Canis lupus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_011100685.1	3351	3285	66	1	2	126	9615	2020-03-10	Canis lupus familiaris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_964106825.2	3346	3270	76	6	2	96	9627	2024-06-27	Vulpes vulpes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_040955705.1	3352	3283	69	1	1	100	9622	2024-08-01	Lycaon pictus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_009762305.2	3352	3241	111	2	0	163	9704	2020-07-14	Zalophus californianus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_007474595.2	3338	3327	11	8	8	211	61383	2020-07-14	Lynx canadensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio CLR
GCA_028018385.1	3351	3319	32	2	1	101	61452	2023-01-31	Neofelis nebulosa	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	PacBio HiFi
GCA_030020395.1	3351	3300	51	0	3	105	143292	2023-05-23	Manis pentadactyla	Sarcopterygii	Mammalia			Laurasiatheria	Pholidota	PacBio HiFi
GCA_024139225.1	3329	3243	86	10	15	213	109475	2022-07-06	Suncus etruscus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio CLR
GCA_027595985.1	3332	3284	48	8	13	129	42254	2023-01-09	Sorex araneus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_964194135.1	3343	3306	37	3	8	80	9375	2024-06-28	Talpa europaea	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_950295315.1	3314	3287	27	26	14	109	9365	2023-05-01	Erinaceus europaeus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	PacBio HiFi
GCA_011100635.1	3329	3222	107	13	12	89	9337	2020-03-10	Trichosurus vulpecula	Sarcopterygii	Mammalia				Diprotodontia	PacBio CLR
GCA_028372415.1	3348	3271	77	3	3	76	9315	2023-02-06	Notamacropus eugenii	Sarcopterygii	Mammalia				Diprotodontia	PacBio HiFi
GCA_003287225.2	3348	3326	22	1	5	234	38626	2022-12-12	Phascolarctos cinereus	Sarcopterygii	Mammalia				Diprotodontia	PacBio RSII
GCA_037893015.1	3327	3205	122	11	16	115	92651	2024-04-04	Macrotis lagotis	Sarcopterygii	Mammalia				Peramelemorphia	PacBio HiFi
GCA_019393635.1	3347	3257	90	2	5	228	33562	2021-08-03	Dromiciops gliroides	Sarcopterygii	Mammalia				Microbiotheria	PacBio CLR
GCA_027887165.1	3315	3251	64	11	28	92	13616	2023-01-18	Monodelphis domestica	Sarcopterygii	Mammalia				Didelphimorphia	PacBio HiFi
GCA_004115215.4	3307	3294	13	16	31	161	9258	2020-11-06	Ornithorhynchus anatinus	Sarcopterygii	Mammalia				Monotremata	PacBio CLR
GCA_015852505.1	3297	3290	7	13	44	158	9261	2020-12-09	Tachyglossus aculeatus	Sarcopterygii	Mammalia				Monotremata	PacBio CLR
GCA_003957565.4	3310	3303	7	10	34	116	59729	2021-05-04	Taeniopygia guttata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_026979565.1	3320	3312	8	7	27	119	81927	2022-12-21	Vidua chalybeata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027477595.1	3308	3298	10	12	34	118	30427	2022-12-29	Haemorhous mexicanus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_963513975.1	3309	3301	8	8	37	104	37598	2023-09-28	Fringilla coelebs	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_028018845.1	3269	3260	9	8	77	118	44398	2023-01-31	Melospiza georgiana	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_035770615.1	3308	3277	31	7	39	125	1914991	2024-01-24	Melospiza melodia melodia	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027887145.1	3324	3314	10	10	20	116	2857398	2023-01-18	Ammospiza caudacuta	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_027579445.1	3280	3267	13	6	68	108	2857394	2023-01-09	Ammospiza nelsoni	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_036010785.1	3318	3298	20	7	29	117	3111550	2024-01-24	Ammospiza maritima maritima	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_031885435.1	3315	3305	10	8	31	123	161624	2023-09-25	Passerculus sandwichensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_036417665.1	3286	3266	20	14	54	126	48849	2024-02-07	Passer domesticus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_014839755.1	3292	3287	5	9	53	123	73324	2020-10-02	Sylvia borin	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009819655.1	3250	3223	27	15	89	152	48155	2019-12-31	Sylvia atricapilla	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_015227805.3	3283	3271	12	12	58	130	43150	2021-11-30	Hirundo rustica	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009764595.1	3160	3122	38	26	168	261	135433	2019-12-19	Geothlypis trichas	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_903797595.2	3260	3253	7	21	73	137	37610	2021-05-03	Erithacus rubecula	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009819885.2	3319	3228	91	7	28	151	91951	2020-12-22	Catharus ustulatus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_030490865.1	3323	3121	202	7	24	106	48891	2023-07-18	Poecile atricapillus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_029582105.1	3281	3271	10	25	48	109	2939378	2023-04-06	Oenanthe melanoleuca	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_963662255.1	3319	3309	10	11	24	109	127875	2023-12-11	Cinclus cinclus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_020745825.3	3310	3296	14	13	31	126	39638	2023-03-15	Agelaius phoeniceus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio RSII
GCA_027559615.1	3293	3286	7	8	53	131	279927	2023-01-09	Acridotheres tristis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_014706295.1	3264	3249	15	18	72	133	2767082	2020-09-23	Lycocorax pyrrhopterus obiensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_020740725.1	3304	3297	7	10	40	125	134902	2021-11-04	Corvus hawaiiensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_009650955.1	3288	3276	12	17	49	135	1196302	2019-11-14	Corvus moneduloides	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009829145.1	3290	3274	16	11	53	202	296741	2020-01-03	Chiroxiphia lanceolata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_036250125.1	3273	3250	23	14	67	127	415032	2024-01-31	Pseudopipra pipra	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_016904835.1	3268	3253	15	14	72	207	57068	2021-02-17	Acanthisitta chloris	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_004027225.2	3324	3292	32	6	24	117	2489341	2020-03-04	Strigops habroptila	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio CLR
GCA_012275295.1	3335	3292	43	5	14	129	13146	2020-04-13	Melopsittacus undulatus	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio CLR
GCA_028858755.1	3317	3305	12	6	31	105	9226	2023-02-24	Ara ararauna	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_039720435.1	3310	3266	44	10	34	110	151761	2024-05-24	Amazona ochrocephala	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_037157495.1	3301	3268	33	9	44	103	678569	2024-03-15	Lathamus discolor	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_963264785.1	3338	3329	9	6	10	113	232653	2023-08-20	Psittacula echo	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_023634155.1	3305	3291	14	3	46	99	8954	2022-06-02	Falco peregrinus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_015220075.1	3309	3294	15	10	35	125	120794	2020-11-03	Falco rusticolus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio CLR
GCA_023638135.1	3280	3265	15	6	68	109	345155	2022-06-02	Falco biarmicus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_023634085.1	3304	3292	12	4	46	101	345164	2022-06-02	Falco cherrug	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
