Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_010015965.3	57237	2023-09-20	362077	5563	1441	1026749961	Ara militaris	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010076225.1	37081	2020-01-31	84018	41561	10250	1236520606	Spheniscus magellanicus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010077935.1	92683	2020-01-31	34279	101688	22889	1220380633	Spheniscus demersus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010078415.1	79643	2020-01-31	34478	119051	23147	1228273172	Pygoscelis antarcticus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010078445.1	92688	2020-01-31	35075	69583	18508	1187311428	Eudyptes sclateri	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010078485.1	2517240	2020-01-31	39632	84129	17995	1255729456	Megadyptes antipodes antipodes	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010078495.1	2052820	2020-01-31	34600	122764	25964	1308285663	Eudyptula minor novaehollandiae	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010080425.1	57240	2020-01-31	142133	24233	5258	1254614709	Eudyptes schlegeli	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010080465.1	345258	2020-01-31	41167	96022	20078	1314410653	Eudyptula albosignata	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010082375.1	2495534	2020-01-31	132898	21450	5507	1238182443	Eudyptes moseleyi	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010084205.1	79627	2020-01-31	30687	164481	31907	1330981288	Eudyptes chrysolophus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010085355.1	79626	2020-01-31	43030	66001	15818	1197790916	Eudyptes chrysocome	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010085365.1	1419345	2020-01-31	33098	74280	19550	1192873763	Eudyptes filholi	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010087175.1	9234	2020-01-31	33830	117300	23395	1220635914	Aptenodytes patagonicus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_010303855.1	30461	2020-02-04	133317	37091	7467	1201476694	Bubo bubo	Sarcopterygii	Aves	Neognathae			Strigiformes	missing
GCA_010312235.1	224669	2020-02-04	127054	36723	7655	1216074549	Buteo japonicus	Sarcopterygii	Aves	Neognathae			Accipitriformes	missing
GCA_010365825.1	257818	2020-02-04	151517	52366	10305	1212025020	Otus sunia	Sarcopterygii	Aves	Neognathae			Strigiformes	missing
GCA_011057875.1	227169	2020-03-02	69999	48746	8459	1129658684	Pterocles orientalis	Sarcopterygii	Aves	Neognathae			Pterocliformes	missing
GCA_011074415.1	45637	2020-03-10	27664	136958	23842	1116727462	Stictonetta naevosa	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	missing
GCA_011075105.1	555264	2020-03-10	25704	151401	26807	1124050865	Heteronetta atricapilla	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	missing
GCA_011076525.1	658922	2020-03-10	31007	105082	20500	1113350850	Nettapus auritus	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	missing
GCA_011125475.1	371916	2020-03-17	453	15373166	2233217	1309626407	Melanerpes aurifrons	Sarcopterygii	Aves	Neognathae			Piciformes	Oxford Nanopore
GCA_011317185.2	492513	2022-11-14	141587	15681	3898	1094490554	Eupsittula pertinax	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011762725.2	30456	2022-12-29	956648	1682	420	996188346	Pionus senilis	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011763355.2	311895	2022-11-27	184198	20854	4368	1121876177	Pyrrhura molinae	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011763455.2	311897	2022-07-21	156229	23964	5707	1111208551	Pyrrhura perlata	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011763535.2	176024	2022-07-21	210342	17202	2857	1094490652	Eclectus roratus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011800095.2	51906	2022-07-21	279914	19274	3288	1150640701	Guaruba guarouba	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_011801015.1	172690	2020-03-31	165403	34349	1907	1293716190	Ardeotis arabs	Sarcopterygii	Aves	Neognathae			Otidiformes	missing
GCA_012487455.1	214438	2020-04-08	83495	51153	9714	1195266885	Nisaetus nipalensis	Sarcopterygii	Aves	Neognathae			Accipitriformes	missing
GCA_012487855.1	40818	2020-04-08	100703	35960	7361	1176261022	Grus monacha	Sarcopterygii	Aves	Neognathae			Gruiformes	missing
GCA_012488435.1	2717088	2020-04-08	113081	30857	6561	1174954608	Antigone vipio	Sarcopterygii	Aves	Neognathae			Gruiformes	missing
GCA_013186435.1	311356	2020-05-28	78770	27028	6175	1004141260	Turdus rufiventris	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013372525.1	9121	2020-06-24	31348	246158	33850	1148146681	Fulica atra	Sarcopterygii	Aves	Neognathae			Gruiformes	missing
GCA_013389825.1	48396	2020-07-06	149807	32126	4433	1015008279	Crypturellus undulatus	Sarcopterygii	Aves			Palaeognathae	Tinamiformes	missing
GCA_013389865.1	33601	2020-07-06	241620	18763	2740	1132883335	Piaya cayana	Sarcopterygii	Aves	Neognathae			Cuculiformes	missing
GCA_013389885.1	8947	2020-07-06	254439	28387	3037	1130625920	Geococcyx californianus	Sarcopterygii	Aves	Neognathae			Cuculiformes	missing
GCA_013389905.1	56068	2020-07-06	201856	25609	4244	1116486329	Sula dactylatra	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_013389925.1	73327	2020-07-06	182615	20998	3470	994958686	Aegithalos caudatus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013389945.1	37042	2020-07-06	262776	21934	2446	1152537595	Fregata magnificens	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_013389965.1	135184	2020-07-06	474969	6879	626	837299647	Todus mexicanus	Sarcopterygii	Aves	Neognathae			Coraciiformes	missing
GCA_013389985.1	85069	2020-07-06	236547	20866	2406	970110150	Dryoscopus gambensis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013390005.1	135972	2020-07-06	239716	24169	2408	1021347378	Calyptomena viridis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013390025.1	9163	2020-07-06	196352	17194	3070	1068462495	Pitta sordida	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013390045.1	175131	2020-07-06	231670	29083	2463	1001787582	Picathartes gymnocephalus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013390065.1	667144	2020-07-06	68315	34719	7149	1024224066	Chloropsis hardwickii	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013390105.1	237442	2020-07-06	399580	10894	785	856686366	Tichodroma muraria	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396355.1	47692	2020-07-10	32236	70620	18553	1050374304	Menura novaehollandiae	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396365.1	110676	2020-07-10	43737	53870	14233	1156020157	Cochlearius cochlearius	Sarcopterygii	Aves	Neognathae			Pelecaniformes	missing
GCA_013396375.1	89386	2020-07-10	50995	48381	11096	1111993402	Ardeotis kori	Sarcopterygii	Aves	Neognathae			Otidiformes	missing
GCA_013396435.1	56067	2020-07-10	93519	21331	5935	1155353775	Anhinga anhinga	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_013396455.1	172689	2020-07-10	42108	50191	13664	1093433144	Lophotis ruficrista	Sarcopterygii	Aves	Neognathae			Otidiformes	missing
GCA_013396465.1	363769	2020-07-10	47043	55501	11024	1027733644	Smithornis capensis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396485.1	449384	2020-07-10	50388	64317	10149	1034786682	Ptilorrhoa leucosticta	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396505.1	1352770	2020-07-10	36898	61759	17068	1156406333	Chunga burmeisteri	Sarcopterygii	Aves	Neognathae			Cariamiformes	missing
GCA_013396525.1	254446	2020-07-10	33970	83183	15993	1035170909	Chaetorhynchus papuensis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396555.1	495162	2020-07-10	42377	55378	12394	1047097709	Tachuris rubrigastra	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396575.1	58203	2020-07-10	80962	24089	5755	1003615074	Rhodinocichla rosea	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396595.1	48426	2020-07-10	83208	28616	6326	1129216629	Nyctibius bracteatus	Sarcopterygii	Aves	Neognathae			Caprimulgiformes	missing
GCA_013396615.1	79653	2020-07-10	85942	23886	6373	1149640527	Oceanites oceanicus	Sarcopterygii	Aves	Neognathae			Procellariiformes	missing
GCA_013396635.1	1118817	2020-07-10	73630	40414	10148	1020165826	Penelope pileata	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_013396655.1	190295	2020-07-10	69739	68988	13688	1039716656	Campylorhamphus procurvoides	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396675.1	91767	2020-07-10	216469	15136	2979	1205469434	Eubucco bourcierii	Sarcopterygii	Aves	Neognathae			Piciformes	missing
GCA_013396695.1	419690	2020-07-10	110392	43451	6740	1067306499	Sakesphorus luctuosus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396715.1	1118524	2020-07-10	149854	26292	5083	1172632378	Ciccaba nigrolineata	Sarcopterygii	Aves	Neognathae			Strigiformes	missing
GCA_013396735.1	117165	2020-07-10	102101	36531	7217	1046411125	Grallaria varia	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396755.1	265632	2020-07-10	65770	66301	13354	1038562829	Sclerurus mexicanus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396775.1	114276	2020-07-10	70551	58715	12345	1053444013	Cephalopterus ornatus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396815.1	103954	2020-07-10	226207	6602	1748	973341793	Corythaeola cristata	Sarcopterygii	Aves	Neognathae			Musophagiformes	missing
GCA_013396835.1	2585815	2020-07-10	183750	20007	3681	1183770426	Psilopogon haemacephalus	Sarcopterygii	Aves	Neognathae			Piciformes	missing
GCA_013396875.1	34956	2020-07-10	90152	57453	10379	1055146183	Vireo altiloquus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396915.1	54059	2020-07-10	71848	52309	12835	1151356498	Stercorarius parasiticus	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_013396935.1	176943	2020-07-10	100895	41850	8033	1093787337	Baryphthengus martii	Sarcopterygii	Aves	Neognathae			Coraciiformes	missing
GCA_013396955.1	13245	2020-07-10	195007	18249	3005	991228282	Regulus satrapa	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013396975.1	135168	2020-07-10	150466	20805	3578	971723344	Bucco capensis	Sarcopterygii	Aves	Neognathae			Piciformes	missing
GCA_013396995.1	667154	2020-07-10	77519	55699	10840	1006287027	Dicaeum eximium	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397015.1	381031	2020-07-10	111924	33505	7016	1038258873	Myiagra hebetior	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397025.1	79633	2020-07-10	149256	28019	5351	1175180126	Oceanodroma tethys	Sarcopterygii	Aves	Neognathae			Procellariiformes	missing
GCA_013397055.1	449367	2020-07-10	104976	36337	7212	1030803565	Pachycephala philippinensis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397075.1	237438	2020-07-10	72917	66561	12308	1031623190	Rhabdornis inornatus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397095.1	2585820	2020-07-10	120246	36911	6174	1032745851	Sterrhoptilus dennistouni	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397115.1	2585810	2020-07-10	74105	58848	11856	1034181433	Edolisoma coerulescens	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397135.1	369605	2020-07-10	82261	45546	10603	1046648739	Pachyramphus minor	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397155.1	175120	2020-07-10	87036	64973	10862	1029218275	Irena cyanogastra	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397235.1	28713	2020-07-10	68788	59110	12531	1032608268	Lanius ludovicianus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397245.1	74200	2020-07-10	132286	34927	5568	1015926087	Thryothorus ludovicianus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397275.1	240201	2020-07-10	124553	28043	6636	1195267258	Burhinus bistriatus	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_013397295.1	66707	2020-07-10	123704	28609	5853	1020376776	Polioptila caerulea	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397315.1	237420	2020-07-10	129425	32238	5773	1042981028	Donacobius atricapilla	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397375.1	99882	2020-07-10	90389	50547	8885	1022479851	Toxostoma redivivum	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397395.1	337173	2020-07-10	101238	43135	8184	1040556305	Sinosuthora webbiana	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397415.1	456388	2020-07-10	72922	32522	6514	1021490767	Neopipo cinnamomea	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397435.1	107208	2020-07-10	42897	76154	13403	1009860118	Erythrocercus mccallii	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397455.1	33598	2020-07-10	33899	73479	17601	1055737055	Crotophaga sulcirostris	Sarcopterygii	Aves	Neognathae			Cuculiformes	missing
GCA_013397465.1	463165	2020-07-10	55998	48265	9346	1000497705	Furnarius figulus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397495.1	254557	2020-07-10	38031	61463	14232	1026444678	Mionectes macconnelli	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397515.1	57439	2020-07-10	111360	26073	5448	960670606	Upupa epops	Sarcopterygii	Aves	Neognathae			Bucerotiformes	missing
GCA_013397535.1	2585816	2020-07-10	55196	38836	10085	1074364016	Pterocles burchelli	Sarcopterygii	Aves	Neognathae			Pterocliformes	missing
GCA_013397555.1	571890	2020-07-10	90997	32950	7843	1019170173	Urocynchramus pylzowi	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397565.1	28724	2020-07-10	71895	71891	13840	1049708363	Ptilonorhynchus violaceus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_013397595.1	342381	2020-07-10	32339	82537	19604	1119396791	Halcyon senegalensis	Sarcopterygii	Aves	Neognathae			Coraciiformes	missing
GCA_013397615.1	176039	2020-07-10	116540	17824	3613	1021131135	Eolophus roseicapilla	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_013397635.1	115618	2020-07-10	115891	22138	3573	1022945491	Columbina picui	Sarcopterygii	Aves	Neognathae			Columbiformes	missing
GCA_013397655.1	287016	2020-07-10	76406	33561	6692	1124953421	Chroicocephalus maculipennis	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_013397665.1	141839	2020-07-10	77661	29241	6016	1030529174	Probosciger aterrimus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
