accession	tax_id	technology	date	species	assembly_size	class	group
GCA_026229955.1	372063	HiFi	2022-11-14	Peromyscus maniculatus	2847741276	Mammalia	rodents
GCA_026230055.1	124745	HiFi	2022-11-18	Corynorhinus townsendii	2104912948	Mammalia	bats
GCA_026652325.1	8319	HiFi	2022-12-05	Pleurodeles waltl	20300798037	Amphibia	salamanders
GCA_027410445.1	8351	CLR	2022-12-28	Discoglossus pictus	3872602052	Amphibia	frogs & toads
GCA_027474245.1	9240	HiFi	2022-12-28	Spheniscus humboldti	1358357718	Aves	birds
GCA_027559615.1	279927	HiFi	2023-01-09	Acridotheres tristis	1193419045	Aves	birds
GCA_027563665.1	9440	CLR	2023-01-09	Antrozous pallidus	2126460045	Mammalia	bats
GCA_027574665.1	54386	HiFi	2023-01-09	Rhynochetos jubatus	1331454348	Aves	birds
GCA_027917425.1	8429	HiFi	2023-01-18	Gastrophryne carolinensis	4336248441	Amphibia	frogs & toads
GCA_027942865.1	219752	HiFi	2023-01-24	Odontesthes bonariensis	945823896	Actinopteri	bony fishes
GCA_028020825.1	8905	HiFi	2023-01-31	Podargus strigoides	1271141449	Aves	birds
GCA_028022725.1	1772091	HiFi	2023-01-31	Lycodopsis pacificus	646369862	Actinopteri	bony fishes
GCA_028022735.1	33610	HiFi	2023-01-31	Gypaetus barbatus	1365299843	Aves	hawks & eagles
GCA_028451465.1	34844	CLR	2023-02-06	Erethizon dorsatum	2432147792	Mammalia	rodents
GCA_028571685.1	77598	HiFi	2023-02-10	Heterohyrax brucei	3488059404	Mammalia	placentals
GCA_028858755.1	9226	HiFi	2023-02-24	Ara ararauna	1224360198	Aves	birds
GCA_029215775.1	2202111	HiFi	2023-03-14	Anniella stebbinsi	1890507581	Lepidosauria	lizards & snakes
GCA_030020295.1	94835	HiFi	2023-05-22	Gavialis gangeticus	2328538659		vertebrates
GCA_030035585.1	29137	HiFi	2023-05-18	Dugong dugon	3158488110	Mammalia	placentals
GCA_030412105.1	118683	HiFi	2023-07-07	Cyclura pinguis	1983631412	Lepidosauria	lizards & snakes
GCA_030440675.1	187939	HiFi	2023-07-12	Furcifer pardalis	1609777135	Lepidosauria	lizards & snakes
GCA_030463565.1	36300	HiFi	2023-07-18	Pelecanus crispus	1314587946	Aves	birds
GCA_030848825.1	9438	HiFi	2023-08-22	Tadarida brasiliensis	2283188801	Mammalia	bats
GCA_030867105.1	283338	HiFi	2023-08-24	Liasis olivaceus	1486119866	Lepidosauria	snakes
GCA_030867145.1	30419	HiFi	2023-08-24	Opisthocomus hoazin	1482459898	Aves	birds
GCA_031216445.1	315492	HiFi	2023-09-07	Lateolabrax maculatus	632510465	Actinopteri	bony fishes
GCA_031468815.1	37578	HiFi	2023-09-15	Morus bassanus	1294804326	Aves	birds
GCA_031876335.1	175524	HiFi	2023-09-25	Hipposideros larvatus	2338923724	Mammalia	bats
GCA_031877795.1	111821	HiFi	2023-09-25	Strix aluco	1414802443	Aves	birds
GCA_031878675.1	10013	HiFi	2023-09-25	Thomomys bottae	2025650949	Mammalia	rodents
GCA_031878705.1	9802	HiFi	2023-09-25	Tapirus indicus	2477445429	Mammalia	odd-toed ungulates
GCA_031885435.1	161624	HiFi	2023-09-25	Passerculus sandwichensis	1270940266	Aves	birds
GCA_031893055.1	238119	HiFi	2023-09-26	Leptodactylus fuscus	2197996823	Amphibia	frogs & toads
GCA_032164245.1	142480	HiFi	2023-09-29	Sternotherus odoratus	1759411633		turtles
GCA_033349115.1	3026461	HiFi	2023-11-06	Macrochelys suwanniensis	1937254095		turtles
GCA_033958435.1	44489	HiFi	2023-11-27	Carettochelys insculpta	2180317067		turtles
GCA_034619465.1	188344	HiFi	2023-12-27	Leptosomus discolor	1332047658	Aves	birds
GCA_035046505.1	71010	HiFi	2024-01-04	Tiliqua scincoides	1623332312	Lepidosauria	lizards & snakes
GCA_035084275.1	7873	HiFi	2024-01-05	Hydrolagus colliei	1003172678	Chondrichthyes	chimaeras
GCA_036010785.1	3111550	HiFi	2024-01-24	Ammospiza maritima	1397856043	Aves	birds
GCA_036172795.1	233781	HiFi	2024-01-26	Pelodytes ibericus	2077659799	Amphibia	frogs & toads
GCA_036417435.1	9725	CLR	2024-02-06	Inia geoffrensis	2749362370	Mammalia	whales & dolphins
GCA_036417535.1	187382	HiFi	2024-02-07	Chlamydotis macqueenii	1273933319	Aves	birds
GCA_036426135.1	9796	HiFi	2024-02-07	Equus caballus	2596737506	Mammalia	odd-toed ungulates
GCA_036784965.1	152111	HiFi	2024-02-23	Salvelinus alpinus	2129031653	Actinopteri	bony fishes
GCA_036873955.1	1570318	HiFi	2024-02-26	Mergus octosetaceus	1245791205	Aves	birds
GCA_036971685.2	372321	HiFi	2025-02-10	Patagioenas fasciata	1198742887	Aves	birds
GCA_037038515.1	10058	HiFi	2024-03-06	Microtus pennsylvanicus	2369135991	Mammalia	rodents
GCA_037038545.1	249017	HiFi	2024-03-06	Rhynchonycteris naso	2455066473	Mammalia	bats
GCA_037039145.1	54267	HiFi	2024-03-06	Fundulus diaphanus	1351828608	Actinopteri	bony fishes
GCA_037157525.1	1552295	HiFi	2024-03-15	Molossus alvarezi	2478684717	Mammalia	bats
GCA_037306005.1	43566	HiFi	2024-03-20	Rhinophrynus dorsalis	4745569335	Amphibia	frogs & toads
GCA_037893015.1	92651	CLR	2024-04-04	Macrotis lagotis	3655732635	Mammalia	marsupials
GCA_037962945.1	43583	HiFi	2024-04-04	Sarcoramphus papa	1543950730	Aves	hawks & eagles
GCA_038024135.1	28792	HiFi	2024-04-08	Cyprinella venusta	928717837	Actinopteri	bony fishes
GCA_038048845.1	3061075	HiFi	2024-04-17	Mixophyes fleayi	2969628263	Amphibia	frogs & toads
GCA_038355195.1	8014	HiFi	2024-04-17	Osmerus mordax	497673479	Actinopteri	bony fishes
GCA_038363095.2	27634	HiFi	2024-05-21	Artibeus lituratus	2311617438	Mammalia	bats
GCA_038363145.1	51014	HiFi	2024-04-22	Artibeus intermedius	2293600955	Mammalia	bats
GCA_038501925.1	288555	HiFi	2024-04-29	Xenopus petersii	2883796191	Amphibia	frogs & toads
GCA_039655065.1	2994998	HiFi	2024-05-17	Glossophaga mutica	2159908085	Mammalia	bats
GCA_039720435.1	151761	HiFi	2024-05-24	Amazona ochrocephala	1361915838	Aves	birds
GCA_039878825.1	46218	HiFi	2024-05-31	Excalfactoria chinensis	966847183	Aves	birds
GCA_039880945.1	2997257	HiFi	2024-05-29	Molossus nigricans	2567103348	Mammalia	bats
GCA_039906565.1	48277	HiFi	2024-05-31	Aegotheles albertisi	1167497019	Aves	birds
GCA_040206685.1	8439	HiFi	2024-06-17	Ascaphus truei	3722616900	Amphibia	frogs & toads
GCA_040805955.1	9940	HiFi	2024-07-22	Ovis aries	2853626077	Mammalia	even-toed ungulates & whales
GCA_040894355.2	1041117	HiFi	2025-02-07	Myuchelys georgesi	1980039302		turtles
GCA_040939525.1	7888	CLR	2024-08-01	Protopterus annectens	40524173670		lungfishes
GCA_040955705.1	9622	HiFi	2024-08-01	Lycaon pictus	2384012108	Mammalia	carnivores
GCA_041735815.1	9925	HiFi	2024-09-04	Capra hircus	2863923675	Mammalia	even-toed ungulates & whales
GCA_041753875.1	72011	HiFi	2024-09-05	Acanthopagrus schlegelii	714975658	Actinopteri	bony fishes
GCA_041834305.1	9773	HiFi	2024-09-09	Megaptera novaeangliae	3146604256	Mammalia	whales & dolphins
GCA_041902795.1	8005	HiFi	2024-09-12	Electrophorus electricus	833427914	Actinopteri	bony fishes
GCA_041903045.1	310571	HiFi	2024-09-12	Epinephelus lanceolatus	1089387278	Actinopteri	bony fishes
GCA_042242135.1	3352246	HiFi	2024-09-25	Arripis georgiana	801586327	Actinopteri	bony fishes
GCA_043250625.1	394691	HiFi	2024-10-17	Sebastes fasciatus	833835073	Actinopteri	bony fishes
GCA_043290085.1	320637	HiFi	2024-10-17	Rhynchocyon petersi	5620370870	Mammalia	placentals
GCA_043727835.1	188568	HiFi	2024-10-24	Aselliscus stoliczkanus	2268696503	Mammalia	bats
GCA_043728065.1	59477	HiFi	2024-10-24	Rhinolophus affinis	2302456897	Mammalia	bats
GCA_043728145.1	430492	HiFi	2024-10-24	Rhinolophus trifoliatus	2232422560	Mammalia	bats
GCA_043748575.1	3030661	HiFi	2024-10-24	Rhinolophus perniger	2185535924	Mammalia	bats
GCA_043748645.1	258863	HiFi	2024-10-24	Mops condylurus	2209024231	Mammalia	bats
GCA_043880285.1	249021	HiFi	2024-10-28	Doryrhina cyclops	2390604663	Mammalia	bats
GCA_043880425.1	2952509	HiFi	2024-10-28	Rhinolophus yonghoiseni	2323192134	Mammalia	bats
GCA_043880545.1	173903	HiFi	2024-10-28	Rhinopoma microphyllum	2564586454	Mammalia	bats
GCA_043880595.1	9414	HiFi	2024-10-28	Megaderma spasma	2124740378	Mammalia	bats
GCA_044231665.1	390378	HiFi	2024-11-04	Neosynchiropus ocellatus	470091028	Actinopteri	bony fishes
GCA_044231675.1	586865	HiFi	2024-11-04	Synchiropus picturatus	492062741	Actinopteri	bony fishes
GCA_045345405.1	51906	HiFi	2024-12-02	Guaruba guarouba	1366127126	Aves	birds
GCA_045345515.1	252789	HiFi	2024-12-02	Morphnus guianensis	1576624229	Aves	hawks & eagles
GCA_045362495.1	182658	HiFi	2024-11-26	Lethrinus nebulosus	1133212262	Actinopteri	bony fishes
GCA_045363895.1	264210	HiFi	2024-11-26	Pristipomoides typus	1147302341	Actinopteri	bony fishes
GCA_045364795.1	1566151	HiFi	2024-12-02	Willisornis vidua	1233406177	Aves	birds
GCA_045364815.1	44507	HiFi	2024-12-02	Podocnemis expansa	2565358608		turtles
GCA_045781085.1	260642	HiFi	2024-12-06	Pangshura tecta	2174585695		turtles
GCA_045843805.1	9999	HiFi	2024-12-13	Urocitellus parryii	2935792869	Mammalia	rodents
GCA_046126795.1	3379902	HiFi	2024-12-18	Dibamus cf. smithi	2282721590	Lepidosauria	lizards & snakes
GCA_046129655.1	28727	HiFi	2024-12-18	Cyanocitta cristata	1227176437	Aves	birds
GCA_046129695.1	40157	HiFi	2024-12-18	Lonchura striata	1207550942	Aves	birds
GCA_046255685.1	1195602	HiFi	2024-12-23	Amblyopsis spelaea	817459139	Actinopteri	bony fishes
GCA_046562885.1	9690	HiFi	2025-01-08	Panthera onca	2303345105	Mammalia	carnivores
GCA_046562895.1	9777	HiFi	2025-01-08	Trichechus inunguis	3320339069	Mammalia	placentals
GCA_047301625.1	241275	HiFi	2025-01-30	Choerodon schoenleinii	865958939	Actinopteri	bony fishes
GCA_047511565.1	143326	HiFi	2025-02-10	Polymixia lowei	675344950	Actinopteri	bony fishes
GCA_047511655.1	51338	HiFi	2025-02-10	Castor canadensis	2828089101	Mammalia	rodents
GCA_047715975.1	179887	HiFi	2025-02-12	Bradypodion pumilum	2467904324	Lepidosauria	lizards & snakes
GCA_047830755.1	44394	HiFi	2025-02-18	Zonotrichia albicollis	1278938765	Aves	birds
GCA_047922985.1	8805	HiFi	2025-02-20	Eudromia elegans	1109691113	Aves	birds
GCA_048126345.1	37699	HiFi	2025-02-26	Notoryctes typhlops	3845140558	Mammalia	marsupials
GCA_048126635.1	206126	HiFi	2025-02-27	Spinachia spinachia	407561107	Actinopteri	bony fishes
GCA_048126745.1	30532	HiFi	2025-02-27	Dama dama	2723325442	Mammalia	even-toed ungulates & whales
GCA_048128725.1	396798	HiFi	2025-02-28	Symphorus nematophorus	1079363760	Actinopteri	bony fishes
GCA_048128805.1	166262	HiFi	2025-02-28	Centroberyx gerrardi	779177424	Actinopteri	bony fishes
GCA_048129055.1	1311420	HiFi	2025-02-28	Caesio teres	1078118487	Actinopteri	bony fishes
GCA_048129235.1	2930458	HiFi	2025-02-28	Epinephelus rankini	1035398499	Actinopteri	bony fishes
GCA_048301445.1	161592	HiFi	2025-03-03	Syngnathus typhle	368300239	Actinopteri	bony fishes
GCA_048301465.1	150449	HiFi	2025-03-03	Aulostomus maculatus	662945422	Actinopteri	bony fishes
GCA_048301585.1	2590489	HiFi	2025-03-04	Rhinogobio nasutus	953377980	Actinopteri	bony fishes
GCA_048338725.1	9823	HiFi	2025-03-05	Sus scrofa	2633166191	Mammalia	even-toed ungulates & whales
GCA_048537225.1	3239838	HiFi	2025-03-10	Polymixia cf. hollisterae	722757191	Actinopteri	bony fishes
GCA_048544225.1	286537	HiFi	2025-03-12	Coilia mystus	854254650	Actinopteri	bony fishes
GCA_048565345.1	43514	HiFi	2025-03-12	Mantella aurantiaca	3336112499	Amphibia	frogs & toads
GCA_048565385.1	27679	HiFi	2025-03-12	Saimiri boliviensis	2747476440	Mammalia	primates
GCA_048569125.1	88682	HiFi	2025-03-13	Diretmus argenteus	1517026147	Actinopteri	bony fishes
GCA_048569485.1	238106	HiFi	2025-03-13	Anomaloglossus baeobatrachus	6265077250	Amphibia	frogs & toads
GCA_048593225.1	9305	HiFi	2025-03-17	Sarcophilus harrisii	3244907618	Mammalia	marsupials
GCA_048593235.1	9301	HiFi	2025-03-17	Sminthopsis crassicaudata	3239981553	Mammalia	marsupials
GCA_048593285.1	9281	HiFi	2025-03-17	Dasyurus maculatus	3043210118	Mammalia	marsupials
GCA_048628825.1	238744	HiFi	2025-03-19	Menidia menidia	571276089	Actinopteri	bony fishes
GCA_048771875.1	10166	HiFi	2025-03-21	Ctenodactylus gundi	2184404205	Mammalia	rodents
GCA_048771995.1	59729	HiFi	2025-03-21	Taeniopygia guttata	1141165377	Aves	birds
GCA_048772815.1	76772	HiFi	2025-03-21	Callospermophilus lateralis	4646974320	Mammalia	rodents
GCA_048934315.1	7757	CLR	2025-03-25	Petromyzon marinus	1808332251	Hyperoartia	lampreys
GCA_049082185.1	879810	HiFi	2025-03-27	Cristiceps australis	619674967	Actinopteri	bony fishes
GCA_049190665.1	89578	HiFi	2025-03-31	Lepidogalaxias salamandroides	735065728	Actinopteri	bony fishes
GCA_049354715.1	9483	CLR	2025-04-08	Callithrix jacchus	2933409465	Mammalia	primates
GCA_901001165.2	8032	CLR	2021-04-24	Salmo trutta	2371880186	Actinopteri	bony fishes
GCA_901699155.2	177155	CLR	2021-05-17	Streptopelia turtur	1178816852	Aves	birds
GCA_901765095.2	1415580	CLR	2021-04-24	Microcaecilia unicolor	4685939421	Amphibia	caecilians
GCA_902686455.2	55149	CLR	2020-07-31	Sciurus vulgaris	2878607543	Mammalia	rodents
GCA_903797595.2	37610	CLR	2021-05-03	Erithacus rubecula	1086738418	Aves	birds
GCA_903992545.1	59474	CLR	2020-08-06	Pipistrellus pipistrellus	1763439233	Mammalia	bats
GCA_905171665.2	36212	CLR	2021-11-26	Trachurus trachurus	801243942	Actinopteri	bony fishes
GCA_905319855.2	9612	HiFi	2021-03-26	Canis lupus	2447463909	Mammalia	carnivores
GCA_907165065.1	111811	CLR	2021-05-17	Caprimulgus europaeus	1177791212	Aves	birds
GCA_910589615.1	61643	HiFi	2021-07-07	Taurulus bubalis	615153901	Actinopteri	bony fishes
GCA_910591455.2	56726	HiFi	2021-11-18	Pholis gunnellus	588696950	Actinopteri	bony fishes
GCA_933228915.1	446457	HiFi	2022-03-23	Telmatherina bonti	986039709	Actinopteri	bony fishes
GCA_936440315.1	40830	HiFi	2022-05-03	Barbus barbus	1584929904	Actinopteri	bony fishes
GCA_944039275.1	7955	HiFi	2022-06-24	Danio rerio	1413675870	Actinopteri	bony fishes
GCA_946808225.1	933932	HiFi	2022-09-15	Silurus aristotelis	800118513	Actinopteri	bony fishes
GCA_947034865.1	135647	HiFi	2022-10-07	Barbatula barbatula	617663352	Actinopteri	bony fishes
GCA_947247035.1	103942	HiFi	2022-10-30	Vipera ursinii	1625023540	Lepidosauria	snakes
GCA_947650265.1	171736	HiFi	2022-12-21	Symphodus melops	636368453	Actinopteri	bony fishes
GCA_949152265.1	58324	HiFi	2023-04-08	Phoxinus phoxinus	950498056	Actinopteri	bony fishes
GCA_949316315.1	10090	HiFi	2023-04-08	Mus musculus	2770968735	Mammalia	rodents
GCA_949319135.1	8284	HiFi	2023-04-08	Squalius cephalus	1101930522	Actinopteri	bony fishes
GCA_949357685.1	27704	HiFi	2023-04-08	Gobio gobio	1460679231	Actinopteri	bony fishes
GCA_949357725.1	1484357	HiFi	2023-04-08	Hyperoplus immaculatus	797804280	Actinopteri	bony fishes
GCA_949606895.1	101497	HiFi	2023-04-08	Notothenia rossii	1042906029	Actinopteri	bony fishes
GCA_949628215.1	126867	HiFi	2023-04-08	Phalacrocorax aristotelis	1279134750	Aves	birds
GCA_949748355.1	1091424	HiFi	2023-04-08	Melanostigma gelatinosum	661975483	Actinopteri	bony fishes
GCA_949752795.1	48744	HiFi	2023-04-08	Hyperoodon ampullatus	2828760712	Mammalia	whales & dolphins
GCA_949987555.1	473354	HiFi	2023-05-03	Borostomias antarcticus	909249001	Actinopteri	bony fishes
GCA_949987585.1	246814	HiFi	2023-05-01	Pipistrellus pygmaeus	1895125685	Mammalia	bats
GCA_949987615.1	185739	HiFi	2023-05-03	Pollachius pollachius	606767444	Actinopteri	bony fishes
GCA_949987685.1	146480	HiFi	2023-05-03	Ammodytes marinus	777835610	Actinopteri	bony fishes
GCA_951216825.1	206093	HiFi	2023-05-11	Electrona antarctica	1427445741	Actinopteri	bony fishes
GCA_951394365.1	100830	HiFi	2023-06-15	Tetrao urogallus	1013184029	Aves	birds
GCA_951394435.1	9737	HiFi	2023-06-16	Stenella coeruleoalba	2691423227	Mammalia	whales & dolphins
GCA_951640355.1	3371016	HiFi	2023-05-18	Cnephaeus nilssonii	2064119045	Mammalia	bats
GCA_951799395.1	446415	HiFi	2023-05-27	Argentina silus	670765936	Actinopteri	bony fishes
GCA_951799975.1	85417	HiFi	2023-05-27	Gobius niger	870572126	Actinopteri	bony fishes
GCA_951802725.1	48668	HiFi	2023-05-30	Rutilus rutilus	1100195650	Actinopteri	bony fishes
GCA_951804945.1	1330250	HiFi	2023-06-02	Podarcis cretensis	1507627055	Lepidosauria	lizards & snakes
GCA_960531495.1	64108	HiFi	2023-07-26	Zeus faber	804731948	Actinopteri	bony fishes
GCA_963082525.1	187126	HiFi	2023-08-09	Nesoenas mayeri	1183271950	Aves	birds
GCA_963210335.1	148596	HiFi	2023-08-19	Falco punctatus	1279277844	Aves	birds
GCA_963264785.1	232653	HiFi	2023-08-20	Psittacula echo	1203831919	Aves	birds
GCA_963280865.1	948025	HiFi	2023-08-20	Gymnoscopelus braueri	1367984568	Actinopteri	bony fishes
GCA_963383615.1	56720	HiFi	2023-08-26	Lipophrys pholis	768243328	Actinopteri	bony fishes
GCA_963383645.1	39082	HiFi	2023-08-26	Muscardinus avellanarius	2497520702	Mammalia	rodents
GCA_963422515.1	195075	HiFi	2023-09-13	Blennius ocellaris	728745255	Actinopteri	bony fishes
GCA_963454915.1	1090481	HiFi	2023-09-13	Gymnoscopelus microlampas	1318656016	Actinopteri	bony fishes
GCA_963455305.1	61862	HiFi	2023-09-20	Plecotus auritus	2163221563	Mammalia	bats
GCA_963455335.1	29065	HiFi	2023-09-20	Martes martes	2484650161	Mammalia	carnivores
GCA_963457635.1	90074	HiFi	2023-09-20	Microchirus variegatus	724694306	Actinopteri	bony fishes
GCA_963457725.1	196075	HiFi	2023-09-20	Sprattus sprattus	840332306	Actinopteri	bony fishes
GCA_963513975.1	37598	HiFi	2023-09-28	Fringilla coelebs	1209243761	Aves	birds
GCA_963514005.1	223862	HiFi	2023-09-28	Raja brachyura	2700467673	Chondrichthyes	sharks & rays
GCA_963514085.1	48171	HiFi	2023-09-29	Chelon labrosus	717420143	Actinopteri	bony fishes
GCA_963514095.1	426098	HiFi	2023-09-29	Eutrigla gurnardus	680483561	Actinopteri	bony fishes
GCA_963691815.1	94984	HiFi	2023-12-07	Echiichthys vipera	800398249	Actinopteri	bony fishes
GCA_963854745.1	52904	HiFi	2023-12-15	Scophthalmus maximus	550297089	Actinopteri	bony fishes
GCA_963921795.1	473322	HiFi	2024-02-09	Nannobrachium achirus	1658848640	Actinopteri	bony fishes
GCA_963924005.1	443714	HiFi	2024-01-19	Protomyctophum bolini	1148224649	Actinopteri	bony fishes
GCA_963924515.1	59485	HiFi	2024-01-29	Vespertilio murinus	1925577803	Mammalia	bats
GCA_963924665.1	13151	HiFi	2024-01-29	Micromys minutus	2651787409	Mammalia	rodents
GCA_963932225.1	8915	HiFi	2024-02-07	Larus fuscus	1324286540	Aves	birds
GCA_963969265.1	454631	HiFi	2024-02-26	Rhamphochromis sp. 'chilingali'	921184210	Actinopteri	bony fishes
GCA_963971535.1	948063	HiFi	2024-03-07	Notolepis coatsorum	3427809033	Actinopteri	bony fishes
GCA_963989245.1	443705	HiFi	2024-03-11	Nansenia antarctica	1085794659	Actinopteri	bony fishes
GCA_963989345.1	197941	HiFi	2024-03-14	Clangula hyemalis	1206104048	Aves	birds
GCA_963993115.1	38527	HiFi	2024-03-16	Abramis brama	1108218292	Actinopteri	bony fishes
GCA_964030765.1	81636	HiFi	2024-04-20	Micromesistius poutassou	520636573	Actinopteri	bony fishes
GCA_964034855.1	132585	HiFi	2024-04-27	Anser brachyrhynchus	1287337719	Aves	birds
GCA_964035555.1	30387	HiFi	2024-04-29	Netta rufina	1166978622	Aves	birds
GCA_964059595.1	107022	HiFi	2024-06-06	Bucephala clangula	1190938797	Aves	birds
GCA_964094495.2	109479	HiFi	2024-06-12	Myotis mystacinus	2081199042	Mammalia	bats
GCA_964106545.1	452646	HiFi	2024-06-06	Neogale vison	2697147479	Mammalia	carnivores
GCA_964106645.2	74359	HiFi	2024-07-06	Podarcis pityusensis	1515373509	Lepidosauria	lizards & snakes
GCA_964106825.2	9627	HiFi	2024-06-27	Vulpes vulpes	2411727275	Mammalia	carnivores
GCA_964106855.1	40816	HiFi	2024-06-06	Grus grus	1352282554	Aves	birds
GCA_964106895.1	31919	HiFi	2024-06-06	Numenius arquata	1348876333	Aves	birds
GCA_964106915.2	90521	HiFi	2024-09-17	Podarcis gaigeae	1514643635	Lepidosauria	lizards & snakes
GCA_964146895.2	9433	HiFi	2025-04-05	Miniopterus schreibersii	1850590334	Mammalia	bats
GCA_964165515.1	48745	HiFi	2024-06-06	Mesoplodon bidens	2999098505	Mammalia	whales & dolphins
GCA_964187855.1	7769	HiFi	2024-06-18	Myxine glutinosa	3057523704	Myxini	hagfishes
GCA_964188175.1	65484	HiFi	2024-06-21	Podarcis siculus	1571381643	Lepidosauria	lizards & snakes
GCA_964188305.1	90520	HiFi	2024-06-21	Podarcis bocagei	1615206822	Lepidosauria	lizards & snakes
GCA_964188315.1	64176	HiFi	2024-06-21	Podarcis muralis	1522641370	Lepidosauria	lizards & snakes
GCA_964188345.1	8839	HiFi	2024-06-21	Anas platyrhynchos	1300248985	Aves	birds
GCA_964188355.1	30397	HiFi	2024-06-21	Buteo buteo	1303700921	Aves	hawks & eagles
GCA_964188405.1	1091426	HiFi	2024-06-21	Protomyctophum parallelum	1235328005	Actinopteri	bony fishes
GCA_964194105.1	9997	HiFi	2024-06-28	Spermophilus citellus	3090049053	Mammalia	rodents
GCA_964194135.1	9375	HiFi	2024-06-28	Talpa europaea	2061000977	Mammalia	insectivores
GCA_964194155.1	57982	HiFi	2024-06-28	Cetorhinus maximus	3993866540	Chondrichthyes	sharks & rays
GCA_964194185.1	77218	HiFi	2024-06-28	Rhinolophus hipposideros	2171328640	Mammalia	bats
GCA_964194415.1	31155	HiFi	2024-06-28	Vipera berus	1695017208	Lepidosauria	snakes
GCA_964195595.2	1323832	HiFi	2024-07-24	Calonectris borealis	1366205003	Aves	birds
GCA_964197995.1	58319	HiFi	2024-07-10	Scardinius erythrophthalmus	1229666150	Actinopteri	bony fishes
GCA_964198595.1	7748	HiFi	2024-07-13	Lampetra fluviatilis	1042475189	Hyperoartia	lampreys
GCA_964199755.1	119627	HiFi	2024-07-14	Larus michahellis	1405581498	Aves	birds
GCA_964204655.1	8323	HiFi	2024-07-31	Triturus cristatus	22324633092	Amphibia	salamanders
