Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type	Submitter
GCA_030684275.1	3330	1169	2161	5	18	471	40147	2023-08-08	Acipenser oxyrinchus oxyrinchus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	Oxford Nanopore	Elena Santidrian, Ron DirksHeiner Kuhl, Jörn Gessner, Sven Wuertz, Matthias Stöck, Kang Du, Manfred Schartl,Christophe Klopp, Yann Guiguen, Cédric Cabau, Céline Lopez-Roques
GCF_902713425.1	3335	1006	2329	8	11	124	7906	2022-02-02	Acipenser ruthenus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	PacBio HiFi	Wellcome Sanger Institute
GCA_020113195.1	480	389	91	1271	1566	59	7904	2021-09-23	Acipenser transmontanus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	Illumina	canseq150
GCA_036784905.1	3346	3233	113	1	7	129	356809	2024-02-23	Acrossocheilus fasciatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi	Shanghai Ocean University
GCA_029620275.1	3282	3010	272	13	59	336	1279364	2023-04-10	Acrossocheilus wenchowensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio CLR	Shanghai Ocean University
GCA_916700685.1	2888	2872	16	369	92	122	1311530	2021-10-09	Adelosebastes latens	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	missing	UNIVERSITY OF CALIFORNIA AT BERKELEY
GCA_036245035.1	3307	3278	29	28	18	179	123688	2023-08-24	Adrianichthys oophorus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Beloniformes	Illumina	Tropical Biosphere Research Center, University of the Ryukyus
GCA_901007665.1	3178	3171	7	131	41	215	270546	2020-04-15	Aeoliscus strigatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Syngnathiformes	missing	CEES
GCA_003347165.1	2553	2537	16	440	359	365	2066578	2018-07-31	Ageneiosus marmoratus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Auburn University
GCA_943590845.1	2421	2395	26	612	311	211	227741	2022-06-15	Akarotaxis nudiceps	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	missing	WELLCOME SANGER INSTITUTE
GCA_019788955.1	3325	3001	324	12	17	91	121402	2021-08-27	Albula glossodonta	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Albuliformes	Illumina	Brigham Young University
GCA_022829145.1	3294	3093	201	6	54	347	1534307	2022-04-08	Albula goreensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Albuliformes	Oxford Nanopore	GenoFish
GCA_964188515.1	3301	3281	20	8	45	109	54556	2024-06-23	Alburnus alburnus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi	Leibniz Institute for Zoo and Wildlife Research
GCA_029706075.1	3224	3019	205	20	110	495	143900	2023-04-12	Aldrovandia affinis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Notacanthiformes	Oxford Nanopore	GenoFish
GCA_037576975.1	2268	2260	8	783	288	166	1003153	2024-03-26	Alestes dentex	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	Illumina	Iridian Genomes
GCA_037577075.1	1669	1660	9	1125	532	213	304080	2024-03-26	Alestopetersius hilgendorfi	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	Illumina	Iridian Genomes
GCA_903066825.1	2999	2992	7	301	48	148	55102	2021-09-22	Alfaro cultratus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	missing	WAGENINGEN UNIVERSITY
GCA_043109815.1	1851	1840	11	1094	394	295	364078	2024-10-14	Algansea lacustris	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	Illumina	Iridian Genomes
GCA_024542945.1	3344	260	3084	1	9	311	2876849	2022-08-09	allo-octoploid hybrid of Carassius auratus x Cyprinus carpio	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio CLR	Hunan Normal University
GCA_040955115.1	3230	2534	696	61	63	134	224703	2024-08-01	Alosa aestivalis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	PacBio HiFi	Canadas national platform for genome sequencing and analysis
GCF_017589495.1	3192	3167	25	21	141	258	278164	2021-03-30	Alosa alosa	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	Oxford Nanopore	GenoFish
GCA_029875135.1	1239	1228	11	1391	688	64	278165	2023-04-26	Alosa fallax	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	Illumina	Faculty of Sciences from the University of Lisbon
GCA_040436175.1	3263	2927	336	34	57	93	34774	2024-07-01	Alosa pseudoharengus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	PacBio HiFi	Canadas national platform for genome sequencing and analysis
GCF_018492685.1	3330	3304	26	9	15	145	34773	2021-05-25	Alosa sapidissima	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	PacBio HiFi	Vertebrate Genomes Project
GCA_015052405.1	2425	2417	8	728	189	155	34792	2020-10-28	Altolamprologus calvus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_015104655.1	2443	2438	5	707	190	148	34793	2020-10-29	Altolamprologus compressiceps	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_015104895.1	2117	2110	7	934	288	195	2591265	2020-10-29	Altolamprologus sp. compressiceps shell' AB-2019	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_036025115.1	2282	2275	7	859	197	149	613159	2024-01-25	Ambassis agassizii	Actinopterygii	Actinopteri	Teleostei	Neopterygii			Illumina	CSIRO Applied Genomics Initiative
GCA_036877625.1	2526	1850	676	608	200	114	1436202	2024-02-26	Ambastaia sidthimunki	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	Illumina	University of Basel
GCA_027564755.1	2097	2091	6	906	323	115	2849182	2023-01-03	Amblyopsis hoosieri	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Percopsiformes	Illumina	Iridian Genomes
GCA_025399935.1	2124	2110	14	897	310	103	940464	2022-09-25	Amblyopsis rosae	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Percopsiformes	Illumina	Iridian Genomes
GCA_027564775.1	2101	2089	12	892	331	113	1195602	2023-01-03	Amblyopsis spelaea	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Percopsiformes	Illumina	Iridian Genomes
GCA_040091285.1	2423	2415	8	743	176	97	208324	2024-06-07	Ameca splendens	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	University of St Andrews
GCA_012411365.1	3315	3305	10	10	29	171	219545	2020-04-16	Ameiurus melas	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Oxford Nanopore	GenoFish
GCF_036373705.1	3334	3324	10	5	15	83	7924	2024-02-06	Amia calva	Actinopterygii	Actinopteri	Holostei	Neopterygii		Amiiformes	PacBio HiFi	Vertebrate Genomes Project
GCA_027576215.1	568	565	3	1127	1658	607	591307	2023-01-06	Amissidens hainesi	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_026122265.1	3243	3217	26	24	87	887	1266862	2022-11-15	Ammodytes dubius	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Uranoscopiformes	PacBio CLR	University of Connecticut
GCA_949987685.1	3305	3286	19	22	26	119	146480	2023-05-03	Ammodytes marinus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Uranoscopiformes	PacBio HiFi	WELLCOME SANGER INSTITUTE
GCA_028566735.1	1569	1551	18	1245	512	117	2809288	2023-02-09	Ammoglanis amapaensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_037176925.1	3323	3320	3	24	7	140	1161369	2024-03-15	Amniataba percoides	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Centrarchiformes	Illumina	Iridian Genomes
GCA_013435755.1	3347	3300	47	4	3	105	61819	2020-07-23	Amphilophus citrinellus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	PacBio CLR	Max Planck Institute of Molecular Cell Biology and Genetics
GCA_015108585.1	1965	1962	3	1006	359	111	281253	2020-10-29	Amphilophus zaliosus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_027123335.1	3349	3337	12	4	1	159	80970	2022-12-21	Amphiprion clarkii	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio CLR	Okinawa Institute of Science and Technology
GCF_022539595.1	3332	3296	36	9	13	131	80972	2022-03-10	Amphiprion ocellaris	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio CLR	Okinawa Institute of Science and Technology
GCA_003047355.2	3344	3312	32	4	6	196	161767	2018-11-28	Amphiprion percula	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio CLR	King Abdullah University of Science and Technology
GCA_003731715.1	3318	3303	15	28	8	115	495550	2018-11-15	Anabarilius grahami	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	Illumina	BGI
GCF_900324465.2	3347	3306	41	3	4	131	64144	2018-12-19	Anabas testudineus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anabantiformes	missing	SC
GCA_900324465.3	3347	3306	41	3	4	131	64144	2021-04-24	Anabas testudineus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anabantiformes	PacBio CLR	Wellcome Sanger Institute
GCA_014839685.1	3350	3346	4	0	4	197	195821	2020-10-02	Anableps anableps	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	PacBio CLR	Vertebrate Genomes Project
GCA_032275365.1	3000	2994	6	255	98	267	2032713	2023-10-02	Anablepsoides cearensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_031762495.1	2602	2589	13	539	206	353	60331	2023-09-20	Anablepsoides rubrolineatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_964187705.1	3312	3295	17	8	34	111	71183	2024-06-18	Anaecypris hispanica	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi	Leibniz Institute for Zoo and Wildlife Research
GCF_004355925.1	3168	3131	37	131	53	139	433405	2019-03-08	Anarrhichthys ocellatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	Illumina	Canadas Genomic Enterprise
GCA_036281575.1	3336	2596	740	3	15	169	263419	2024-01-29	Ancherythroculter nigrocauda	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio CLR	Wuhan Academy of Agricultural Sciences
GCA_025084515.1	2997	2981	16	198	154	364	2841045	2022-09-08	Ancistrus triradiatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	University of Geneva
GCA_015108635.1	2670	2662	8	531	140	177	449250	2020-10-29	Andinoacara biseriatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCF_013347855.1	3321	3152	169	7	26	120	7936	2020-06-18	Anguilla anguilla	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	PacBio CLR	Vertebrate Genomes Project
GCA_041147035.1	1725	1662	63	1140	456	63	7940	2024-08-08	Anguilla australis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	Illumina	CSIRO Applied Genomics Initiative
GCA_039654925.2	3333	3151	182	4	17	122	61126	2024-06-14	Anguilla bicolor pacifica	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	PacBio HiFi	ChungAng University
GCA_025169545.1	3314	3138	176	2	38	544	7937	2022-09-14	Anguilla japonica	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	Oxford Nanopore	Hong Kong Baptist University
GCA_901111315.1	2807	2700	107	377	159	104	7939	2020-02-10	Anguilla marmorata	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	missing	CEES
GCA_901111305.1	2786	2677	109	395	160	100	86963	2020-02-10	Anguilla megastoma	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	missing	CEES
GCA_901111295.1	2740	2628	112	444	158	106	86964	2020-02-10	Anguilla obscura	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	missing	CEES
GCF_018555375.3	3331	3161	170	4	19	112	7938	2024-03-04	Anguilla rostrata	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Anguilliformes	missing	Laval University
GCA_041002825.1	3341	3304	37	5	8	342	320623	2024-08-01	Anoplarchus purpurescens	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	Illumina	University of California, Irvine
GCA_900683385.1	1111	1105	6	1214	1000	79	88656	2019-06-15	Anoplogaster cornuta	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Trachichthyiformes	missing	CEES
GCF_027596085.1	3344	3310	34	6	4	228	229290	2023-02-16	Anoplopoma fimbria	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	Oxford Nanopore	University of Victoria
GCA_013358685.1	3313	3284	29	15	26	143	882753	2020-06-18	Antennarius maculatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Lophiiformes	PacBio CLR	Vertebrate Genomes Project
GCF_040054535.1	3334	3309	25	6	14	134	241820	2024-06-04	Antennarius striatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Lophiiformes	PacBio HiFi	Northwestern Polytechnical University
GCA_964269795.2	3301	3287	14	4	49	145	327821	2024-11-09	Anthias anthias	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	PacBio HiFi	Genoscope CEA
GCA_021346845.1	3339	3326	13	7	8	358	240154	2022-01-03	Apeltes quadracus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	missing	University of Bern
GCA_027564795.1	2031	2025	6	972	330	117	94919	2023-01-03	Aphredoderus sayanus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Percopsiformes	Illumina	Iridian Genomes
GCA_006937985.1	3317	3291	26	30	7	179	52653	2019-07-12	Aphyosemion australe	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Max Planck Institute for Biology of Ageing
GCA_015052665.1	2755	2749	6	466	124	160	2591248	2020-10-28	Apistogramma diplotaenia	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_017639675.1	2957	2937	20	55	342	146	946358	2021-03-30	Aplochiton taeniatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Galaxiiformes	PacBio CLR	Vertebrate Genomes Project
GCA_037367295.1	3128	3118	10	172	50	154	638297	2024-03-19	Apogon hyalosoma	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Kurtiformes	Illumina	Iridian Genomes
GCA_964211915.1	3351	3345	6	1	2	121	357811	2024-08-01	Apogon imberbis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Kurtiformes	PacBio HiFi	Genoscope CEA
GCA_043658235.1	3329	3325	4	21	4	147	1431508	2024-10-23	Apogon retrosella	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Kurtiformes	Illumina	Iridian Genomes
GCA_037367365.1	3110	3103	7	187	55	177	1431509	2024-03-19	Apogon talboti	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Kurtiformes	Illumina	Iridian Genomes
GCA_029814545.1	2824	2819	5	358	169	277	2943258	2023-04-18	Apogonichthyoides opercularis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Kurtiformes	Illumina	Iridian Genomes
GCA_028564705.1	3303	3285	18	24	27	149	3363530	2023-02-08	Apricaphanius iberus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	MNCN-CSIC
GCA_900497675.1	3311	3216	95	23	20	90	113544	2018-07-25	Arapaima gigas	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Osteoglossiformes	missing	UNIVERSIDADE FEDERAL DO PARA
GCF_007364275.1	3339	3276	63	4	11	187	63155	2019-08-01	Archocentrus centrarchus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	PacBio CLR	Vertebrate Genomes Project
GCA_964260595.1	3239	3218	21	51	64	167	185735	2024-09-06	Arctogadus glacialis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Gadiformes	missing	Earth Biogenome Project Norway
GCA_040955285.1	2250	2144	106	363	738	306	473348	2024-08-01	Arctozenus risso	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Aulopiformes	PacBio HiFi	Canadas national platform for genome sequencing and analysis
GCA_951799395.1	3305	3244	61	18	30	132	446415	2023-05-27	Argentina silus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Argentiniformes	PacBio HiFi	WELLCOME SANGER INSTITUTE
GCA_040802145.1	3352	3340	12	2	0	123	448029	2024-07-22	Argyrosomus japonicus	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio HiFi	JiMei University
GCA_946959425.1	3352	3331	21	2	0	160	172269	2022-12-25	Argyrosomus regius	Actinopterygii	Actinopteri	Teleostei	Neopterygii			missing	Hellenic Centre for Marine Research, Institute for Marine Biology, Biotechnology and Aquaculture, Heraklion, Crete, Greece
GCA_026413345.1	3059	3049	10	181	114	340	243726	2022-11-27	Ariopsis seemanni	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_025399975.1	2915	2907	8	257	182	434	591255	2022-09-25	Arius gagora	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_027575915.1	3072	3065	7	168	113	353	591257	2023-01-06	Arius madagascariensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_037974385.1	2389	2376	13	680	266	178	303978	2024-04-05	Arnoldichthys spilopterus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	Illumina	Iridian Genomes
GCA_016586285.1	3222	3216	6	88	43	189	264149	2020-12-09	Arothron firmamentum	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Tetraodontiformes	Illumina	Graduate School of Frontier Biosciences, Osaka University
GCA_037176975.1	2615	2601	14	604	129	153	159452	2024-03-15	Arrhamphus sclerolepis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Beloniformes	Illumina	Iridian Genomes
GCA_042242115.1	3352	3343	9	1	1	126	3352246	2024-09-25	Arripis georgiana	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Scombriformes	PacBio HiFi	null
GCA_028565295.1	1869	1858	11	1060	415	305	927817	2023-02-09	Aspidoras spilotus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	Illumina	Iridian Genomes
GCA_023376895.1	3251	2370	881	16	87	227	748366	2022-05-17	Aspiorhynchus laticeps	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	missing	Institute of Oceanology, Chinese Academy of Sciences
GCA_015109875.1	2392	2383	9	754	194	124	64535	2020-10-29	Astatoreochromis straeleni	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCF_900246225.1	3302	3250	52	10	42	140	8154	2018-05-30	Astatotilapia calliptera	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	missing	SC
GCA_900246225.5	3302	3250	52	10	42	140	8154	2021-04-24	Astatotilapia calliptera	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	PacBio CLR	Wellcome Sanger Institute
GCA_015112995.1	2123	2117	6	936	275	201	205334	2020-10-29	Astatotilapia flaviijosephi	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_015110235.1	2547	2541	6	651	147	155	1237176	2020-10-29	Astatotilapia stappersii	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCF_023375975.1	3344	3322	22	4	6	86	7994	2022-05-19	Astyanax mexicanus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	PacBio HiFi	University of Missouri
GCA_036250305.1	2425	2420	5	730	182	101	208326	2024-01-29	Ataeniobius toweri	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	University of St Andrews
GCA_029874935.1	1360	1356	4	1400	564	81	87785	2023-04-26	Atherina boyeri	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Atheriniformes	Illumina	Faculty of Sciences from the University of Lisbon
GCA_023101725.1	3286	3223	63	46	21	257	94911	2022-04-25	Atherinomorus stipes	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Atheriniformes	Oxford Nanopore	University of Miami
GCA_037177055.1	3149	3142	7	147	57	178	69132	2024-03-15	Atherinosoma microstoma	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Atheriniformes	Illumina	Iridian Genomes
GCA_044758625.1	3007	2993	14	259	87	246	2999567	2024-11-10	Atlantirivulus guanabarensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_044758845.1	3000	2996	4	261	90	254	3118896	2024-11-10	Atlantirivulus jurubatibensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_044758765.1	2930	2922	8	326	95	299	3034801	2024-11-10	Atlantirivulus lazzarotoi	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_043658295.1	2712	2704	8	485	155	288	60332	2024-10-23	Atlantirivulus santensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	Illumina	Iridian Genomes
GCA_043380575.1	3349	3347	2	4	1	93	7917	2024-10-21	Atractosteus spatula	Actinopterygii	Actinopteri	Holostei	Neopterygii		Semionotiformes	Oxford Nanopore	Nanjing University of Chinese Medicine
GCA_964273965.1	3348	3321	27	5	1	197	286572	2024-10-04	Aulonocara stuartgranti	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	PacBio CLR	WELLCOME SANGER INSTITUTE
GCA_015102295.1	2402	2394	8	735	199	209	27731	2020-10-29	Aulonocranus dewindti	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	CICHLID~X
GCA_037954235.1	3350	3341	9	2	2	149	150448	2024-04-03	Aulostomus chinensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Syngnathiformes	PacBio HiFi	University of Idaho at Moscow
GCA_030220045.1	2423	2415	8	762	154	91	318676	2023-06-07	Australoheros facetus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cichlomorphae	Cichliformes	Illumina	Faculty of Sciences from the University of Lisbon
