Accession	Complete_BUSCOs	Single_copy_BUSCOs	Duplicate_BUSCOs	Fragmented_BUSCOs	Missing_BUSCOs	Internal_stop_codons	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_004024965.2	3298	3152	146	34	22	277	9849	2019-07-15	1158497	80230	521	2582354588	Tragulus javanicus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004024985.1							34875	2019-01-15	1775066	6406	399	2875899868	Saiga tatarica	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004025005.1							9438	2019-01-15	1071858	22617	1009	2709504348	Tadarida brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004025025.1							9801	2019-01-15	805779	164193	3507	2571231452	Tapirus terrestris	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	missing
GCA_004025045.1							42415	2019-01-15	897290	67983	1879	2729225622	Sigmodon hispidus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004025065.1							88029	2019-01-15	1077535	25064	1293	3031665617	Semnopithecus entellus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004025085.1							10169	2019-01-15	1898466	18955	307	2661266033	Thryonomys swinderianus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004025105.1							48850	2019-01-15	2150023	18654	441	3848792930	Tamandua tetradactyla	Sarcopterygii	Mammalia			Xenarthra	Pilosa	missing
GCA_004025125.1							183749	2019-01-15	2941308	9441	341	4113448063	Tolypeutes matacus	Sarcopterygii	Mammalia			Xenarthra	Cingulata	missing
GCA_004026225.1							53275	2019-01-16	4151498	2627	296	3937169248	Rhizomys pruinosus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026525.1							9433	2019-01-16	184538	82539	18173	1775154975	Miniopterus schreibersii	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026545.1							118852	2019-01-16	207094	142682	20085	2111566809	Mormoops blainvillei	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026565.1							9870	2019-01-16	1365508	77671	420	2896823034	Rangifer tarandus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004026585.1							94963	2019-01-16	304393	135651	18727	2097884294	Noctilio leporinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026605.1							10060	2019-01-16	571599	73746	8504	2562128469	Ondatra zibethicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026625.1							59474	2019-01-16	736974	26707	1535	2089583443	Pipistrellus pipistrellus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026645.1							43777	2019-01-16	903646	63292	2979	2932430901	Pithecia pithecia	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004026665.1							1453894	2019-01-16	886972	23400	1117	2330871882	Murina aurata feae	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026685.1							40151	2019-01-16	653473	67024	5266	2471685502	Monodon monoceros	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004026705.1							2583312	2019-01-16	795514	56946	2089	3235485683	Nesogale talazaci	Sarcopterygii	Mammalia			Afrotheria		missing
GCA_004026725.1							38674	2019-01-16	2272285	18287	341	3201164269	Onychomys torridus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026745.1							71006	2019-01-16	1629691	36434	477	3546444750	Myrmecophaga tridactyla	Sarcopterygii	Mammalia			Xenarthra	Pilosa	missing
GCA_004026765.1							148065	2019-01-16	553308	62961	2971	2314332605	Micronycteris hirsuta	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026785.1							10047	2019-01-16	796326	69839	2419	2635927533	Meriones unguiculatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026805.1							258930	2019-01-16	525280	35165	5455	2856952849	Lasiurus borealis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026825.1							3349691	2019-01-16	479550	66552	13294	2714003836	Nilgiritragus hylocrius	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004026855.1							48086	2019-01-16	1602982	15057	553	3122255964	Lepus americanus	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	missing
GCA_004026885.1							9413	2019-01-16	1909067	71674	298	2620321849	Megaderma lyra	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004026905.1							10137	2019-01-16	1140949	57102	459	2470482578	Hystrix cristata	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026945.1							37174	2019-01-16	1057548	55973	1978	2862717623	Ovis canadensis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004026965.1							10183	2019-01-16	920324	29916	1177	2388402489	Petromus typicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004026985.1							51298	2019-01-16	1053330	19322	642	2293659106	Myotis myotis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027005.1							39082	2019-01-16	481881	44294	7733	2525639510	Muscardinus avellanarius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027025.1							10157	2019-01-16	1684916	28446	351	2901650884	Myocastor coypus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027045.1							40151	2019-01-16	890705	70965	3933	2545910941	Monodon monoceros	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004027065.2							9833	2019-07-15	971145	76609	1260	2677440772	Hippopotamus amphibius	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004027085.1							48745	2019-01-16	1810317	28959	336	2796835083	Mesoplodon bidens	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004027105.1							43780	2019-01-16	942104	34532	2590	3048605415	Nasalis larvatus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027145.1							31869	2019-01-16	344978	298834	55793	2498165307	Daubentonia madagascariensis	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027165.1							43321	2019-01-16	823762	37562	3468	2833195451	Ctenomys sociabilis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027185.1							41261	2019-01-16	444115	26062	4941	2461018707	Glis glis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027205.1							10166	2019-01-16	865110	218543	768	2321968043	Ctenodactylus gundi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027255.2							482537	2019-07-15	1653516	34666	453	3225022043	Galeopterus variegatus	Sarcopterygii	Mammalia			Euarchontoglires	Dermoptera	missing
GCA_004027275.1							13515	2019-01-16	1697619	21310	391	2748515101	Eulemur fulvus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027295.1							29091	2019-01-16	1911987	27983	399	3288992131	Dolichotis patagonum	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027315.2							9805	2019-07-15	2027983	91002	288	3019981293	Diceros bicornis	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	missing
GCA_004027335.1							9538	2019-01-16	2577035	28523	278	3489177786	Erythrocebus patas	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027355.1							28737	2019-01-16	2486023	16488	399	4287881062	Elephantulus edwardii	Sarcopterygii	Mammalia			Afrotheria	Macroscelidea	missing
GCA_004027375.1							326083	2019-01-16	174041	338389	40269	1897439383	Macroglossus sobrinus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027395.1							9615	2019-01-16	667170	100144	5177	2543084225	Canis lupus familiaris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004027435.1							9417	2019-01-16	798700	32365	1439	2424351951	Artibeus jamaicensis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027455.1							10149	2019-01-16	661089	148451	8385	2734015388	Hydrochoerus hydrochaeris	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027475.1							27642	2019-01-16	341895	143417	19350	2206125520	Anoura caudifer	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027495.1							59527	2019-01-16	545176	57444	11392	2696327100	Beatragus hunteri	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004027515.2							9891	2019-07-15	1647241	61698	385	2899129661	Antilocapra americana	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004027535.1							10068	2019-01-16	391811	42476	8957	2304023919	Acomys cahirinus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027555.1							208972	2019-01-16	1230480	23218	398	2271470677	Craseonycteris thonglongyai	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027575.1							10085	2019-01-16	1110425	80761	436	2396974302	Cricetomys gambianus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027595.1							108858	2019-01-16	1164830	64805	537	2687924519	Dinomys branickii	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027615.1							36227	2019-01-16	2126734	9789	388	3278106652	Cercopithecus neglectus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027635.1							876679	2019-01-16	2420679	4927	347	3081690626	Crocidura indochinensis	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	missing
GCA_004027655.1							51346	2019-01-16	1283630	22138	727	2813445529	Graphiurus murinus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027675.1							51338	2019-01-16	837916	49369	2854	2760904263	Castor canadensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027695.1							143287	2019-01-16	1379500	64807	528	3076220410	Cavia tschudii	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027715.1							230833	2019-01-16	1041365	41149	1318	2959025960	Plecturocebus donacophilus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027735.1							40233	2019-01-16	1929203	10341	353	2689025505	Carollia perspicillata	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004027755.1							9514	2019-01-16	1552889	25652	401	3057295021	Cebus albifrons	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027775.1							9355	2019-01-16	1772267	1900	281	1502429099	Bradypus variegatus	Sarcopterygii	Mammalia			Xenarthra	Pilosa	missing
GCA_004027815.1							9470	2019-01-16	1946791	17693	399	3293594025	Nycticebus coucang	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027835.1							30589	2019-01-16	1152695	51304	975	3032004595	Alouatta palliata	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027855.1							27675	2019-01-16	2537432	7167	333	3390151401	Choloepus didactylus	Sarcopterygii	Mammalia			Xenarthra	Pilosa	missing
GCA_004027875.1							51342	2019-01-16	1286779	33245	652	3004810237	Aplodontia rufa	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027895.1							1041416	2019-01-16	1295369	30651	679	3092477081	Orientallactaga bullata	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027915.1							34842	2019-01-16	2355850	4080	366	3023501156	Capromys pilorides	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004027935.1							185453	2019-01-16	3432954	6444	378	4749973821	Chrysochloris asiatica	Sarcopterygii	Mammalia			Afrotheria		missing
GCA_004027955.1							340076	2019-01-16	7680080	1606	247	5335322029	Chaetophractus vellerosus	Sarcopterygii	Mammalia			Xenarthra	Cingulata	missing
GCA_004363415.1							9764	2019-03-22	1046770	68559	733	2616509998	Eschrichtius robustus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363435.1							48752	2019-03-22	1110492	20879	921	2669902310	Platanista minor	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363455.1							302098	2019-03-22	1361057	34866	399	2692865900	Eubalaena japonica	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363475.1							214514	2019-03-22	2428619	17686	231	2599815696	Perognathus longimembris pacificus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004363495.1							9742	2019-03-22	1338272	89111	399	2700299410	Phocoena phocoena	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363515.1							9725	2019-03-22	1218682	24570	512	2595774158	Inia geoffrensis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363535.1							34846	2019-03-22	993123	38650	1758	3011452398	Dasyprocta punctata	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004363575.1							79805	2019-03-22	181804	236847	36800	2109359270	Solenodon paradoxus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	missing
GCA_004363605.1							34827	2019-03-22	1248425	26447	611	2701360913	Indri indri	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004363705.1							27615	2019-03-22	1258125	26201	695	2759092859	Kogia breviceps	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004363935.1							48723	2019-03-22	1885701	2541	237	1685034717	Pontoporia blainvillei	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004364475.1							9760	2019-03-22	3761505	3606	251	3150094306	Ziphius cavirostris	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004365145.1							9818	2019-03-22	2690873	20354	399	4686415687	Orycteropus afer	Sarcopterygii	Mammalia			Afrotheria	Tubulidentata	missing
GCA_004365215.1							108852	2019-03-22	3771510	3890	270	3399277187	Cuniculus paca	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004365275.1							70687	2019-03-22	3890086	2971	293	3648262209	Tupaia tana	Sarcopterygii	Mammalia			Euarchontoglires	Scandentia	missing
GCA_004765945.2							358128	2022-11-10	2120075	23744	307	3013029952	Phataginus tricuspis	Sarcopterygii	Mammalia			Laurasiatheria	Pholidota	missing
GCA_007922735.1							59479	2019-08-08	349275	127195	15197	2183596269	Rhinolophus ferrumequinum	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_007922755.1							10023	2019-08-08	687430	54009	4233	2848690112	Pedetes capensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_007922775.1							9440	2019-08-08	905784	13442	1533	2597146103	Antrozous pallidus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_007922795.1							27670	2019-08-08	1680573	14267	399	2779131843	Nycticeius humeralis	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_007922815.1							9419	2019-08-08	1130929	16386	466	2161368426	Macrotus californicus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
