accession	contig_n50	scaffold_n50	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	compleasm_fragmented	compleasm_missing	compleasm_frameshift	project	type	seq
000239415	21886	1194190	3296	3283	11	2	71	23	106	Zoonomia	Other	Illumina
000241075	22275	1303070	3213	3208	5	0	134	41	131	Other	Other	Other
000241425	3358	3653	593	582	7	4	1587	1164	218	Other	Other	Illumina
000241765	21318	16028813	3324	3315	5	4	55	11	96	Other	Other	Other
000242695	68337	6928108	3222	3212	9	1	96	72	166	Zoonomia	Other	Illumina
000243295	37750	14442683	3327	3310	6	11	40	23	124	Zoonomia	Other	Illumina
000247695	47778	20532749	3354	3265	29	60	23	13	112	Zoonomia	Other	Illumina
000247795	28375	106310653	3199	3130	27	42	48	143	155	Other	Other	Other
000247815	410964	6542656	3327	3322	5	0	42	21	120	Other	Other	Illumina
000258655	66676	8197324	3346	3301	9	36	29	15	152	Other	Other	Other
000260255	19847	12091372	3320	3078	65	177	44	26	186	Zoonomia	Other	Illumina
000260355	46163	55520359	3112	3102	6	4	117	161	128	Zoonomia	Other	Illumina
000264685	149817	585721	3375	3286	17	72	13	2	115	Other	Other	PacBio
000276665	61105	21893125	3342	3321	5	16	33	15	87	Zoonomia	Other	Illumina
000277835	30521	5255844	3247	3239	6	2	103	39	174	Other	Other	Illumina
000280705	15675	22080993	3319	3230	22	67	49	22	194	Zoonomia	Other	Illumina
000281125	16665	18600682	3335	3332	3	0	42	13	61	Other	Other	Illumina
000283155	92960	26277727	3374	3351	7	16	12	4	67	Zoonomia	Other	Illumina
000292845	42347	26863993	3268	3240	10	18	83	39	191	Zoonomia	Other	Illumina
000296735	19632	13470186	3357	3297	12	48	22	11	99	Zoonomia	Other	Illumina
000296755	21359	3264618	3302	3268	12	22	61	27	107	Zoonomia	Other	Illumina
000298275	17683	7875832	3321	3304	3	14	50	19	112	Zoonomia	Other	Illumina
000298355	22822	1407960	3291	3259	8	24	80	19	217	Other	Other	Illumina
000298735	150472	100009711	3317	3263	8	46	44	29	384	Other	Other	CLR
000299155	24219	15011382	3350	3083	25	242	26	14	164	Zoonomia	Other	Illumina
000306695	143936	50362920	3386	3325	24	37	1	3	51	Other	Other	Illumina
000308155	21392	13454942	3327	3299	8	20	46	17	121	Zoonomia	Other	Illumina
000311805	90263	2005940	3261	3210	45	6	97	32	172	Other	Other	Illumina
000313675	9628	6078048	3205	3197	7	1	122	62	154	Other	Other	Other
000313985	20425	54422506	3283	3225	17	41	70	37	180	Zoonomia	Other	Illumina
000317375	21250	17270019	3339	3259	14	66	20	31	76	Zoonomia	Other	Illumina
000317765	73533	9094169	3346	3267	26	53	31	13	106	Other	Other	Illumina
000325575	31842	15954802	3351	3348	3	0	25	14	155	Other	Other	Illumina
000327345	15182	3454484	3204	3170	10	24	133	53	252	Other	Other	Illumina
000331425	165265	16337386	3370	3366	4	0	8	12	72	Other	Other	Illumina
000331475	22008	22008	1347	1342	4	1	1502	518	135	Other	Other	Illumina
000331495	21834	21834	1456	1416	13	27	1456	461	252	Other	Other	Illumina
000331955	70300	12735091	3379	3332	10	37	7	4	75	Other	Other	Illumina
000332375	29306	101034	3017	3016	1	0	283	88	183	Other	Other	Illumina
000334495	25938	3670124	3333	3284	12	37	40	17	203	Other	Other	Illumina
000337935	26627	14233134	3298	3297	1	0	83	9	216	Other	Other	Illumina
000337975	31327	4154532	3297	3296	1	0	83	10	118	Other	Other	Illumina
000344595	29240	3864108	3300	3293	3	4	73	17	152	Other	Other	Illumina
000349665	22512	12753307	3078	3057	14	7	212	100	228	Zoonomia	Other	Illumina
000349705	23664	904068	2890	2821	21	48	393	107	261	Zoonomia	Other	Illumina
000355885	26114	1233631	3123	3121	2	0	205	62	295	Other	Other	Other
000364345	86040	88649475	3354	3295	6	53	26	10	77	Other	Other	Illumina
000372685	1767240	35377769	3298	3261	35	2	35	57	165	Other	Other	CLR
000385455	112748	4866725	3108	3103	3	2	183	99	134	Other	Other	Illumina
000385615	4693	2306994	997	996	1	0	1634	745	168	Other	Other	Illumina
000400545	6366	6366	1316	1311	4	1	1485	558	84	Other	Other	Illumina
000400695	4399	15974	1564	1557	7	0	1388	421	220	Other	Other	Illumina
000400755	8233	315240	2731	2718	11	2	240	419	469	Other	Other	Other
000409795	90449	81825804	3369	3307	11	51	11	10	77	Other	Other	Illumina
000412655	23289	3225832	3227	3141	17	69	113	50	191	Other	Other	Illumina
000418415	8235	8235	1590	1582	8	0	1340	445	42	Other	Other	Illumina
000419365	27129	1558295	3290	3268	6	16	76	24	188	Other	Other	Illumina
000442215	32029	2434970	3343	3307	13	23	35	12	134	Other	Other	Illumina
000448345	11899	1236516	3174	3142	12	20	153	62	190	Other	Other	Illumina
000455745	23412	2188296	3275	3270	5	0	88	26	127	Other	Other	Illumina
000464555	30032	8860407	3199	3185	6	8	129	62	240	Other	Other	Illumina
000465285	12668	27684	2088	2085	2	1	964	318	207	Other	Other	Illumina
000465345	7043	16881	1462	1455	4	3	1306	604	350	Other	Other	Illumina
000465495	11659	21151	2076	2062	6	8	1030	265	265	Other	Other	Illumina
000470695	3215	52849	2803	2702	101	0	458	120	238	Other	Other	Illumina
000471725	21938	1412388	3309	3253	8	48	67	14	99	Other	Other	Illumina
000472045	35258	427290	3154	3108	12	34	191	43	128	Other	Other	Illumina
000472085	57199	861885	3165	3157	2	6	123	102	80	Other	Other	Illumina
000475215	13541	30046	2568	2562	6	0	637	174	73	Other	Other	Illumina
000475235	13471	116274	2663	2653	9	1	462	262	236	Other	Other	Illumina
000485575	57472	1574226	3342	3190	152	0	30	18	100	Other	Other	Illumina
000493695	22690	12843668	3345	3276	28	41	36	9	167	Other	Other	Illumina
000499045	29750	288526	3041	2873	166	2	280	68	127	Other	Other	PacBio
000500345	36367	3760915	3343	3282	19	42	31	16	96	Other	Other	Illumina
000511605	32115	3851064	3281	3280	1	0	59	49	79	Other	Other	Illumina
000516915	5201	241519	2938	2932	4	2	305	142	169	Other	Other	Illumina
000523025	27008	509861	3309	3280	27	2	40	41	155	Other	Other	Illumina
000534875	53884	17815079	3301	3298	1	2	67	22	149	Other	Other	Other
000586395	1029	1029	120	118	2	0	1359	1893	23	Other	Other	Other
000604445	1717	2814	236	235	0	1	1244	1874	199	Other	Other	Other
000622305	30353	3618479	3323	3294	8	21	48	19	100	Other	Other	Illumina
000633615	41913	5270359	3278	3267	11	0	73	39	127	Other	Other	Illumina
000687185	29019	3067157	3264	3263	1	0	113	13	195	Other	Other	Illumina
000687205	17226	52818	2564	2561	3	0	623	201	255	Other	Other	Illumina
000687225	46506	15940661	3275	3267	3	5	72	43	254	Other	Other	Illumina
000687265	20262	38071	2518	2513	5	0	699	167	127	Other	Other	Illumina
000687285	22941	47896	2853	2850	3	0	460	75	154	Other	Other	Illumina
000687375	21679	43364	2653	2649	3	1	605	126	149	Other	Other	Illumina
000688575	1039	27928671	2623	2600	12	11	480	287	460	Other	Other	Illumina
000689215	54134	26439989	3196	3187	9	0	119	74	107	Other	Other	Other
000690535	24645	55197	2751	2750	1	0	533	100	179	Other	Other	Illumina
000690715	25860	46063	2474	2473	1	0	728	182	182	Other	Other	Illumina
000690725	43010	411659	3311	3255	55	1	55	24	93	Other	Other	Illumina
000690775	24402	47243	2448	2447	1	0	786	151	164	Other	Other	Illumina
000690835	25926	47208	2695	2694	1	0	562	130	173	Other	Other	Illumina
000690875	24321	45532	2589	2587	1	1	645	155	184	Other	Other	Illumina
000691405	25143	57319	2699	2697	2	0	545	143	199	Other	Other	Illumina
000691785	24735	62640	2727	2726	1	0	552	108	180	Other	Other	Illumina
000691845	24675	48089	2438	2437	1	0	741	203	184	Other	Other	Illumina
000691975	29093	6953989	3275	3270	4	1	92	23	167	Other	Other	Illumina
000692075	28179	2937227	3103	3096	7	0	197	90	222	Other	Other	Illumina
000695075	2544	59657	2289	2225	62	2	715	377	545	Other	Other	Illumina
000695195	21641	45221	2608	2608	0	0	610	158	169	Other	Other	Illumina
000695765	22740	47102	2662	2657	5	0	597	129	203	Other	Other	Illumina
000695815	20602	64469	2770	2766	4	0	499	114	200	Other	Other	Illumina
000696035	16346	1746960	3288	3285	3	0	90	12	126	Other	Other	Illumina
000696425	20753	245189	3148	3095	35	18	209	30	134	Other	Other	Illumina
000696655	40738	56256	2423	2414	3	6	772	184	91	Other	Other	Illumina
000696695	57610	513800	3155	3144	5	6	188	47	177	Other	Other	Illumina
000696875	26546	61475	2789	2788	1	0	493	104	166	Other	Other	Illumina
000697985	1001	1586	372	368	4	0	1402	1587	268	Other	Other	Illumina
000698965	34997	3593425	3226	3218	8	0	131	33	121	Other	Other	Illumina
000699005	24809	2093929	3215	3209	4	2	134	41	215	Other	Other	Illumina
000699105	22195	5118896	3199	3197	2	0	144	47	175	Other	Other	Illumina
000699145	31730	5071598	3312	3311	1	0	67	11	104	Other	Other	Illumina
000699245	26448	49530	2665	2661	4	0	592	125	203	Other	Other	Illumina
000699545	17412	30087	2307	2307	0	0	866	214	179	Other	Other	Illumina
000699945	15248	36359	2056	2052	4	0	1020	297	187	Other	Other	Illumina
000700745	22170	46377	2511	2509	1	1	734	144	179	Other	Other	Illumina
000700965	1668	15414	2147	2138	9	0	789	436	208	Other	Other	Illumina
000703405	28882	56673	2619	2616	3	0	605	160	198	Other	Other	Illumina
000705375	29773	246268	2912	2905	7	0	378	99	206	Other	Other	Illumina
000708025	39278	3657050	3276	3273	3	0	100	14	130	Other	Other	Illumina
000708225	29116	5211696	3313	3307	6	0	67	10	114	Other	Other	Illumina
000708925	17343	48427	2589	2586	3	0	654	141	230	Other	Other	Illumina
000709325	38137	2989832	3301	3298	3	0	77	12	151	Other	Other	Illumina
000709365	22885	56334	2732	2727	5	0	535	115	216	Other	Other	Illumina
000709895	23333	52178	2796	2792	4	0	494	93	141	Other	Other	Illumina
000710305	14587	53203	2734	2730	4	0	511	139	167	Other	Other	Illumina
000721915	125635	7945253	3363	3329	33	1	13	14	113	Other	Other	PacBio
000732505	20803	835301	3245	3216	29	0	89	55	158	Other	Other	Illumina
000735185	17487	217655	2207	2201	6	0	700	471	172	Other	Other	PacBio
000737285	4103	5299	952	951	0	1	1549	854	58	Other	Other	Illumina
000737465	105493	9145499	3348	3347	1	0	26	16	56	Other	Other	Illumina
000738735	8553235	73732264	3271	3264	5	2	16	103	123	Other	Other	CLR
000738955	28718	117920	2537	2515	8	14	586	259	163	Other	Other	Illumina
000742935	25717	495736	3305	3296	9	0	73	12	127	Other	Other	Other
000743615	44830	5314287	3305	3284	8	13	57	27	104	Other	Other	Illumina
000747805	30767	3841852	3225	3224	1	0	135	30	151	Other	Other	Illumina
000751415	23456	1216136	3321	3317	3	1	48	21	74	Other	Other	Illumina
000754665	18844	6873254	3249	3185	11	53	106	34	218	Other	Other	Illumina
000765075	51868	1750063	3363	3307	8	48	22	5	59	Other	Other	Other
000765115	39721	2217029	3361	3287	12	62	19	10	69	Other	Other	Other
000766835	172329	9230743	3371	3368	3	0	17	2	44	Other	Other	Illumina
000767325	24925	613723	3117	3097	17	3	184	88	131	Other	Other	Other
000767525	213649	5303709	3340	3325	6	9	37	13	84	Other	Other	Illumina
000767585	69131	4188677	3310	3302	4	4	58	22	232	Other	Other	Illumina
000767855	139067	8812066	3325	3314	5	6	50	15	186	Other	Other	Illumina
000769185	77151	1549224	3323	3241	8	74	56	11	70	Other	Other	Illumina
000772465	13295	137426304	2368	2320	23	25	656	362	501	Other	Other	Illumina
000776015	1416	83166	2610	2604	6	0	532	245	1026	Other	Other	Illumina
000787095	16946	39308	2808	2803	4	1	453	123	156	Other	Other	Illumina
000787105	28254	296161	3237	3234	2	1	113	39	165	Other	Other	Illumina
000787155	8806	15105	2497	2492	4	1	623	265	114	Other	Other	Illumina
000788275	20438	2375582	3309	3291	13	5	52	29	174	Other	Other	Illumina
000800605	11725	126452	2878	2866	10	2	367	141	155	Other	Other	Illumina
000803125	236391	70369702	3384	3372	7	5	4	2	133	Other	Other	PacBio
000826765	16689	1252252	3204	3187	17	0	125	60	179	Other	Other	Illumina
000832365	859	859	191	188	3	0	922	2254	411	Other	Other	ONT
000878545	8598	117689	3008	2978	29	1	279	99	92	Other	Other	Illumina
000935625	32798	1069101	3149	3131	13	5	137	104	89	Other	Other	Illumina
000951035	38363	7840981	3313	3236	11	66	60	17	145	Other	Other	Illumina
000951045	31346	3186748	3282	3234	5	43	81	26	113	Other	Other	Illumina
000951615	75080	7828959	2849	1889	944	16	330	210	722	Other	Other	Other
000952055	126456	8268663	3347	3253	20	74	30	13	173	Other	Other	CLR
000955945	112942	12849131	3375	3310	12	53	8	7	114	Other	Other	PacBio
000956065	106897	15219753	3375	3311	9	55	10	5	129	Other	Other	CLR
000956105	28129	5604909	3249	3192	18	39	104	37	230	Other	Other	Illumina
000966335	22277	1860920	3312	3264	45	3	41	37	115	Other	Other	Illumina
000971095	27608	5202740	3218	3216	1	1	141	31	193	Other	Other	Illumina
000972845	277487	27037660	3371	3361	10	0	15	4	72	Other	Other	Illumina
000978405	19347	91317560	3167	3115	11	41	156	66	197	Other	Other	Illumina
000978805	8410	20082	1797	1762	17	18	1210	358	214	Other	Other	Illumina
001005745	5013	58849	3100	2986	113	1	222	65	151	Other	Other	Illumina
001010145	14534	310513	3284	3278	6	0	91	12	59	Other	Other	Illumina
001013985	1557716	26834081	3323	3264	22	37	48	19	1010	Other	Other	PacBio
001039765	16159	3956354	3160	3147	13	0	181	48	132	Other	Other	Illumina
001077635	10447	647592	2331	2323	8	0	567	487	246	Other	Other	Illumina
001185365	37981	16790024	3223	3212	10	1	92	75	107	Other	Other	Illumina
001262655	20038	405987	3215	3195	6	14	149	23	91	Other	Other	Illumina
001262665	27331	413352	3195	3171	7	17	147	45	89	Other	Other	Illumina
001266775	8097	1098383	3055	3045	10	0	220	110	179	Other	Other	Illumina
001269965	61041	61041	2266	2169	36	61	866	254	234	Other	Other	Illumina
001270105	7872	66838	3127	1700	1422	5	205	58	213	Other	Other	PacBio
001281735	34514	3581248	3221	3216	2	3	126	43	149	Other	Other	Illumina
001292825	373039	74315606	3330	3283	11	36	39	20	163	Other	Other	CLR
001292865	17259	153651326	2558	2550	6	2	370	461	229	Other	Other	Other
001305755	66737	3776412	3323	3296	10	17	56	11	98	Other	Other	Illumina
001305785	1591	364535	2957	2945	9	3	301	130	297	Other	Other	Illumina
001305905	1208	245982	2791	2784	4	3	428	167	356	Other	Other	Illumina
001305995	1380	896668	3012	2995	10	7	247	130	293	Other	Other	Illumina
001420675	26171	1281105	3257	3247	10	0	90	43	125	Other	Other	Illumina
001420745	11334645	11334645	3386	3334	16	36	3	1	73	Other	Other	PacBio
001431845	109237	10060041	3362	3350	12	0	26	2	80	Other	Other	Illumina
001443285	33278	279200	3272	3192	79	1	88	29	81	Other	Other	Illumina
001443325	39840	275316	3278	3184	93	1	85	26	74	Other	Other	Illumina
001443345	11299	29445952	2672	2661	10	1	365	351	182	Other	Other	Illumina
001443585	35120	3122036	3189	3181	2	6	129	72	295	Other	Other	Illumina
001444195	15315838	30550352	3374	3359	14	1	5	11	83	Other	Other	PacBio
001447265	151865	3416708	3350	3346	4	0	25	15	66	Other	Other	Illumina
001447785	29575	707733	3183	3167	10	6	155	52	136	Other	Other	Illumina
001455555	2129	7249	1796	1791	5	0	1145	434	85	Other	Other	Illumina
001458055	65145	868209	3276	3262	14	0	93	19	152	Other	Other	PacBio
001458135	66546	31340621	3315	3242	10	63	54	21	127	Other	Other	Illumina
001465895	19950	15858201	3257	3244	12	1	85	47	93	Other	Other	Illumina
001466805	1488988	2007187	3344	3329	15	0	29	17	171	Other	Other	PacBio
001483285	26451	40490	2388	2370	16	2	773	221	62	Other	Other	Illumina
001483585	42538	7170015	3173	3142	8	23	171	46	133	Other	Other	Illumina
001487895	24356	3091434	3032	3003	27	2	225	132	204	Other	Other	Illumina
001515605	17271	1284143	3336	1414	1915	7	31	23	192	Other	Other	Illumina
001515625	18758	945738	3314	1584	1719	11	47	29	234	Other	Other	Illumina
001515645	29354	1156368	3215	1938	1263	14	123	52	250	Other	Other	Illumina
001522545	148693	71365269	3328	3324	4	0	36	26	74	Other	Other	Illumina
001527695	21948	424052	3194	3151	36	7	122	72	111	Other	Other	Illumina
001549595	1039719	1039719	3272	3226	14	32	103	13	349	Other	Other	PacBio
001549605	916048	916048	3282	3232	19	31	97	10	348	Other	Other	PacBio
001577835	511217	2975000	3373	3368	5	0	9	8	68	Other	Other	Illumina
001593715	81271	1145539	3007	2965	42	0	206	176	139	Other	Other	Illumina
001595765	29777	4315193	3341	3324	5	12	36	13	81	Other	Other	Illumina
001604755	141849	4972619	3303	3296	7	0	62	25	75	Other	Other	Illumina
001604975	41196	5274112	3333	3247	15	71	47	10	124	Other	Other	Illumina
001606085	7355	86641	2837	2483	354	0	443	106	326	Other	Other	Illumina
001624245	63526	1870178	3344	3217	127	0	14	32	72	Other	Other	Illumina
001624255	60472	1625668	3323	3193	128	2	8	59	66	Other	Other	Illumina
001624265	30805	5965175	3322	3190	130	2	44	24	160	Other	Other	Illumina
001624865	17887	131945496	3375	3309	23	43	6	9	67	Other	Other	Illumina
001625485	2255360	2328772	3319	3266	52	1	25	46	62	Other	Other	ONT
001640805	1379868	25538952	3388	3266	120	2	1	1	280	Other	Other	PacBio
001640815	31503	31503	2222	2197	17	8	968	195	102	Other	Other	Illumina
001642345	156470	344655	2984	2965	18	1	274	130	307	Other	Other	CLR
001649575	57646	28170849	3334	3318	16	0	37	19	87	Other	Other	Illumina
001651235	47894	212164	3028	2976	14	38	299	59	97	Other	Other	Illumina
001655095	11055	20629	2257	2255	2	0	898	222	85	Other	Other	Illumina
001655115	5094	7450	1415	1413	2	0	1440	520	61	Other	Other	Illumina
001655135	2938	3610	914	914	0	0	1633	807	47	Other	Other	Illumina
001660625	20961409	29208522	3345	3325	20	0	5	40	61	Other	Other	CLR
001660835	39571	111538	2891	2857	16	18	413	82	119	Other	Other	Illumina
001663605	17868	29984	2513	2505	8	0	615	256	98	Other	Other	PacBio
001663955	16024	111539	2943	2936	7	0	350	92	103	Other	Other	Illumina
001663975	19713	136570856	3324	1929	1388	7	25	41	60	Other	Other	Illumina
001675575	9584	151693	2787	2757	19	11	428	165	219	Other	Other	Illumina
001682695	57732	1440044	3350	3312	36	2	20	19	61	Other	Other	Illumina
001685075	11648	242123	3042	3006	17	19	266	79	271	Other	Other	Illumina
001685095	8259	15246	1825	1801	15	9	1194	356	144	Other	Other	Illumina
001685115	6461	13224	1544	1522	10	12	1358	461	154	Other	Other	Illumina
001685135	38922	204728	2983	2970	8	5	348	57	145	Other	Other	Illumina
001698545	36437	2229159	3285	3214	11	60	82	22	276	Other	Other	Illumina
001698575	23239	8766736	3345	3333	12	0	27	18	187	Other	Other	Illumina
001700135	88831	2441555	3342	3326	10	6	35	13	72	Other	Other	Illumina
001700155	79093	2325000	3331	3320	7	4	49	8	73	Other	Other	Illumina
001700165	102417	1550023	3332	3320	6	6	48	10	64	Other	Other	Illumina
001700195	63263	1248180	3303	3295	3	5	69	17	68	Other	Other	Illumina
001700215	88142	1407841	3323	3314	4	5	53	14	57	Other	Other	Illumina
001700235	70893	1529027	3329	3318	7	4	47	14	61	Other	Other	Illumina
001700255	80611	1663542	3320	3307	7	6	45	25	66	Other	Other	Illumina
001700295	95227	1478908	3328	3316	8	4	52	9	60	Other	Other	Illumina
001700575	94651	1655397	3314	3304	5	5	57	19	61	Other	Other	Illumina
001700915	51426	6373860	3294	3286	4	4	53	43	108	Other	Other	Illumina
001704415	26244591	87277232	3379	3305	9	65	7	4	76	Other	Other	PacBio
001707965	2392	2392	600	597	3	0	1556	1179	151	Other	Other	Illumina
001712695	47865	25272253	3382	3336	9	37	5	3	63	Other	Other	PacBio
001715985	290580	17883582	3244	3239	5	0	97	49	177	Other	Other	PacBio
001723895	34073	84437661	3261	3261	0	0	36	93	56	Other	Other	Illumina
001723915	14799	96076944	3227	3224	3	0	36	127	53	Other	Other	Illumina
001728815	437266	437266	3238	3208	25	5	133	18	532	Other	Other	PacBio
001746935	43576	71386623	3037	3035	2	0	215	138	163	Other	Other	Illumina
001856745	8583694	8583694	3366	3305	26	35	19	5	247	Other	Other	PacBio
001857705	20993	21701857	3380	3354	11	15	9	1	75	Other	Other	Illumina
001858045	2923640	38839487	3383	3364	17	2	2	5	105	Other	Other	PacBio
001870855	47484	12138678	3333	3317	16	0	39	18	71	Other	Other	Illumina
001883655	2695	64190785	3323	3285	9	29	39	28	138	Other	Other	Illumina
001887755	33994	26776924	3173	3171	2	0	52	165	118	Other	Other	Illumina
001887905	5555	63240551	3322	3288	5	29	40	28	121	Other	Other	Illumina
001890085	39863	2328177	3200	3170	8	22	122	67	196	Other	Other	Illumina
001891065	39720	2034572	3282	3258	22	2	53	55	164	Other	Other	Illumina
001904815	30544	3817360	3367	3362	5	0	17	6	165	Other	Other	Illumina
001910765	1901	7676	1594	1587	6	1	1274	503	144	Other	Other	Illumina
001910785	1311	4288	921	916	5	0	1506	936	176	Other	Other	Illumina
001910805	10838	340062	2140	2133	7	0	663	586	358	Other	Other	Illumina
001922835	44302	26555543	2975	2947	7	21	213	201	174	Other	Other	Illumina
001952655	22239	2106322	3345	3331	12	2	29	16	183	Other	Other	Illumina
001970005	36690	10546925	3150	3127	22	1	181	56	108	Other	Other	Illumina
001984765	273954	317708	3051	2994	24	33	274	64	261	Other	Other	PacBio
002002965	72885	92677	3000	2995	5	0	338	51	46	Other	Other	Illumina
002002985	78397	96721	3004	2999	5	0	331	51	49	Other	Other	Illumina
002003005	63728	107660	2793	2761	32	0	490	101	78	Other	Other	CLR
002007445	127687	129245720	3338	3317	8	13	36	16	94	Other	Other	Illumina
002007465	99577	2983736	3313	3261	10	42	65	12	70	Other	Other	Illumina
002021735	1159298	68265700	3382	1791	1584	7	4	4	96	Other	Other	CLR
002022525	110685	15376392	3343	26	3316	1	34	12	73	Other	Other	Illumina
002022805	112062	18692027	3344	20	3324	0	37	9	75	Other	Other	Illumina
002022825	117465	17120567	3344	24	3320	0	33	13	81	Other	Other	Illumina
002022845	116488	16292797	3335	24	3311	0	38	15	78	Other	Other	Illumina
002022865	120932	17665381	3334	23	3310	1	41	14	68	Other	Other	Illumina
