Accession	Complete_BUSCOs	Single_copy_BUSCOs	Duplicate_BUSCOs	Fragmented_BUSCOs	Missing_BUSCOs	Internal_stop_codons	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_028643805.1	3050	2998	52	228	76	150	9279	2023-02-17	457206	42318	7613	3059949673	Dasyurus viverrinus	Sarcopterygii	Mammalia				Dasyuromorphia	missing
GCA_028644305.1	3180	3103	77	130	44	288	226860	2023-02-16	1164041	58140	605	2735377309	Xerus rutilus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_028645565.1	3017	2868	149	263	74	332	100937	2023-02-16	493925	44968	7305	2884946306	Papio papio	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_028646355.1	3263	3090	173	66	25	319	161921	2023-02-16	284102	61084	12590	2355573634	Arctocephalus townsendi	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_028646385.1	3257	3142	115	71	26	317	46167	2023-02-16	266806	59977	12560	2314450905	Steno bredanensis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_028646425.1	3226	3108	118	98	30	301	83653	2023-02-16	813233	62041	1287	2521089325	Grampus griseus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_028646445.1	3259	3220	39	69	26	280	29064	2023-02-21	159269	65051	17311	2394415752	Panthera uncia	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_028646465.1	3226	3019	207	101	27	330	9809	2023-02-16	306900	105810	17398	2619574655	Rhinoceros unicornis	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	missing
GCA_028646485.1	3281	3219	62	54	19	299	94188	2023-02-16	213093	124286	26021	2363042232	Cryptoprocta ferox	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_028646515.1	2850	2624	226	366	138	207	65629	2023-02-16	635686	26949	4963	3469609741	Pseudochirops corinnae	Sarcopterygii	Mammalia				Diprotodontia	missing
GCA_028646535.1	2888	2827	61	360	106	267	9654	2023-02-16	877198	34230	1060	2505092287	Procyon lotor	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
