taxon_id	taxon_rank	scientific_name	assembly_id	order	assembly_span	contig_n50	scaffold_n50	contig_count	scaffold_count	chromosome_count	gc_percent	linked_accession	assembly_status	biosample_representative	bioproject	assembly_level	last_updated
8296	species	Ambystoma mexicanum	GCA_001455525.1	Caudata	353835245	246	802	1479440	611505	2	45			primary	PRJNA269757	Scaffold	2015-11-25
43115	species	Ambystoma opacum	GCA_047292645.1	Caudata	29020388349	795	55462223	19755664	9389658		44.5		primary	primary	PRJNA1169291	Scaffold	2025-01-29
164740	species	Amnirana galamensis	GCA_046270585.1	Anura	2392967180	1183	1209	2258846	2182743		42		primary	primary	PRJNA1169587	Scaffold	2024-12-25
8312	species	Amphiuma means	GCA_035582685.1	Caudata	585790174	785	787	731433	725731		42.5		primary	primary	PRJNA1013506	Scaffold	2024-01-11
30325	species	Anaxyrus boreas	GCA_041430395.1	Anura	5278819005	2844713	646048006	6808	3913		44	GCA_041430415.1	primary	primary	PRJNA1118739;PRJNA533106;PRJNA720569;PRJNA766260;PRJNA986203	Scaffold	2024-08-22
154577	species	Aneides aeneus	GCA_035582705.1	Caudata	488711344	848	850	573991	570110		43.5		primary	primary	PRJNA1013522	Scaffold	2024-01-11
384853	species	Anomaloglossus beebei	GCA_046118515.1	Anura	1499270271	1367	1401	1249088	1204379		41.5		primary	primary	PRJNA1169595	Scaffold	2024-12-16
1133663	species	Anomaloglossus kaiei	GCA_047404635.1	Anura	1786254548	1704	1763	1268483	1207611		42		primary	primary	PRJNA1169306	Scaffold	2025-02-04
8400	species	Aquarana catesbeiana	GCA_042186555.1	Anura	6377618952	3396515	691824178	5032	262	13	43.5		primary	primary	PRJNA1018279	Chromosome	2024-09-24
8400	species	Aquarana catesbeiana	GCA_002284835.2	Anura	6250335504	5415	39368	2124504	1544634		43			primary	PRJNA285814	Scaffold	2017-09-01
1133662	species	Adenomera lutzi	GCA_044758485.1	Anura	1871846158	1689	1730	1943165	1911485		42.5		primary	primary	PRJNA1169305	Scaffold	2024-11-10
92733	species	Allobates femoralis	GCA_033576535.1	Anura	5324439307	879094	625512048	28356	6646		45.5		primary	primary	PRJNA913987	Scaffold	2023-11-13
356208	species	Gastrophryne elegans	GCA_046271065.1	Anura	3514536090	3190	3248	1495531	1466159		43.5		primary	primary	PRJNA1183775	Scaffold	2024-12-25
8410	species	Glandirana rugosa	GCA_018402905.1	Anura	7628398632	11002	747629	1440004	561726		44		primary	primary	PRJDB9666	Scaffold	2021-03-18
30331	species	Bufo gargarizans	GCA_014858855.1	Anura	4545465442	1738317	539822115	4620	747	11	44.5		primary	primary	PRJNA628553	Chromosome	2020-10-21
30338	species	Bufotes viridis	GCA_033119425.1	Anura	3796774568	1872430	470251507	18492	13315	11	44		primary	primary	PRJNA292872	Chromosome	2023-11-02
30338	species	Bufotes viridis	GCA_037900795.1	Anura	3660158783	466638	464180742	28012	10803	11	43.5			primary	PRJNA292872	Chromosome	2024-04-01
30338	species	Bufotes viridis	GCA_963931945.1	Anura	3879743336	6729380	478304964	3599	2107		43.5			primary	PRJEB43510;PRJEB47820;PRJEB71764;PRJNA533106	Scaffold	2024-09-15
342570	species	Calotriton arnoldi	GCA_963921515.1	Caudata	22893972430	1599425	1649920	47990	47257		46		primary	primary	PRJEB57772	Scaffold	2024-02-07
134758	species	Eurycea bislineata	GCA_038406705.1	Caudata	2129482345	376	383	5418484	5355787		43.5		primary	primary	PRJNA1007222	Scaffold	2024-04-22
332575	species	Eurycea cirrigera	GCA_035583035.1	Caudata	689898872	839	845	813928	799289		43		primary	primary	PRJNA1013519	Scaffold	2024-01-11
332576	species	Eurycea guttolineata	GCA_035583075.1	Caudata	753943168	849	854	883772	867707		43		primary	primary	PRJNA1013517	Scaffold	2024-01-11
2081930	species	Eurycea paludicola	GCA_035593885.1	Caudata	2932218680	388	391	7340485	7305079		43		primary	primary	PRJNA1013507	Scaffold	2024-01-11
147899	species	Eurycea quadridigitata	GCA_035047425.1	Caudata	2243385575	371	376	5808595	5754344		43.5		primary	primary	PRJNA1007223	Scaffold	2024-01-03
756416	species	Balebreviceps hillmani	GCA_046270165.1	Anura	765691258	889	905	891078	858203		41		primary	primary	PRJNA1169598	Scaffold	2024-12-24
2668082	species	Boana sibleszi	GCA_044758545.1	Anura	1956429660	1438	1469	2392656	2359882		42		primary	primary	PRJNA1169309	Scaffold	2024-11-10
191472	subspecies	Bombina variegata variegata	GCA_905336975.1	Anura	4679106955	1857	2005	4314927	4065339		37.5			primary	PRJEB35099	Scaffold	2021-03-21
3102983	species	Kassina somalica	GCA_046271085.1	Anura	1746850732	1300	1370	1519389	1419892		42		primary	primary	PRJNA1183782	Scaffold	2024-12-25
92724	species	Dendrobates tinctorius	GCA_039654945.1	Anura	6355763190	32538637	32538637	830	830		44.5		primary	primary	PRJNA977854	Contig	2024-05-16
150710	species	Dendropsophus microcephalus	GCA_046270425.1	Anura	1204509709	2473	2577	605316	578909		42		primary	primary	PRJNA1183770	Scaffold	2024-12-25
503920	species	Desmognathus abditus	GCA_030264455.1	Caudata	825123321	824	836	1005091	970540		43.5		primary	primary	PRJNA917153	Scaffold	2023-06-13
3018285	species	Desmognathus adatsihi	GCA_032275005.1	Caudata	700859386	811	827	867536	828893		43.5		primary	primary	PRJNA917154	Scaffold	2023-10-02
52096	species	Desmognathus aeneus	GCA_030264635.1	Caudata	1320107758	858	882	1602811	1509177		43		primary	primary	PRJNA917155	Scaffold	2023-06-13
3018286	species	Desmognathus amphileucus	GCA_032360725.1	Caudata	1865481646	375	379	4787867	4755055		43.5		primary	primary	PRJNA917156	Scaffold	2023-10-04
3064031	species	Desmognathus anicetus	GCA_033119125.1	Caudata	1200028197	845	873	1472729	1370451		43.5		primary	primary	PRJNA1007233	Scaffold	2023-10-30
43046	species	Desmognathus apalachicolae	GCA_030264955.1	Caudata	1096413252	847	860	1313067	1269419		43		primary	primary	PRJNA917157	Scaffold	2023-06-13
3018287	species	Desmognathus aureatus	GCA_032274985.1	Caudata	583509486	798	812	723921	695229		43.5		primary	primary	PRJNA917158	Scaffold	2023-10-02
52097	species	Desmognathus auriculatus	GCA_030264895.1	Caudata	733966204	810	822	907426	875203		43		primary	primary	PRJNA917159	Scaffold	2023-06-13
3064032	species	Desmognathus bairdi	GCA_034783875.1	Caudata	979423362	832	847	1192632	1142515		44.5		primary	primary	PRJNA1007234	Scaffold	2023-12-28
3018288	species	Desmognathus balsameus	GCA_032353675.1	Caudata	507486167	799	811	630967	605418		43.5		primary	primary	PRJNA917160	Scaffold	2023-10-04
3064033	species	Desmognathus campi	GCA_033118305.1	Caudata	871572923	816	833	1081147	1030184		43.5		primary	primary	PRJNA1007237	Scaffold	2023-10-30
179529	species	Desmognathus carolinensis	GCA_031753635.1	Caudata	502747723	806	808	606625	604282		43.5		primary	primary	PRJNA917161	Scaffold	2023-09-20
3064034	species	Desmognathus catahoula	GCA_034783935.1	Caudata	1344271792	858	875	1618407	1543430		43.5		primary	primary	PRJNA1007238	Scaffold	2023-12-28
3018289	species	Desmognathus cheaha	GCA_032353815.1	Caudata	570306535	815	823	690700	674074		44		primary	primary	PRJNA917162	Scaffold	2023-10-04
52099	species	Desmognathus conanti	GCA_030264475.1	Caudata	1086385791	847	861	1304086	1255681		43		primary	primary	PRJNA917163	Scaffold	2023-06-13
279537	species	Desmognathus folkertsi	GCA_030265015.1	Caudata	745308752	833	836	883912	876501		43		primary	primary	PRJNA917164	Scaffold	2023-06-13
52100	species	Desmognathus fuscus	GCA_050004315.1	Caudata	16117580045	1743644	4254425	19607	15338	15	47		primary	primary	PRJNA1038779	Chromosome	2025-04-29
52100	species	Desmognathus fuscus	GCA_030265095.1	Caudata	1079203562	849	866	1301560	1239729		43			primary	PRJNA917165	Scaffold	2023-06-13
52100	species	Desmognathus fuscus	GCA_046863835.1	Caudata	15877946558	466308	466308	51460	51460		47			primary	PRJNA1038779	Contig	2025-01-21
52100	species	Desmognathus fuscus	GCA_049999565.1	Caudata	15792375770	863499	863499	29342	29342		47			primary	PRJNA1038779	Contig	2025-04-29
3018290	species	Desmognathus gvnigeusgwotli	GCA_032353775.1	Caudata	531658066	805	815	650829	629440		43.5		primary	primary	PRJNA917166	Scaffold	2023-10-04
52101	species	Desmognathus imitator	GCA_030264435.1	Caudata	612791514	829	832	724025	719486		43.5		primary	primary	PRJNA917167	Scaffold	2023-06-13
3018291	species	Desmognathus intermedius	GCA_032275315.1	Caudata	743188226	816	833	915946	873175		43.5		primary	primary	PRJNA917168	Scaffold	2023-10-02
3018292	species	Desmognathus kanawha	GCA_032353855.1	Caudata	490821056	812	818	592883	580321		44		primary	primary	PRJNA917169	Scaffold	2023-10-04
3064035	species	Desmognathus lycos	GCA_035049765.1	Caudata	2230530778	403	411	5482353	5418450		44		primary	primary	PRJNA1007239	Scaffold	2024-01-03
52102	species	Desmognathus marmoratus	GCA_031753695.1	Caudata	1352948324	863	890	1631304	1526294		43		primary	primary	PRJNA917170	Scaffold	2023-09-20
3018293	species	Desmognathus mavrokoilius	GCA_032354855.1	Caudata	645090545	814	825	785011	760562		44		primary	primary	PRJNA917171	Scaffold	2023-10-04
52103	species	Desmognathus monticola	GCA_031753675.1	Caudata	1114886111	838	871	1386658	1275113		43		primary	primary	PRJNA917172	Scaffold	2023-09-20
52104	species	Desmognathus ochrophaeus	GCA_030264935.1	Caudata	778593541	818	837	958822	911932		43.5		primary	primary	PRJNA917173	Scaffold	2023-06-13
179530	species	Desmognathus ocoee	GCA_030264995.1	Caudata	955634558	835	846	1157653	1118830		43		primary	primary	PRJNA917174	Scaffold	2023-06-13
179531	species	Desmognathus orestes	GCA_030264915.1	Caudata	729721615	831	835	866265	858400		43		primary	primary	PRJNA917175	Scaffold	2023-06-13
1346618	species	Desmognathus organi	GCA_030180145.1	Caudata	853345628	801	811	1064482	1036325		43		primary	primary	PRJNA917176	Scaffold	2023-06-06
2981334	species	Desmognathus pascagoula	GCA_030264975.1	Caudata	585171784	821	829	705509	687303		43.5		primary	primary	PRJNA917177	Scaffold	2023-06-13
3018294	species	Desmognathus perlapsus	GCA_032275285.1	Caudata	701826023	809	825	870741	830397		43.5		primary	primary	PRJNA917178	Scaffold	2023-10-02
407057	species	Desmognathus planiceps	GCA_032353935.1	Caudata	652813091	819	829	791752	768571		44		primary	primary	PRJNA917179	Scaffold	2023-10-04
52106	species	Desmognathus santeetlah	GCA_031753655.1	Caudata	582606778	818	820	695356	692343		43.5		primary	primary	PRJNA917180	Scaffold	2023-09-20
3064036	species	Desmognathus tilleyi	GCA_034782015.1	Caudata	1962682489	677	696	3035719	2946605		43.5		primary	primary	PRJNA1006342	Scaffold	2023-12-28
2005549	species	Desmognathus valentinei	GCA_030264875.1	Caudata	525569406	817	824	631046	619515		43.5		primary	primary	PRJNA917181	Scaffold	2023-06-13
3018295	species	Desmognathus valtos	GCA_032357565.1	Caudata	397773899	803	812	487768	472369		44		primary	primary	PRJNA917182	Scaffold	2023-10-04
52107	species	Desmognathus welteri	GCA_030264495.1	Caudata	788650360	838	844	934399	918657		43		primary	primary	PRJNA917183	Scaffold	2023-06-13
52108	species	Desmognathus wrighti	GCA_030265035.1	Caudata	1118184928	838	845	1347155	1323189		43		primary	primary	PRJNA955199	Scaffold	2023-06-13
127645	species	Hoplobatrachus occipitalis	GCA_044007775.1	Anura	1909036378	6110	6343	795092	779276		41		primary	primary	PRJNA1156534	Scaffold	2024-10-28
424355	species	Scinax boesemani	GCA_046270805.1	Anura	1677556492	2021	2095	1113571	1056182		42		primary	primary	PRJNA1169569	Scaffold	2024-12-25
318396	species	Scinax staufferi	GCA_044008435.1	Anura	1455304001	2120	2153	1256342	1242484		43		primary	primary	PRJNA1147688	Scaffold	2024-10-28
1978132	species	Sclerophrys asmarae	GCA_044758445.1	Anura	1767022399	3087	3186	1246312	1221396		42.5		primary	primary	PRJNA1156565	Scaffold	2024-11-10
35046	species	Sclerophrys maculata	GCA_046269545.1	Anura	1416716518	2198	2260	811966	786199		42.5		primary	primary	PRJNA1169290	Scaffold	2024-12-24
1978144	species	Sclerophrys regularis	GCA_044758605.1	Anura	1762966613	2232	2318	1646403	1610655		42.5		primary	primary	PRJNA1148371	Scaffold	2024-11-10
1978145	species	Sclerophrys steindachneri	GCA_047292515.1	Anura	1843618769	2448	2522	1582890	1553976		42.5		primary	primary	PRJNA1156566	Scaffold	2025-01-28
2495638	species	Siren reticulata	GCA_035582665.1	Caudata	315974203	792	794	390487	386214		46.5		primary	primary	PRJNA1013515	Scaffold	2024-01-11
2978768	species	Siren sphagnicola	GCA_035048675.1	Caudata	1196491765	289	289	3750090	3744244		48		primary	primary	PRJNA1007227	Scaffold	2024-01-03
279982	species	Smilisca baudinii	GCA_044758525.1	Anura	1457742877	2761	2817	874314	859171		40.5		primary	primary	PRJNA1138239	Scaffold	2024-11-10
233779	species	Spea bombifrons	GCA_027358695.2	Anura	987655159	21170366	114150385	119	17	13	40.5	GCA_027382365.2	primary	primary	PRJNA489243;PRJNA533106;PRJNA838345;PRJNA915367	Chromosome	2022-12-27
386267	species	Staurois parvus	GCA_951230385.1	Anura	3982222951	611229	627725	22402	22068		42.5		primary	primary	PRJEB40591	Scaffold	2023-05-08
317400	species	Stefania evansi	GCA_046270965.1	Anura	1330198086	9267	10987	296613	264490		41		primary	primary	PRJNA1169567	Scaffold	2024-12-25
291263	species	Stereochilus marginatus	GCA_035591995.1	Caudata	806097269	832	852	986302	930349		43.5		primary	primary	PRJNA1007226	Scaffold	2024-01-11
3041213	species	Taudactylus pleione	GCA_031769625.1	Anura	5507797579	8853472	8853472	4085	4085		43.5		primary	primary	PRJNA1075696;PRJNA1075750;PRJNA954521	Contig	2023-09-22
279980	species	Osteocephalus leprieurii	GCA_046271125.1	Anura	2544431137	3223	3361	1163799	1096800		42		primary	primary	PRJNA1169566	Scaffold	2024-12-25
192751	species	Osteocephalus oophagus	GCA_046270745.1	Anura	1628490320	2043	2165	1025462	962745		42.5		primary	primary	PRJNA1183771	Scaffold	2024-12-25
248862	species	Osteocephalus taurinus	GCA_044758425.1	Anura	1846173392	2696	2774	1518722	1494221		43		primary	primary	PRJNA1169298	Scaffold	2024-11-10
1874852	species	Paracassina kounhiensis	GCA_046271105.1	Anura	2491399906	2357	2438	1357532	1299414		42		primary	primary	PRJNA1169576	Scaffold	2024-12-25
61616	species	Pelobates cultripes	GCA_933207985.1	Anura	3094940563	130439	330123935	68502	3574	14	40.5		primary	primary	PRJEB48197	Chromosome	2023-06-09
125878	species	Nanorana parkeri	GCA_000935625.1	Anura	2053849526	32798	1069101	147512	25187		42.5		primary	primary	PRJNA243398	Scaffold	2015-03-02
324346	species	Necturus beyeri	GCA_035582915.1	Caudata	250252950	1039	1042	251838	249596		46		primary	primary	PRJNA1013524	Scaffold	2024-01-11
51950	species	Oophaga pumilio	GCA_009801035.1	Anura	3493380730	5836	77984	637067	125383		42		primary	primary	PRJNA550263	Scaffold	2019-12-27
152496	species	Oophaga sylvatica	GCA_033576555.1	Anura	5186611867	97802	571702597	71942	15283		44.5		primary	primary	PRJNA909817	Scaffold	2023-11-13
30357	species	Pyxicephalus adspersus	GCA_032062135.1	Anura	1440301248	79604	147930044	46518	8089	14	38.5		primary	primary	PRJNA578592	Chromosome	2023-09-27
670907	species	Rana kukunoris	GCA_029574335.1	Anura	4830730561	1704296	547819331	6555	2983	12	44.5		primary	primary	PRJNA787055	Chromosome	2023-04-09
160500	species	Rana muscosa	GCA_029206835.1	Anura	10160103425	4644276	938497014	9672	5628	13	45.5		primary	primary	PRJNA627939	Chromosome	2023-03-14
8407	species	Rana temporaria	GCA_009802015.1	Anura	4282724626	2889	49315	1319014	398602		42.5			primary	PRJNA550264	Scaffold	2019-12-27
111125	species	Ranitomeya imitator	GCA_958301615.1	Anura	6023662647	308637	389727	83600	79800		44.5			primary	PRJEB28312	Scaffold	2023-07-19
346448	species	Rhaebo guttatus	GCA_046269925.1	Anura	2012715193	2733	2852	1028820	987132		42		primary	primary	PRJNA1169299	Scaffold	2024-12-24
650640	species	Rhinatrema nigrum	GCA_047404755.1	Gymnophiona	4264134864	1349	1374	3629888	3536967		42		primary	primary	PRJNA1169570	Scaffold	2025-02-04
8386	species	Rhinella marina	GCA_900303285.2	Anura	3473313001	860710	2502259	13172	7124		44		primary	primary	PRJEB24695;PRJNA1075695;PRJNA1075696	Scaffold	2024-06-11
8386	species	Rhinella marina	GCA_046766495.1	Anura	2829702826	2180	2270	1618211	1544455		41.5			primary	PRJNA1183763	Scaffold	2025-01-19
43563	species	Rhinoderma darwinii	GCA_050947455.1	Anura	3657511227	8675653	410882874	4548	2942	13	43	GCA_050947465.1	primary	primary	PRJNA1263552;PRJNA1265736;PRJNA489243;PRJNA533106	Chromosome	2025-06-17
43566	species	Rhinophrynus dorsalis	GCA_048287495.1	Anura	3909782496	802	812	4957053	4833232		43.5			primary	PRJNA1183767	Scaffold	2025-03-03
428466	species	Leptobrachium ailaonicum	GCA_018994145.1	Anura	3535795546	821125	412424790	15899	5370	13	43.5		primary	primary	PRJNA523649	Chromosome	2021-06-24
428466	species	Leptobrachium ailaonicum	GCA_032062155.1	Anura	3531415146	807968	402259642	16277	7435	13	43.5			primary	PRJNA578588	Chromosome	2023-09-27
375434	species	Leptodactylus fallax	GCA_947044405.1	Anura	2510271426	4630249	4630249	3526	3509		42		primary	primary	PRJEB47559	Scaffold	2022-10-08
349990	species	Leptodactylus fragilis	GCA_044007875.1	Anura	1474876193	10412	10851	734670	726438		39		primary	primary	PRJNA1151993	Scaffold	2024-10-28
326593	species	Leptodactylus knudseni	GCA_046270925.1	Anura	1445635275	2797	2969	676941	636372		40.5		primary	primary	PRJNA1183773	Scaffold	2024-12-25
479894	species	Leptodactylus longirostris	GCA_046270125.1	Anura	1469218198	4175	4445	545555	522215		42		primary	primary	PRJNA1169597	Scaffold	2024-12-24
228420	species	Leptodactylus melanonotus	GCA_044758665.1	Anura	1447694148	10504	10946	652396	643839		39.5		primary	primary	PRJNA1169297	Scaffold	2024-11-10
323527	species	Leptodactylus mystaceus	GCA_044628515.1	Anura	1397553186	11306	11832	463909	455849		39		primary	primary	PRJNA1138434	Scaffold	2024-11-06
326588	species	Leptodactylus rhodomystax	GCA_046270665.1	Anura	1604692069	4982	5234	560578	531206		40.5		primary	primary	PRJNA1169568	Scaffold	2024-12-25
1615752	species	Leptodactylus rugosus	GCA_046271005.1	Anura	1715224936	7432	7902	403239	383326		41		primary	primary	PRJNA1169575	Scaffold	2024-12-25
356218	species	Leptopelis bocagii	GCA_046269765.1	Anura	1337685110	1054	1073	1368630	1323890		43.5		primary	primary	PRJNA1151994	Scaffold	2024-12-24
1342840	species	Leptopelis ragazzii	GCA_046270005.1	Anura	1785478623	1272	1299	1576275	1522772		44		primary	primary	PRJNA1169307	Scaffold	2024-12-24
30360	species	Lithobates berlandieri	GCA_046245055.1	Anura	1827286251	1214	1231	1674696	1635485		41.5		primary	primary	PRJNA1148354	Scaffold	2024-12-21
145282	species	Lithobates clamitans	GCA_037952925.1	Anura	6355615356	4403197	4403197	3945	3945		43.5	GCA_037952905.1	primary	primary	PRJNA1071628;PRJNA1077972;PRJNA533106;PRJNA813333	Contig	2024-04-04
8404	species	Lithobates pipiens	GCA_037367395.1	Anura	5897899108	5395217	5395217	3166	3166		44.5	GCA_037356315.1	primary	primary	PRJNA1002324;PRJNA1068832;PRJNA533106;PRJNA813333	Contig	2024-03-19
190274	species	Lithobates septentrionalis	GCA_037952835.1	Anura	7098362355	3139341	3139341	6078	6078		44	GCA_037952795.1	primary	primary	PRJNA1071627;PRJNA1077965;PRJNA533106;PRJNA813333	Contig	2024-04-03
45438	species	Lithobates sylvaticus	GCA_028564925.1	Anura	5150352190	2498674	611110003	18246	4861	13	44		primary	primary	PRJNA910823	Chromosome	2023-02-09
299662	species	Lithobates vaillanti	GCA_047292555.1	Anura	2062618134	1375	1419	1737649	1656415		42		primary	primary	PRJNA1138436	Scaffold	2025-01-28
3398218	subspecies	Litoria verreauxii alpina	GCA_050084865.1	Anura	2772480094	37168586	267093197	962	774		43		primary	primary	PRJNA1219307	Scaffold	2025-05-01
3058680	species	Mixophyes australis	GCA_036250195.1	Anura	3127878685	10748000	369309484	1299	702		40.5		primary	primary	PRJNA1075696;PRJNA1075750;PRJNA991157	Scaffold	2024-01-31
43042	species	Plethodon glutinosus	GCA_035048385.1	Caudata	1860116387	352	355	4939736	4910792		44		primary	primary	PRJNA1007228	Scaffold	2024-01-03
315413	species	Plethodon ventralis	GCA_035583015.1	Caudata	764266555	859	862	888558	878387		43.5		primary	primary	PRJNA1013521	Scaffold	2024-01-11
8319	species	Pleurodeles waltl	GCA_031143425.1	Caudata	19767450834	20474000	1360680797	2445	616	16	46	GCA_031142525.1,GCA_026652325.1	primary	primary	PRJNA1001912;PRJNA990737	Chromosome	2024-03-19
448649	species	Pristimantis euphronides	GCA_965278355.2	Anura	1748533034	302355	117773236	34094	25310		43		primary	primary	PRJEB89028	Scaffold	2025-05-12
47562	species	Pseudacris regilla	GCA_043774495.1	Anura	3600278088	7148760	393506142	2616	1450		43.5	GCA_043774435.1	primary	primary	PRJNA1121296;PRJNA533106;PRJNA720569;PRJNA765845;PRJNA808341	Scaffold	2024-10-24
428384	species	Pseudis tocantins	GCA_023970735.1	Anura	24258155	126	396	117093	63490		46.5		primary	primary	PRJNA694092	Scaffold	2022-06-27
428384	species	Pseudis tocantins	GCA_023925955.1	Anura	28770748	125	396	140757	76321		45.5			primary	PRJNA694092	Scaffold	2022-06-27
307978	species	Pseudobranchus striatus	GCA_035044885.1	Caudata	1639572344	302	303	5008238	4988327		47		primary	primary	PRJNA1006052	Scaffold	2024-01-03
324349	species	Pseudotriton montanus	GCA_035593325.1	Caudata	2663194804	382	384	6700737	6676687		43		primary	primary	PRJNA1013520	Scaffold	2024-01-11
134762	species	Pseudotriton ruber	GCA_035583255.1	Caudata	793094279	872	876	905545	896899		43.5		primary	primary	PRJNA1013514	Scaffold	2024-01-11
127654	species	Ptychadena anchietae	GCA_046270645.1	Anura	1441585735	2872	3036	694540	659035		42		primary	primary	PRJNA1183769	Scaffold	2024-12-25
2039358	species	Ptychadena baroensis	GCA_048321295.1	Anura	1125003014	1228	1237	1200185	1192060		42		primary	primary	PRJNA1214350	Scaffold	2025-03-03
1342833	species	Ptychadena erlangeri	GCA_044758465.1	Anura	1526448469	3308	3402	970555	954940		42		primary	primary	PRJNA1148180	Scaffold	2024-11-10
2039359	species	Ptychadena goweri	GCA_048321315.1	Anura	1034915832	469	470	2151414	2145272		43		primary	primary	PRJNA1214351	Scaffold	2025-03-03
2039360	species	Ptychadena harenna	GCA_046269525.1	Anura	1396295125	3692	3812	548157	531364		41.5		primary	primary	PRJNA1169308	Scaffold	2024-12-24
2039361	species	Ptychadena levenorum	GCA_047292595.1	Anura	1228371552	724	734	1926839	1911472		41.5		primary	primary	PRJNA1205102	Scaffold	2025-01-28
1342835	species	Ptychadena neumanni	GCA_046270285.1	Anura	1529630399	3564	3874	648304	615071		41.5		primary	primary	PRJNA1169599	Scaffold	2024-12-25
1380080	species	Ptychadena nilotica	GCA_046039635.1	Anura	2261850872	2515	2607	1767410	1705236		41		primary	primary	PRJNA1156564	Scaffold	2024-12-12
2039362	species	Ptychadena nuerensis	GCA_049176715.1	Anura	1011080784	1217	1225	912141	904891		40		primary	primary	PRJNA1214370	Scaffold	2025-03-29
2829185	species	Ptychadena robeensis	GCA_036250615.1	Anura	1591013924	12384	157086141	239566	27292	12	41.5		primary	primary	PRJNA722913	Chromosome	2024-01-31
8354	species	Xenopus borealis	GCA_024363595.1	Anura	2747450723	21213	143989302	255128	23435	18	38.5		primary	primary	PRJNA827809	Chromosome	2022-07-22
